Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1997,1.992,0.674,1.222,2.403,,,,2.403,-2.307,,,,-0.437,,-0.437,,,,,,,,,,,,,,,0.437,,,,,,,,,,,,,,,,,
06/30/1997,6.719,0.032,1.492,-0.272,,,,-0.272,5.467,,,,-0.587,,-0.587,,,,,,,,,,,,,,,0.587,,,,,,,,,,,,,,,,,
09/30/1997,-1.962,0.127,1.466,-1.355,,,,-1.355,-2.2,,,,-0.521,,-0.521,,,,,,,,,,,,,,,0.521,,,,,,,,,,,,,,,,,
12/31/1997,9.456,-9.201,,26.721,,,,26.721,-8.064,,,-0.103,-0.103,,-0.103,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9.353,,,
03/31/1998,9.013,4.462,4.342,7.036,,,,7.036,-6.827,,,0.0,-0.824,,-0.824,,,,,,,,,,,,,,,0.824,125.592,,,,,,,,,,,,,125.592,,,
06/30/1998,16.327,5.915,5.118,-3.343,,,,-3.343,8.637,,,-1.036,-1.036,,-1.036,,,,,,,,,,,,,,,0.0,109.514,,,,,,,,,,,,,124.805,,,
09/30/1998,10.31,5.864,5.266,1.092,,,,1.092,-1.912,,,,-0.798,,-0.798,,,,,,,,,,,,,,,0.798,,,,,,,,,,,,,,,,,
12/31/1998,9.774,9.310001,5.398001,13.294001,,,,13.294001,-18.228001,,,,-1.655,,-1.655,,,,,,,,,,,,,,,1.655,,,,,,,,,,,,,,,,,
03/31/1999,36.935001,7.544,6.002,0.587,,,,0.587,22.802,,,,-1.045,,-1.045,,,,,,,,,,,,,,,1.045,,,,,,,,,,,,,,,,,
06/30/1999,19.83,9.515,6.74,3.938,,,,3.938,-0.363,,,,-2.861,,-2.861,,,,,,,,,,,,,,,2.861,,,,,,,,,,,,,,,,,
09/30/1999,18.419001,10.456,6.51,-1.02,,,,-1.02,2.473,,,,-0.079,,-0.079,,,,,,,,,,,,,,,0.079,,,,,,,,,,,,,,,,,
12/31/1999,13.935,44.673,6.878,35.299999,,,,35.299999,-72.916,,,-2.065,-2.065,,-2.065,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,11.87,,,
03/31/2000,51.636002,13.815,7.397,-31.635,,,,-31.635,62.058998,,,,-1.842,,-1.842,,,,,,,,,,,,,,,1.842,,,,,,,,,,,,,,,,,
06/30/2000,39.394001,13.677,7.593,5.676,,,,5.676,12.448,,,,-6.651,,-6.651,,,,,,,,,,,,,,,6.651,,,,,,,,,,,,,,,,,
09/30/2000,42.108002,14.378,7.998,3.47,,,,3.47,16.261999,,,,-1.768,,-1.768,,,,,,,,,,,,,,,1.768,,,,,,,,,,,,,,,,,
12/31/2000,20.573,14.786,8.032,1.995,,,,1.995,-4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2001,3.592,11.93,8.26,2.565,,,,2.565,-19.163,,,,-1.046,,-1.046,,,,,,,,,,,,,,,1.046,,,,,,,,,,,,,,,,,
06/30/2001,33.782,25.037,16.628,-4.184,,2.743,,-6.927,-3.699,,,-15.385,-1.953,,-1.953,-13.331,,,,,-13.331,,,,,,,,,-0.101,125.826,,-101.0,,,,,232.757,233.455,-0.698,,-5.931,,144.223,,,
09/30/2001,31.884,12.352,8.382,2.086,,-0.407,,2.493,9.064,,,2.675,1.768,1.768,,1.193,1.193,,,,,,,,,,,,,-0.286,1.681,,4.3,,,,,-2.019,4.362,-6.381,,-0.6,,36.24,,,
12/31/2001,30.508,12.6,13.453,15.982,,1.28,,14.702,-11.527,,,-327.183,-7.045,,-7.045,-319.986,,,,,-319.986,,,,,,,,,-0.152,165.038,,-25.0,,,,,196.121,197.457,-1.336,,-6.083,,-131.637,,,
03/31/2002,10.648,14.508,6.165,-0.531,,,,-0.531,-9.494,,,,-1.22,,-1.22,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,0.17,3.046,
06/30/2002,40.905,15.352,5.975,5.706,,11.036,,-5.33,13.872,,,-16.01,-2.647,,-2.647,-15.797,,,,,-15.797,,,,,,,,,2.434,22.811,,0.0,,,,,24.033,32.593,-8.56,,-1.222,,6.801,,,
09/30/2002,40.348,12.819,5.666,3.607,,0.616,,2.991,18.256,,,-120.175,-1.183,0.0,-1.183,-116.873,0.0,,,,-116.873,0.0,,,,,,,,-2.119,-1.64,0.0,50.0,,,,,-49.918,,-49.918,0.0,-1.722,,-81.467,,,
12/31/2002,35.399,13.263,2.57,14.123,,6.201,,7.922,5.443,,,-0.398,-1.101,0.0,-1.101,-1.677,0.0,,,,-1.677,3.946,,,,,,,,-1.566,-85.185,0.0,-82.113,,,,,-2.141,-30.187,28.046,0.0,-0.931,,1.369,9.91,,
03/31/2003,-2.085,12.997,5.528,0.878,,,,0.878,-21.488,,,,-1.509,,-1.509,,,,,,,,,,,,,,,1.509,,,,,,,,,,,,,,,1.131,5.781,
06/30/2003,35.771,13.823,5.643,10.9,,,,10.9,5.405,,,,-1.35,,-1.35,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,
09/30/2003,49.348,16.395,5.625,20.517,,,,20.517,6.811,,,,-20.352,,-20.352,,,,,,,,,,,,,,,20.352,,,,,,,,,,,,,,,,,
12/31/2003,33.481,17.313,5.611,16.196,,8.889,1.533,5.774,-5.639,,,-35.098,-0.678,0.0,-0.678,-11.207,,,,,-11.207,,,,,,,,,-23.213,0.647,,202.733,,,,,-191.756,-297.597,105.841,,-10.33,,82.064,8.787,,
03/31/2004,11.806,18.17,5.64,15.363,,,,15.363,-27.367,,,-8.101,-1.295,0.0,-1.295,-2.586,0.0,,,,-2.586,0.0,,,,,,,,-4.22,102.695,0.0,295.416,,,,,-183.006,11.414,-194.42,0.0,-9.715,,106.4,,,
06/30/2004,65.596,18.92,5.783,18.51,,,,18.51,22.383,,,-78.133,-2.224,0.0,-2.224,-75.958,0.0,,,,-75.958,0.0,,,,,,,,0.049,-2.525,0.0,-2.457,,,,,0.0,0.0,0.0,0.0,-0.068,,-15.062,,,
09/30/2004,51.133,16.799,6.537,21.803,,,,21.803,5.994,,,-5.078,-2.966,0.0,-2.966,-2.112,0.0,,,,-2.112,0.0,,,,,,,,0.0,-75.86,0.0,-73.525,,,,,0.145,0.145,0.0,0.0,-2.48,,-29.805,,,
12/31/2004,176.876,23.258,6.748,38.333,,,,38.333,-18.988,,,-386.954,-0.492,0.0,-0.492,-390.573,39.955,,,,-430.528,0.0,,,,,,,,4.111,192.065,0.0,-7.203,,,,,198.673,198.673,0.0,0.0,0.595,,-18.013,,,
03/31/2005,-8.394,25.553,7.27,-13.87,,,,-13.87,-27.347,,,2.362,-2.633,,-2.633,18.132,24.062,,,,-5.93,,,,,,,,,-13.137,-11.592,,-12.805,,,,,1.741,1.741,,,-0.528,,-17.624,,,
06/30/2005,67.336,26.241,7.22,22.942,,,,22.942,10.933,,,-5.712,-2.356,,-2.356,-0.463,,,,,-0.463,,,,,,,,,-2.893,-12.929,,-10.48,,,,,12.284,12.284,,,-14.733,,48.695,,,
09/30/2005,75.279,28.51,8.56,25.907,,,,25.907,12.302,,,-66.487,-4.112,,-4.112,,,,,,,,,,,,,,,-62.375,-40.905,,-13.012,,,,,-29.289,10.232,-39.521,,1.396,,-32.113,,,
12/31/2005,69.857,38.765,8.852,48.141,,,,48.141,-25.901,,,-12.192,-5.422,0.0,-5.422,0.0,0.0,,,,0.0,0.0,,,,,,,,-6.77,-56.477,0.0,-15.877,,,,,-38.161,4.635,-42.796,0.0,-2.439,,1.188,,,
03/31/2006,-2.083,35.24,8.75,-8.141,,6.906,3.01,-18.057,-37.932,,,-23.056,-7.136,0.0,-7.136,-6.562,29.835,,,,-36.397,,,,,,,,,-9.358,-0.565,0.0,39.01,,,,,-26.209,43.646,-69.855,0.0,-13.366,,-25.704,,,
06/30/2006,129.383,33.936,9.09,23.294,,6.243,0.424,16.627,63.063,,,-20.513,-4.801,0.0,-4.801,-8.043,0.974,,,,-9.017,,,,,,,,,-7.669,-63.183,0.0,273.888,,,,,-327.865,4.75,-332.615,0.0,-9.206,,45.687,,,
09/30/2006,102.845,33.146,9.078,26.542,,7.299,1.447,17.796,34.079,,,-14.071,-3.026,0.0,-3.026,-7.521,0.0,,,,-7.521,,,,,,,,,-3.524,-27.118,0.0,19.916,,,,,-44.676,15.778,-60.454,0.0,-2.358,,61.656,,,
12/31/2006,70.858,48.955,9.222,47.341,,10.895,2.255,34.191,-34.661,,,-107.439,-6.547,,-6.547,,,,,,,,,,,,,,,-100.892,16.248,,83.749,,,,,-61.916,11.638,-73.554,,-5.585,,-20.333,,,
03/31/2007,-47.339,36.622,10.308,-10.825,,8.496,6.183,-25.504,-83.444,,,-37.812,-4.086,,-4.086,-7.871,4.629,,,,-12.5,,,,,,,,,-25.855,7.506,,61.991,,,,,-51.038,57.965,-109.003,,-3.447,,-77.645,,,
06/30/2007,126.142,41.887,18.257,27.65,,8.555,2.531,16.564,38.348,,,-38.035,-4.074,,-4.074,-0.257,0.001,,,,-0.258,,,,,,,,,-33.704,-38.46,,-39.072,,,,,8.999,8.999,,,-8.387,,49.647,,,
09/30/2007,164.538,42.585,18.605,33.562,,7.056,3.647,22.859,69.786,,,-8.525,-3.222,,-3.222,-0.89,,,,,-0.89,,,,,,,,,-4.413,-107.307,,-36.395,,,,,-71.909,21.931,-93.84,,0.997,,48.706,,,
12/31/2007,107.023,60.867,18.637,62.032,,8.125,2.458,51.449,-34.513,,,-496.383,-5.438,,-5.438,1.767,1.767,,,,0.0,,,,,,,,,-492.712,413.587,0.0,664.934,,,,,-232.197,0.957,-233.154,,-19.15,,24.227,,,
03/31/2008,49.818,31.223,11.124,73.872,,5.192,4.456,64.224,-66.401,,,-22.35,-2.548,,-2.548,-8.893,5.55,,,,-14.443,,,,,,,,,-10.909,-88.194,0.0,-151.852,,,,,206.161,216.663,-10.502,,-142.503,,-60.726,,,
06/30/2008,179.573,34.635,11.453,66.185,,7.985,5.223,52.977,67.3,,,-52.142,-2.592,,-2.592,-49.55,9.451,,,,-59.001,,,,,,,,,0.0,-96.422,0.0,-1.554,,,,,11.695,25.947,-14.252,,-106.563,,31.009,,,
09/30/2008,187.275,16.471,11.558,84.914,,18.171,4.29,62.453,74.332,,,-2.997,-2.95,,-2.95,-0.047,9.144,,,,-9.191,,,,,,,,,0.0,25.495,0.0,126.437,,,,,-22.522,7.274,-29.796,,-78.42,,209.773,,,
12/31/2008,77.909,-83.654,12.486,162.633,,-68.887,42.766,188.754,-13.556,,,-16.123,-1.464,,-1.464,-14.659,1.01,,,,-15.669,,,,,,,,,0.0,-68.365,0.0,-26.333,,,,,-10.908,0.032,-10.94,,-31.124,,-6.579,,,
03/31/2009,15.691,6.125,11.333,53.805,,11.962,1.177,40.666,-55.572,-55.572,,-3.668,-0.552,0.0,-0.552,-3.116,5.72,,,,-8.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-170.707,0.0,-235.061,0.0,0.0,0.0,-235.061,0.0,0.0,0.0,0.0,64.354,-0.456,-159.14,,,
06/30/2009,72.214,10.979,11.287,43.567,,4.866,3.417,35.284,6.381,6.381,0.0,-4.985,-0.663,0.0,-0.663,-2.911,0.0,0.0,0.0,0.0,-2.911,0.0,0.0,0.0,0.0,-1.411,0.0,-1.411,0.0,0.0,-31.643,0.0,-2.932,0.0,0.0,0.0,-2.932,12.708,12.708,0.0,0.0,-41.419,1.492,37.078,,,
09/30/2009,80.162,17.769,11.46,57.598,,3.873,4.275,49.45,-6.665,-6.665,0.0,-136.714,-0.438,0.0,-0.438,1.584,1.584,,,,0.0,0.0,0.0,0.0,0.0,-137.86,0.0,-137.86,0.0,0.0,5.333,0.0,7.196,0.0,0.0,7.196,0.0,20.889,20.889,0.0,0.0,-22.752,2.1,-49.119,,,
12/31/2009,75.142,24.6,11.604,55.328,,8.003,3.995,43.33,-16.39,-16.39,0.0,-36.134,-0.913,0.0,-0.913,-35.221,0.766,,,,-35.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.248,0.0,0.466,0.0,0.0,142.466,-142.0,11.068,11.068,0.0,0.0,-16.782,0.477,34.237,,,
03/31/2010,68.0,17.5,11.9,66.9,,8.6,3.9,54.4,-28.3,-28.3,0.0,-131.9,-1.1,0.0,-1.1,-3.1,11.8,,,,-14.9,0.0,0.0,0.0,0.0,-127.7,0.0,-127.7,0.0,0.0,7.6,0.0,144.6,0.0,0.0,235.0,-90.4,2.9,2.9,0.0,0.0,-139.9,0.6,-55.7,,,
06/30/2010,115.1,25.2,13.0,75.8,,9.0,5.0,61.8,1.1,1.1,0.0,-682.9,-2.0,0.0,-2.0,-15.5,0.0,0.0,0.0,0.0,-15.5,0.0,0.0,0.0,0.0,-665.4,0.0,-665.4,0.0,0.0,586.3,0.0,489.0,0.0,0.0,782.5,-293.5,27.4,27.4,0.0,0.0,69.9,-1.8,16.7,,,
09/30/2010,168.4,34.0,24.2,64.0,,6.6,5.0,52.4,46.2,46.2,0.0,-26.0,-2.2,0.0,-2.2,-12.8,0.0,0.0,0.0,0.0,-12.8,0.0,0.0,0.0,0.0,-11.0,0.0,-11.0,0.0,0.0,-110.6,0.0,-294.4,0.0,0.0,5.0,-299.4,12.5,12.5,0.0,0.0,171.3,3.1,34.9,,,
12/31/2010,129.2,62.0,25.0,45.1,,11.1,10.1,23.9,-2.9,-2.9,0.0,-133.0,-3.4,0.0,-3.4,-17.5,3.3,,,,-20.8,0.0,0.0,0.0,0.0,-112.1,0.0,-112.1,0.0,0.0,61.8,0.0,91.9,0.0,0.0,171.9,-80.0,13.7,13.7,0.0,0.0,-43.8,-0.1,57.9,,,
03/31/2011,128.3,39.1,25.9,133.5,,9.6,6.9,117.0,-70.2,-70.2,0.0,-11.3,-1.7,0.0,-1.7,3.7,10.3,,,,-6.6,0.0,0.0,0.0,0.0,-13.3,0.0,-13.3,0.0,0.0,-179.7,0.0,-119.7,0.0,0.0,0.3,-120.0,20.1,20.1,0.0,0.0,-80.1,2.2,-60.5,,,
06/30/2011,179.4,45.5,25.9,94.0,,7.4,5.9,80.7,14.0,14.0,0.0,-5.1,-2.7,0.0,-2.7,-2.4,0.0,0.0,0.0,0.0,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.2,0.0,-117.5,0.0,0.0,110.0,-227.5,5.7,5.7,0.0,0.0,-4.4,0.3,58.4,,,
09/30/2011,242.2,40.1,26.1,100.3,,14.8,7.3,78.2,75.7,75.7,0.0,-42.8,-3.9,0.0,-3.9,-38.9,0.5,,,,-39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-183.3,0.0,-93.4,0.0,0.0,0.0,-93.4,-47.7,0.3,-48.0,0.0,-42.2,-4.0,12.1,,,
12/31/2011,160.6,40.3,34.7,68.1,,3.5,11.3,53.3,17.5,17.5,0.0,-8.5,-7.7,0.0,-7.7,-0.8,0.0,,,,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.2,0.0,48.3,0.0,0.0,258.3,-210.0,-4.0,9.0,-13.0,0.0,-70.5,0.3,126.2,,,
03/31/2012,52.5,37.4,33.8,95.4,,13.4,8.6,73.4,-114.1,-114.1,0.0,2.1,-1.3,0.0,-1.3,3.4,12.9,,,,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.2,0.0,-0.2,0.0,0.0,0.0,-0.2,-14.1,18.6,-32.7,0.0,-98.9,2.8,-55.8,,,
06/30/2012,183.4,6.6,118.3,27.5,,-15.5,8.2,34.8,31.0,31.0,0.0,-396.0,-3.7,0.0,-3.7,13.0,14.6,,,,-1.6,0.0,0.0,0.0,0.0,-405.3,0.0,-405.3,0.0,0.0,131.5,0.0,194.8,0.0,0.0,195.0,-0.2,-19.6,8.6,-28.2,0.0,-43.7,-1.6,-82.7,,,
09/30/2012,211.1,54.9,27.5,94.0,,7.8,8.0,78.2,34.7,34.7,0.0,-354.0,-4.9,0.0,-4.9,0.9,3.6,,,,-2.7,0.0,0.0,0.0,0.0,-350.0,0.0,-350.0,0.0,0.0,202.2,0.0,198.2,0.0,0.0,560.0,-361.8,30.2,30.2,0.0,0.0,-26.2,2.3,61.6,,,
12/31/2012,186.2,75.0,34.5,73.9,,5.3,25.6,43.0,2.8,2.8,0.0,-54.4,-10.1,0.0,-10.1,-2.2,3.1,,,,-5.3,0.0,,,,-42.1,0.0,-42.1,0.0,0.0,-74.3,0.0,18.5,0.0,0.0,215.0,-196.5,38.1,38.1,0.0,,-130.9,0.3,57.8,,,
03/31/2013,202.2,62.4,36.4,155.6,,12.7,14.1,128.8,-52.2,-52.2,0.0,-7.0,-4.6,0.0,-4.6,-2.4,0.2,,,,-2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-285.7,0.0,-212.8,0.0,0.0,20.0,-232.8,36.7,36.7,0.0,0.0,-109.6,-4.9,-95.4,,,
06/30/2013,464.8,64.7,72.4,351.3,,28.8,35.3,287.2,-23.6,-23.6,0.0,-9.8,-8.9,0.0,-8.9,-0.9,3.7,,,,-4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-466.0,0.0,-330.6,0.0,0.0,120.0,-450.6,36.0,36.0,0.0,0.0,-171.4,-5.6,-16.6,,,
09/30/2013,282.8,75.2,36.0,98.9,,-4.8,2.3,101.4,72.7,72.7,0.0,-34.0,-7.0,0.0,-7.0,-0.7,1.0,,,,-1.7,0.0,0.0,0.0,0.0,-26.3,0.0,-26.3,0.0,0.0,-145.8,0.0,-97.4,0.0,0.0,475.0,-572.4,13.1,28.8,-15.7,0.0,-61.5,5.4,108.4,,,
12/31/2013,209.5,158.2,33.9,3.5,,3.7,13.5,-13.7,13.9,13.9,0.0,-6.5,-8.1,0.0,-8.1,1.6,6.7,,,,-5.1,0.0,,,,0.0,0.0,0.0,0.0,0.0,-257.5,0.0,-54.2,0.0,0.0,165.0,-219.2,0.7,0.7,0.0,,-204.0,1.7,-52.8,,,
03/31/2014,297.7,77.2,31.2,304.7,,15.1,14.1,275.5,-115.4,-115.4,0.0,-114.3,-4.1,0.0,-4.1,-1.3,1.2,,,,-2.5,0.0,0.0,0.0,0.0,-108.9,0.0,-108.9,0.0,0.0,94.1,0.0,276.0,0.0,0.0,696.5,-420.5,36.9,36.9,0.0,0.0,-218.8,0.0,277.5,,,
06/30/2014,328.2,99.1,32.2,128.0,-0.1,15.2,47.0,65.9,68.9,68.9,0.0,-431.2,-6.4,0.0,-6.4,0.3,6.1,,,,-5.8,0.0,0.0,0.0,0.0,-425.1,0.0,-425.1,0.0,0.0,-273.1,0.0,-94.7,0.0,0.0,290.0,-384.7,31.7,31.7,0.0,0.0,-210.1,3.2,-372.9,,,
09/30/2014,404.5,103.2,33.1,144.2,,19.3,21.1,103.8,124.0,124.0,0.0,-5.5,-3.2,0.0,-3.2,-1.9,6.6,,,,-8.5,0.0,0.0,0.0,0.0,-0.4,0.0,-0.4,0.0,0.0,-206.5,0.0,-48.3,0.0,0.0,30.0,-78.3,-23.8,27.9,-51.7,0.0,-134.4,-6.5,186.0,,,
