Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,11853.200195,771.200012,1532.5,,,3072.900097,,,,,3875.899902,,,1201.900024,,,845.599976,5923.399902,-150.0,5773.399902,204.600006,,,,,,,139.100006,359.500172,,1907.0,5495.300049,2705.699951,2789.600098,0.0,7402.299805,3263.0,,,,,,,240.800003,,,,,,,,,,341.500009,11247.599817,60.0,389.299988,,,-27.6,,183.900003,605.599991,0.0,605.599991,11853.199808,
06/30/1990,11736.599609,863.900024,2237.600098,,,2023.299999,,,,,3858.199951,,,1319.900024,,,797.400024,5975.5,-150.199997,5825.299805,224.0,,,,,,,161.5,400.999683,,1582.599976,5871.399902,2577.399902,3294.0,0.0,7454.0,2966.899902,,,,,,,238.399994,,,,,,,,,,395.200006,11054.499902,120.0,388.100006,,,-33.0,,207.0,682.100006,0.0,682.100006,11736.599908,
09/30/1990,12609.799805,1003.400024,2834.199951,,,2249.800098,,,,,3669.699951,,,1406.599976,,,788.700012,5865.0,-148.399994,5716.600098,254.800003,,,,,,,174.5,376.49963,,1747.599976,6551.0,3920.0,2631.0,0.0,8298.599609,3090.199951,,,,,,,163.399994,,,,,,,,,,368.699997,11920.899551,120.0,387.399994,,,-45.599998,,227.099998,688.899994,0.0,688.899994,12609.799545,
12/31/1990,11789.400391,966.099976,2305.100098,,,2229.599903,,,,,3594.199951,,,1729.5,,,212.600006,5536.299805,-148.0,5388.299805,258.100006,,,,,,,138.100006,504.100597,,2020.800049,6088.300049,2639.300049,3449.0,0.0,8109.100098,2457.699951,,,,,,,171.600006,,,,,,,,,,342.500009,11080.900064,120.0,386.899994,,,-48.5,,250.100006,708.5,0.0,708.5,11789.400064,
03/31/1991,11922.299805,711.400024,1843.900024,,,2409.19989,,,,,4060.600098,,,1524.400024,,,421.5,6006.5,-148.100006,5858.399902,260.299988,,,,,,,252.199997,586.899979,,1579.0,5911.0,2713.0,3198.0,,7490.0,2986.800049,,,,,,,271.600006,,,,,,,,,,437.799995,11186.20005,120.0,385.5,,,-44.299999,,274.900005,736.100006,,736.100006,11922.300056,
06/30/1991,12333.200195,884.200012,1727.599976,,,2681.399902,,,,,4034.800049,,,1631.599976,,,418.399994,6084.799805,-145.600006,5939.200195,257.799988,,,,,,,194.0,649.000122,,1511.099976,5832.199951,2680.300049,3151.899902,,7343.299805,3579.899902,,,,,,,269.0,,,,,,,,,,376.699997,11568.899704,120.0,385.0,,,-28.299999,,287.599987,764.299988,,764.299988,12333.199692,
09/30/1991,12744.299805,959.0,1817.400024,,,2910.300049,,,,,4086.399902,,,1733.400024,,,412.200012,6232.0,-145.600006,6086.399902,262.100006,,,,,,,234.600006,474.499817,,2129.399902,6035.800049,2723.699951,3312.100098,,8165.200195,3095.5,,,,,,,268.899994,,,,,,,,,,424.300011,11953.9002,120.0,384.5,,,-38.5,,324.399994,790.399994,,790.399994,12744.300194,
12/31/1991,13192.5,1093.199951,1649.900024,,,3310.399948,,,,,3878.5,,,2243.300049,,,157.899994,6279.700195,-145.699997,6134.000198,261.799988,,,,,,,238.300003,504.899888,,1823.5,6736.800049,3363.600098,3373.199951,0.0,8560.299805,3099.0,,,,,,,266.100006,,,,,,,,,,446.400009,12371.79982,120.0,386.200012,,,-35.200001,,349.700001,820.700012,0.0,820.700012,13192.499832,
03/31/1992,13154.5,636.400024,1879.0,,,3293.600052,,,,,3973.399902,,,1829.5,,,609.099976,6412.0,-145.800003,6266.200195,269.399994,,,,,,,228.199997,581.699738,,1681.800049,6762.699951,2848.699951,3914.0,,8444.5,3119.800049,,,,,,,266.100006,,,,,,,,,,,,170.0,385.399994,,,-31.5,,381.600006,905.5,,905.5,,
06/30/1992,12796.099609,851.599976,1544.300049,,,3225.699905,,,,,3687.199951,,,2037.0,,,644.799988,6369.0,-145.5,6223.5,277.700012,,,,,,,209.899994,463.399673,,1931.5,6560.5,2927.199951,3633.300049,,8492.0,2691.100098,,,,,,,263.299988,,,,,,,,,,,,170.0,385.700012,,,-28.299999,,412.599987,940.0,,940.0,,
09/30/1992,14304.900391,868.200012,2325.600098,,,3273.300003,,,,,3673.699951,,,2145.100098,,,1231.099976,7049.899902,-145.5,6904.399902,279.799988,,,,,,,160.5,493.100388,,1791.199951,6725.699951,2820.0,3905.699951,,8516.900391,4063.300049,,,,,,,363.200012,,,,,,,,,,,,170.0,386.100006,,,-25.799999,,441.599987,971.899994,,971.899994,,
12/31/1992,14959.599609,1071.800049,2316.0,,,3263.5,,,,,3530.0,,,2878.699951,,,527.200012,6935.899902,-145.5,6790.399902,282.600006,,,,,,,207.600006,1027.699646,,2712.199951,7158.600098,3611.5,3547.100098,0.0,9870.799805,3116.300049,,,,,,,545.200012,,,,,,,,,,,,170.0,389.700012,,,-18.799999,,469.599987,1010.5,0.0,1010.5,,
03/31/1993,15269.0,1039.099976,1753.5,,,4197.899994,,,,,3755.899902,,,2379.5,,,1052.400024,7187.799805,-145.5,7042.299805,288.299988,,,,,,,134.100006,813.800232,,2555.0,6990.300049,3428.0,3562.300049,0.0,9545.299805,3595.899902,,,,,,,725.200012,,,,,,,,,,,,170.0,390.600006,,,-16.799999,,503.900005,1047.700012,0.0,1047.700012,,
06/30/1993,16288.799805,854.299988,2395.199951,,,4589.799896,,,,,3427.5,,,2597.899902,,,1319.5,7344.899902,-145.5,7199.399902,290.600006,,,,,,,95.5,864.000061,,2619.399902,7252.0,3498.5,3753.5,0.0,9871.400391,4111.5,,,,,,,897.099976,,,,,,,,,,,,170.0,391.600006,,,-15.6,,536.899988,1082.899994,0.0,1082.899994,,
09/30/1993,16737.199219,698.700012,2944.0,,,4095.799957,,,,,3725.100098,,,2760.0,,,1434.800049,7919.899902,-145.5,7774.399902,288.5,,,,,,,70.400002,865.399345,,3107.5,7208.199951,3450.699951,3757.5,0.0,10315.700195,3966.699951,,,,,,,997.0,,,,,,,,,,,,170.0,391.600006,,,-14.4,,568.499975,1115.699982,0.0,1115.699982,,
12/31/1993,16902.599609,1519.699951,2668.199951,,,4111.000061,,,,,3530.300049,,,3500.800049,,,591.900024,7623.0,-145.5,7477.5,291.899994,,,,,,,56.900002,777.39965,,2761.800049,7571.600098,3387.600098,4184.0,0.0,10333.400391,4643.299805,,,,,,,443.799988,,,,,,,,,,,,170.0,392.700012,,,-11.4,,600.4,1151.700012,0.0,1151.700012,,
03/31/1994,18167.099609,1167.199951,2839.100098,,,4858.0,,,,,3849.100098,,,3635.699951,,,596.400024,8081.200195,-145.600006,7935.600098,295.0,,,,,,,81.400002,990.799461,,3014.199951,7630.299805,3096.899902,4533.399902,0.0,10644.5,4684.600098,,,,,,,1133.800049,,,,,,,,,,,,170.0,393.0,,,-9.8,,630.8,1184.0,0.0,1184.0,,
