Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Revenue from Water,Other Revenue,Intracompany Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Other Cost of Revenue,Intracompany Cost,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,680.521973,680.521973,,0.0,,0.0,0.0,,-185.813004,185.813004,139.912003,45.901001,0.0,,,494.708969,-335.944,52.845001,51.573002,46.875,184.651001,158.764999,-37.647,,,1.164,,52.362,50.757,-1.341,2.946,-13.551,121.118,-43.630001,77.487999,0.0,,,77.487998,0.0,77.487999,-11.379,,66.108999,66.108999,,108.668999,0.61,0.61,0.61,108.668999,0.61,0.61,0.61,
06/30/1990,603.801025,603.801025,,0.0,,0.0,0.0,,-150.541,150.541,69.037003,81.503998,0.0,,,453.260025,-348.218994,63.330002,51.431999,42.548,190.908997,105.041,-40.381,,,1.185,,56.188,50.240002,-1.45,7.398,-14.622,64.66,-12.397,52.263,0.0,,,52.263,0.0,52.263,-11.585,,40.678,40.678,,108.668999,0.37,0.37,0.37,108.668999,0.37,0.37,0.37,
09/30/1990,675.307007,675.307007,,0.0,,0.0,0.0,,-172.110992,172.111,80.818001,91.292999,0.0,,,503.196014,-340.546997,56.165001,51.556,47.570999,185.255005,162.649002,-36.154001,,,0.303,,52.02,48.782001,-2.17,5.408,-15.563,126.495001,-49.363998,77.130997,0.0,,,77.131003,0.0,77.130997,-11.235,,65.895997,65.895997,,109.091003,0.61,0.61,0.61,109.091003,0.61,0.61,0.61,
12/31/1990,656.689026,656.689026,,0.0,,0.0,0.0,,-169.792007,169.792,80.261002,89.530998,0.0,,,486.897018,-378.377991,65.983002,57.651001,44.694,210.050003,108.518997,-48.198001,,,0.792,,51.977001,49.401001,-2.23,4.806,-2.987,60.320996,-11.231,49.09,0.0,,,49.089996,0.0,49.09,-10.766,,38.324,38.324,,109.586998,0.35,0.35,0.35,109.586998,0.35,0.35,0.35,
03/31/1991,701.289001,701.289001,,0.0,,0.0,0.0,,-183.949997,183.949997,71.934998,112.014999,0.0,,,517.339005,-350.204987,48.221001,59.278999,49.181999,193.522995,167.134003,-34.084,,,0.657,,49.66,48.046001,-1.797,3.411,-14.919,133.050003,-53.130001,79.919998,0.0,,,79.920001,0.0,79.919998,-11.095,,68.824998,68.824998,,110.054001,0.63,0.63,0.63,110.054001,0.63,0.63,0.63,
06/30/1991,636.961975,636.961975,,0.0,,0.0,0.0,,-150.727005,150.726997,33.402,117.324997,0.0,,,486.23497,-351.851013,48.275002,57.68,44.853001,201.042999,134.384003,-31.258,,,0.881,,48.327,47.362,-1.594,2.559,-16.188,103.126003,-41.827,61.299,0.0,,,61.299003,0.0,61.299,-10.368,,50.931,50.931,,110.549004,0.46,0.46,0.46,110.549004,0.46,0.46,0.46,
09/30/1991,692.721985,692.721985,,0.0,,0.0,0.0,,-163.595993,163.595993,20.528,143.067993,0.0,,,529.125992,-366.953003,56.442001,58.317001,47.733002,204.460999,162.173004,-31.619001,,,0.35,,46.831001,44.950001,-1.693,3.574,-14.862,130.554003,-52.442001,78.112,0.0,,,78.112002,0.0,78.112,-10.999,,67.113,67.113,,111.084,0.6,0.6,0.6,111.084,0.6,0.6,0.6,
12/31/1991,722.830017,722.830017,,0.0,,0.0,0.0,,-398.018005,398.017999,13.544,384.473999,0.0,,,324.812012,-208.434998,77.227997,63.299,44.876999,23.031,116.376999,-28.126001,,,0.071,,45.889,46.203999,-1.686,1.371,-17.691999,88.250998,-28.284,59.966999,0.0,,,59.966998,0.0,59.966999,-10.127,,49.839999,49.839999,,114.128998,0.43,0.43,0.43,114.128998,0.43,0.43,0.43,
03/31/1992,762.72998,762.72998,,0.0,,0.0,0.0,,-218.882004,218.882004,218.882004,,0.0,,,543.847977,-367.829987,51.401001,61.657001,51.313999,203.457993,176.018005,-30.954999,,,0.081,,45.021999,44.396,-1.491,2.117,-13.986,145.063006,-59.790001,85.273003,0.0,,,85.273005,0.0,85.273003,-10.255,,75.018003,75.018003,,120.764,0.63,0.63,0.63,120.764,0.63,0.63,0.63,
06/30/1992,718.745972,718.745972,,0.0,,0.0,0.0,,-178.807007,178.807007,178.807007,,0.0,,,539.938965,-384.56601,63.195999,66.101997,50.773998,204.494003,155.373001,-34.829001,,,0.381,,54.275002,55.506001,-1.685,0.454,-19.065001,120.544,-45.034,75.510002,0.0,,,75.51,0.0,75.510002,-11.084,,64.426003,64.426003,,133.209,0.5,0.5,0.5,133.209,0.5,0.5,0.5,
