Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,39507,114,114,,3563,,,6236,,,,,490,,,,10403,8490,12565,-4075,3283,,17331,,,,,17331,29104,,1743,1743,,,,2334,,,,,5771,,,5771,9848,14934,,,,4832,,,,4832,19766,29614,,935,,,-715.0,,9673.0,9893,,9893,39507,
06/30/1990,39201,93,93,,3484,,,5988,,,,,452,,,,10017,8534,12765,-4231,3365,,17285,,,,,17285,29184,,1780,1780,,,,1179,,,,,6070,,,6070,9029,14770,,,,4898,,,,4898,19668,28697,,935,,,-669.0,,10238.0,10504,,10504,39201,
09/30/1990,47973,2009,2009,,4232,,,6864,,,,,1059,,,,14164,9389,13848,-4459,3544,,20876,,,,,20876,33809,,2221,2221,,,,3954,,,,,7264,,,7264,13439,17636,,,,5553,,,,5553,23189,36628,,935,,,-607.0,,11017.0,11345,,11345,47973,
12/31/1990,46569,146,146,,4101,,,7153,,,,,967,,,,12367,9604,14281,-4677,3638,,20960,,,,,20960,34202,,2462,2462,,,,2621,,,,,7001,,,7001,12084,16121,,,,6417,,,,6417,22538,34622,,935,,,-509.0,,11521.0,11947,,11947,46569,
03/31/1991,46534,115,115,,4437,,,7460,,,,,886,,,,12898,9405,14192,-4787,3818,,20413,,,,,20413,33636,,2044,2044,,,,2980,,,,,7222,,,7222,12246,15782,,,,6417,,,,6417,22199,34445,,935,,,-421.0,,11575.0,12089,,12089,46534,
06/30/1991,45338,116,116,,4327,,,6851,,,,,867,,,,12161,9380,14254,-4874,3839,,19958,,,,,19958,33177,,2173,2173,,,,2300,,,,,6822,,,6822,11295,15067,,,,6528,,,,6528,21595,32890,,935,,,-471.0,,11984.0,12448,,12448,45338,
09/30/1991,46564,128,128,,4403,,,7249,,,,,842,,,,12622,9665,14800,-5135,4167,,20110,,,,,20110,33942,,1847,1847,,,,2454,,,,,7543,,,7543,11844,15036,,,,6557,,,,6557,21593,33437,,935,,,-662.0,,12854.0,13127,,13127,46564,
12/31/1991,47384,126,126,,4121,,,7445,,,,,902,,,,12594,9946,15281,-5335,4318,,20526,,,,,20526,34790,,2820,2820,,,,2687,,,,,7135,,,7135,12642,14213,,,,8017,,,,8017,22230,34872,,935,,,-914.0,,12491.0,12512,,12512,47384,
03/31/1992,47872,108,108,0.0,4613,,,7744,,,,,931,,,,13396,9972,15541,-5569,4359,,20145,,,,,20145,34476,,2101,2101,,,,2523,,,,,7584,,,7584,12208,15035,,,,8134,,,,8134,23169,35377,0.0,935,,,-1279.0,,12839.0,12495,0.0,12495,47872,
06/30/1992,49106,675,675,0.0,4829,,,7500,,,,,892,,,,13896,10153,15871,-5718,4698,,20359,,,,,20359,35210,,2034,2034,,,,2952,,,,,8428,,,8428,13414,14711,,,,8297,,,,8297,23008,36422,0.0,935,,,-2126.0,,13875.0,12684,0.0,12684,49106,
09/30/1992,50867,414,414,0.0,4977,,,8091,,,,,901,,,,14383,10463,16443,-5980,5137,,20884,,,,,20884,36484,,2263,2263,,,,3499,,,,,8542,,,8542,14304,14766,,,,8621,,,,8621,23387,37691,0.0,935,,,-2677.0,,14918.0,13176,0.0,13176,50867,
12/31/1992,50014,1021,1021,0.0,4147,,,7785,,,,,953,,,,13906,10530,16512,-5982,5111,,20467,,,,,20467,36108,,2401,2401,,,,3620,,,,,8000,,,8000,14021,14583,,,,8847,,,,8847,23430,37451,0.0,935,,,-3205.0,,14833.0,12563,0.0,12563,50014,
03/31/1993,51380,1473,1473,0.0,4577,,,8019,,,,,923,,,,14992,10742,16985,-6243,5159,,20487,,,,,20487,36388,,2245,2245,,,,4884,,,,,8246,,,8246,15375,15107,,,,8983,,,,8983,24090,39465,0.0,935,,,-4375.0,,15355.0,11915,0.0,11915,51380,
06/30/1993,52316,286,286,0.0,4670,,,7958,,,,,915,,,,13829,11159,17784,-6625,5118,,22210,,,,,22210,38487,,2491,2491,,,,2952,,,,,7942,,,7942,13385,17478,,,,9245,,,,9245,26723,40108,0.0,935,,,-4.353,,11277.353,12208,0.0,12208,52316,
09/30/1993,52215,355,355,0.0,4676,,,7909,,,,,969,,,,13909,11137,17853,-6716,5205,,21964,,,,,21964,38306,,2549,2549,,,,2684,,,,,7968,,,7968,13201,16884,,,,9529,,,,9529,26413,39614,0.0,935,,,-4341.0,,16007.0,12601,0.0,12601,52215,
12/31/1993,51205,182,182,0.0,3982,,,7358,,,,,1286,,,,12808,10463,16930,-6467,5358,,22576,,,,,22576,38397,,3137,3137,,,,2935,,,,,8396,,,8396,14468,15221,,,,9889,,,,9889,25110,39578,0.0,935,,,-4.315,,10696.315,11627,0.0,11627,51205,
03/31/1994,51525,209,209,0.0,4769,,,7462,,,,,1363,,,,13803,10491,17152,-6661,4939,,22292,,,,,22292,37722,,2514,2514,,,,1380,,,,,9312,,,9312,13206,14730,,,,11574,,,,11574,26304,39510,0.0,935,,,-4543.0,,15623.0,12015,0.0,12015,51525,
