Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2006,368.141,,-180.316,,187.825,,-143.891,,,,43.934,-0.749,,0.749,,,0.0,43.185,-13.276,29.909,-35.934,,,65.843,0.0,65.843,0.0,0.0,65.843,65.843,,92.899,0.71,0.32,0.32,94.003,0.7,0.32,0.32,
12/31/2006,351.127991,,-170.139999,,180.987991,,-151.222,,,,29.766001,-31.101001,-0.309,2.21,-2.519,0.0,31.410001,-1.335,1.338,0.003,5.883,,,-5.88,0.0,-5.88,0.0,0.0,-5.88,-5.88,,93.629997,-0.06,-0.06,0.22,95.672997,-0.06,-0.06,0.21,
03/31/2007,383.411987,,-183.574997,,199.83699,,-166.682007,,,,33.154999,0.104,-0.697,2.091,-2.788,0.0,0.593,33.258999,-11.498,21.761,-0.797,,,22.557998,0.0,22.558001,0.0,0.0,22.558001,22.558001,,96.181,0.23,0.23,0.24,98.996002,0.23,0.22,0.23,
06/30/2007,325.014008,,-153.421005,,171.593002,,-138.613007,,,,32.98,-0.123,-1.299,0.0,,0.0,1.422,32.857,-9.631,23.226,-1.87,,,25.096,0.0,25.096001,0.0,0.0,25.096001,25.096001,,97.443001,0.26,0.24,0.25,99.988998,0.25,0.23,0.24,
09/30/2007,359.717,,-174.921,,184.796,,-147.809,,,,36.987,0.811,-1.878,0.0,,0.0,1.067,37.798,-8.383,29.415,-7.075,,,36.49,0.0,36.49,0.0,0.0,36.49,36.49,,97.681,0.37,0.3,0.27,100.067,0.36,0.29,0.26,
12/31/2007,343.187,,-164.72,,178.467,,-132.261,,132.261,0.0,46.206,-2.071,-2.718,0.0,,0.0,4.789,44.135,-14.593,29.542,-1.365,,,30.907,0.0,30.907,0.0,0.0,30.907,30.907,,98.091,0.32,0.3,0.33,100.608,0.31,0.29,0.32,
03/31/2008,349.369,,-163.309,,186.06,,-147.713,,147.713,0.0,38.347,0.228,-0.6,1.9,-2.5,0.0,0.372,38.575,-11.938,26.637,-2.39,,,29.027,0.0,29.027,0.0,0.0,29.027,29.027,,99.592,0.29,0.27,0.28,102.007,0.28,0.26,0.26,
06/30/2008,364.913,,-171.651,,193.262,,-149.331,,149.331,0.0,43.931,-1.266,-1.46,1.668,-3.128,0.0,2.726,42.665,-12.98,29.685,8.552,,,21.133,0.0,21.133,0.0,0.0,21.133,21.133,,98.719,0.21,0.3,0.32,100.717,0.21,0.29,0.3,
09/30/2008,385.987,,-186.495,,199.492,,-155.57,,155.57,0.0,43.922,1.51,-3.11,0.0,,,1.6,45.432,-25.257,20.175,-126.912,,,147.087,0.0,147.087,0.0,0.0,147.087,147.087,1.04,97.269,1.51,0.21,0.22,99.131,1.48,0.2,0.21,
12/31/2008,352.834,352.834,-170.824,170.824,182.01,0.0,-122.686,122.394,,0.292,59.324,1.292,-1.292,0.188,-1.48,,0.0,60.616,-29.319,31.297,-0.357,-0.357,0.0,31.654,0.0,31.654,0.0,0.0,31.654,40.3671,9.0701,97.525,0.32,0.32,0.413915,98.889,0.32,0.32,0.41172,
