Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,79.734993,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.651999,,,4.651999,4.651999,,64.519997,0.0725,0.0725,,64.519997,0.0725,0.0725,0.0725,
04/01/1990,83.801003,,-61.341,,22.460003,,-12.971,,,,9.489,-0.229,,1.25,,,,-1.021,9.26,-3.486,,,5.777,,,,5.774,-0.176,5.601,,,5.601,5.601,,64.400002,0.0875,0.0875,,64.400002,0.0875,0.0875,0.0875,
07/01/1990,82.094002,,-62.900002,,19.194,,-13.437,,,,5.757,-0.254,,1.512,,,,-1.258,5.503,-2.274,,,3.229,,,,3.229,-0.333,2.896,,,2.896,2.896,,63.571999,0.045,0.045,,63.571999,0.045,0.045,0.045,
09/30/1990,76.862999,,-59.396999,,17.466,,-11.807,,,,5.659,-1.726,,1.643,,,,0.083,3.933,-2.258,,,1.675,,,,1.675,-0.018,1.657,,,1.657,1.657,,62.571999,0.0275,0.0275,,62.571999,0.0275,0.0275,0.0275,
12/31/1990,80.459999,,-60.626999,,19.833,,-19.551001,,,,0.282,-7.973,,1.522,,1.004,,5.447,-7.691,1.614,,,-6.08,,,,-6.077,0.205,-5.875,,,-5.875,-5.875,,62.122002,-0.0925,-0.0925,,62.122002,-0.0925,-0.0925,-0.0925,
03/31/1991,86.097,,-63.312,,22.785,,-13.895,,,,8.89,-1.792,,1.762,,,,0.03,7.098,-2.977,,,4.121,,,,4.121,-0.057,4.064,,,4.064,4.064,,61.967999,0.065,0.065,,61.967999,0.065,0.065,0.065,
06/30/1991,81.758003,,-60.41,,21.348003,,-13.669,,,,7.679,-1.216,,1.493,,,,-0.277,6.463,-2.898,,,3.565,,,,3.565,-0.024,3.541,,,3.541,3.541,,62.071999,0.0575,0.0575,,62.071999,0.0575,0.0575,0.0575,
09/29/1991,79.584999,,-59.821999,,19.763,,-12.288,,,,7.475,-1.45,,1.499,,,,-0.049,6.025,-3.592,,,2.433,,,,2.433,-0.084,2.349,,,2.349,2.349,,62.164001,0.0375,0.0375,,62.164001,0.0375,0.0375,0.0375,
12/31/1991,82.167999,,-62.301998,,19.866001,,-15.592,,,,4.274,-29.970999,,1.278,,2.251,,26.441999,-25.696999,4.733,,,-20.964001,6.254,,,-27.218,2.554,-24.664,,,-24.664,-24.664,,62.208,-0.3975,-0.2975,,62.208,-0.3975,-0.2975,-0.2975,
03/31/1992,81.791,,-57.389,,24.402,,-12.99,,,,11.412,-1.47,,1.037,,,,0.433,9.942,-3.996,,,5.946,0.0,,,5.946,-0.358,5.588,0.0,,5.588,5.588,,62.299999,0.09,0.09,,62.299999,0.09,0.09,0.09,
