Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/30/1989,795.679016,15.783,15.783,0.0,18.243999,,,335.626007,,,,,9.501,,,,379.153992,384.553009,424.130005,-39.577,0.0,,31.972,,,,31.972,416.525009,,183.386002,183.386002,,,,1.042,,,,,,95.487007,,,,95.487007,279.915009,89.334,,,,,15.437,,,,,15.437,104.771,384.686008,,220.968994,,,0,,190.024002,410.992996,,410.992996,795.679005,
07/30/1989,1019.890015,205.62999,130.498993,75.130997,23.166,,,321.190002,,,,,8.866,,,,558.85199,425.808014,469.924011,-44.116001,0.0,,35.23,,,,35.23,461.038013,,156.858994,156.858994,,,,1.061,,,,,,100.663014,,,,100.663014,258.583008,302.075989,,,,,16.386999,,,,,16.386999,318.462988,577.045996,,224.304001,,,0,,218.539993,442.843994,,442.843994,1019.88999,
10/29/1989,1114.852051,221.959994,210.912994,11.047,25.628,,,360.213989,,,,,9.723,,,,617.525024,461.317993,510.187012,-48.868999,0.0,,36.008999,,,,36.008999,497.326992,,199.201996,199.201996,,,,5.413,,,,,,120.39599,,,,120.39599,325.010986,303.072998,,,,,17.087,,,,,17.087,320.159998,645.170984,,225.5,,,0,,244.181,469.681,,469.681,1114.851984,
01/28/1990,1117.534058,135.381004,69.525002,65.856003,38.932999,,,381.451996,,,,,10.474,,,,566.23999,514.440002,568.690002,-54.25,0.0,,36.854,,,,36.854,551.294003,,172.876007,172.876007,,,,1.447,,,,,,118.066,,,,118.066,292.389008,302.901001,,,,,10.115,,,,,10.115,313.016001,605.405008,,237.296997,,,0,,274.832001,512.128998,,512.128998,1117.534006,
04/29/1990,1272.82605,143.789997,92.879997,50.91,43.271,,,456.39801,,,,,12.344,,,,655.802979,579.757019,640.497009,-60.740002,0.0,,37.265999,,,,37.265999,617.023018,,251.714005,251.714005,,,,1.648,,,,,,159.60998,,,,159.60998,412.971985,302.44101,,,,,9.866,,,,,9.866,312.30701,725.278995,,245.964996,,,0,,301.582001,547.546997,,547.546997,1272.825992,
07/29/1990,1514.771973,302.882004,270.880005,32.001999,43.595001,,,456.761993,,,,,15.734,,,,818.973022,654.825012,723.093018,-68.267998,0.0,,40.973999,,,,40.973999,695.799011,,210.688995,210.688995,,,,1.855,,,,,,169.397991,,,,169.397991,381.941986,531.656006,,,,,12.241,,,,,12.241,543.897006,925.838992,,253.593994,,,0,,335.338989,588.932983,,588.932983,1514.771976,
10/28/1990,1577.722046,246.920006,159.634003,87.286003,43.66,,,478.716003,,,,,12.339,,,,781.63501,755.268982,831.689026,-76.419998,0.0,,40.818001,,,,40.818001,796.086983,,223.470001,223.470001,,,,1.944,,,,,,184.368012,,,,184.368012,409.782013,531.185974,,,,,12.964,,,,,12.964,544.149974,953.931987,,255.940994,,,0,,367.848999,623.789993,,623.789993,1577.72198,
02/03/1991,1639.503052,137.295996,107.894997,29.400999,49.325001,,,509.022003,,,,,17.931,,,,713.573975,878.72998,963.619019,-84.889,0.0,,47.199001,,,,47.199001,925.928981,,235.266998,235.266998,,,,1.906,,,,,,175.534003,,,,175.534003,412.707001,530.773987,,,,,12.62,,,,,12.62,543.393987,956.100988,,270.20401,,,0,,413.197998,683.402008,,683.402008,1639.502996,
05/05/1991,2337.083984,642.689026,612.827026,29.862,59.837002,,,596.494019,,,,,19.941999,,,,1318.962036,966.103027,1061.133057,-95.029999,0.0,,52.019001,,,,52.019001,1018.122028,,351.092987,351.092987,,,,1.986,,,,,,216.765007,,,,216.765007,569.843994,537.085022,,,,,14.319,,,,,14.319,551.404022,1121.248016,,754.872009,,,0,,460.963989,1215.835999,,1215.835999,2337.084015,
08/04/1991,2362.998047,548.794006,494.764008,54.029999,60.679001,,,617.471985,,,,,27.271999,,,,1254.217041,1061.947998,1168.687012,-106.738998,0.0,,46.833,,,,46.833,1108.780998,,311.303986,311.303986,,,,1.966,,,,,,220.282016,,,,220.282016,533.552002,271.548004,,,,,13.57,,,,,13.57,285.118004,818.670006,,1017.780029,,,0,,526.547974,1544.328003,,1544.328003,2362.998009,
