Date,Cash From Operating Activities,Net Income,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,25,65,,,,,,
06/30/1990,,74,229,,,,,,
09/30/1990,,72,151,,,,,,
12/31/1990,,76,145,,,,,,
03/31/1991,,18,46,,,,,,
06/30/1991,,73,92,,,,,,
09/30/1991,,78,244,,,,,,
12/31/1991,,-376,188,,,,,,
03/31/1992,,38,47,,,,,,
06/30/1992,,77,93,,,,,,
09/30/1992,,75,234,,,,,,
12/31/1992,,92,122,,,,,,
03/31/1993,,-28,33,,,,,,
06/30/1993,,85,84,,,,,,
09/30/1993,,-3,217,,,,,,
12/31/1993,,106,170,,,,170.0,,
03/31/1994,,-32,62,,,,,,
06/30/1994,,101,161,,,,,,
09/30/1994,,106,245,,,,,,
12/31/1994,,149,229,,,,229.0,,
03/31/1995,,55,137,,-85.0,,,,
06/30/1995,,123,169,,-32.0,,,,
09/30/1995,,116,209,,-210.0,,,,
12/31/1995,,-30,258,-88.0,-88.0,,170.0,,
03/31/1996,,31,99,,-18.0,,,,
06/30/1996,,26,230,,-99.0,,,,
09/30/1996,,138,219,,-116.0,,,,
12/31/1996,,147,121,,-154.0,,,,
03/31/1997,,61,170,,-41.0,,,,
