Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1989,211.897003,49.942998,35.558998,14.384,47.905998,,,52.768002,,,,,7.414,,,,,,158.031006,52.893002,151.630005,-98.737,0.0,,0.973,,,,0.973,53.866002,,14.447,14.447,,,,0.0,,,,,,30.444999,,,30.444999,44.891998,0.0,,,,,15.864,,,,15.864,15.864,60.755999,0.0,31.233,,,-9.779,,129.686997,151.140997,0.0,151.140997,211.896996,
12/30/1989,211.197006,57.077,36.376999,20.700001,31.778,,,60.652,,,,,7.749,,,,,,157.255997,53.0,152.737,-99.737,0.0,,0.941,,,,0.941,53.941,,11.17,11.17,,,,0.0,,,,,,28.052,,,28.052,39.222,0.0,,,,,17.613001,,,,17.613001,17.613001,56.835001,0.0,31.231001,,,-9.779,,132.909997,154.361998,0.0,154.361998,211.196999,
03/31/1990,215.188995,47.028002,16.908001,30.120001,31.697001,,,74.818001,,,,,7.859,,,,,,161.401993,52.876999,153.522003,-100.644997,0.0,,0.91,,,,0.91,53.786999,,14.506,14.506,,,,0.0,,,,,,27.204,,,27.204,41.709999,0.0,,,,,16.907,,,,16.907,16.907,58.616999,0.0,31.231001,,,-9.779,,135.120004,156.572004,0.0,156.572004,215.189003,
06/30/1990,212.798004,39.224,9.071,30.153,36.361,,,76.292999,,,,,7.616,,,,,,159.494003,52.705002,154.617004,-101.912003,0.0,,0.599,,,,0.599,53.304002,,11.825,11.825,,,,0.0,,,,,,29.53,,,29.53,41.355,0.0,,,,,9.82,,,,9.82,9.82,51.174999,0.0,31.231001,,,-9.779,,140.170999,161.622999,0.0,161.622999,212.797998,
09/29/1990,208.800003,37.608999,17.892,19.716999,35.189999,,,74.154999,,,,,7.711,,,,,,154.664993,53.575001,156.537994,-102.962997,0.0,,0.56,,,,0.56,54.135001,,9.753,9.753,,,,0.0,,,,,,25.672998,,,25.672998,35.425999,0.0,,,,,9.662,,,,9.662,9.662,45.087998,0.0,31.231001,,,-9.779,,142.260003,163.712004,0.0,163.712004,208.800002,
12/29/1990,208.164001,37.759999,14.405,23.355,28.443001,,,78.846001,,,,,8.065,,,,,,153.113998,54.528,158.403,-103.875,0.0,,0.522,,,,0.522,55.05,,9.976,9.976,,,,0.0,,,,,,24.545,,,24.545,34.521,0.0,,,,,9.239,,,,9.239,9.239,43.76,0.0,31.224001,,,-9.779,,142.958993,164.403994,0.0,164.403994,208.163994,
03/30/1991,207.022995,22.008,10.579,11.429,35.376999,,,87.306,,,,,8.047,,,,,,152.738007,53.834,158.854004,-105.019997,0.0,,0.451,,,,0.451,54.285,,31.136999,31.136999,,,,0.0,,,,,,3.532,,,3.532,34.668999,0.0,,,,,9.017,,,,9.017,9.017,43.685999,0.0,31.224001,,,-9.779,,141.892007,163.337008,0.0,163.337008,207.023006,
06/29/1991,219.005997,29.209001,20.145,9.064,43.591999,,,84.310997,,,,,7.806,,,,,,164.917999,53.674999,159.759003,-106.084,0.0,,0.413,,,,0.413,54.087999,,12.835,12.835,,,,0.0,,,,,,29.757998,,,29.757998,42.592999,0.0,,,,,9.315,,,,9.315,9.315,51.907998,0.0,31.225,,,-9.779,,145.652001,167.098001,0.0,167.098001,219.006,
09/28/1991,209.649994,32.293,20.471001,11.822,26.875,,,90.184998,,,,,6.663,,,,,,156.016006,53.259998,160.556,-107.295998,0.0,,0.374,,,,0.374,53.633998,,27.264,27.264,,,,0.0,,,,,,5.576,,,5.576,32.84,0.0,,,,,9.16,,,,9.16,9.16,42.0,0.0,31.225,,,-9.779,,146.204003,167.650003,0.0,167.650003,209.650003,
12/28/1991,206.630005,26.901999,16.577999,10.324,24.601,,,94.336998,,,,,6.865,,,,,,152.705002,53.588001,159.681,-106.093002,0.0,,0.337,,,,0.337,53.925001,,27.985001,27.985001,,,,0.0,,,,,,3.998999,,,3.998999,31.983999,0.0,,,,,9.187,,,,9.187,9.187,41.171,0.0,31.224001,,,-9.779,,144.014001,165.459002,0.0,165.459002,206.630001,
