Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2009,5900.0,5807.0,93.0,-5792.0,5792.0,108.0,0.0,-249.0,207.0,42.0,0.0,-141.0,-1303.0,425.0,445.0,-20.0,,20.0,858.0,-1444.0,432.0,-1012.0,4.0,4.0,0.0,-1016.0,,-1016.0,0.0,0.0,-1016.0,-415.3,596.7,,,,,,,,,
06/30/2009,7499.0,7499.0,,-7158.0,7158.0,341.0,0.0,-252.0,227.0,25.0,0.0,89.0,-529.0,498.0,569.0,-71.0,,-22.0,53.0,-440.0,87.0,-353.0,0.0,0.0,0.0,-353.0,2.0,-351.0,,0.0,-351.0,-267.15,83.85,,,,,,,,,
09/30/2009,8612.0,8488.0,124.0,-7956.0,7956.0,656.0,0.0,-237.0,199.0,38.0,0.0,419.0,-1402.0,441.0,445.0,-4.0,,168.0,793.0,-983.0,332.0,-651.0,0.0,0.0,0.0,-651.0,1.0,-650.0,,0.0,-650.0,399.1,1049.1,,,,,,,,,
12/31/2009,8817.0,8516.0,301.0,-8610.0,8610.0,207.0,0.0,-257.0,217.0,40.0,0.0,-50.0,-1360.0,413.0,,,,15.0,932.0,-1410.0,560.0,-850.0,0.0,0.0,0.0,-850.0,2.0,-848.0,,0.0,-848.0,-215.55,632.45,,,,,,,,,
03/31/2010,9755.0,9606.0,149.0,-9130.0,9130.0,625.0,0.0,-258.0,217.0,41.0,0.0,367.0,-347.0,409.0,411.0,-2.0,,-55.0,-7.0,20.0,-12.0,8.0,0.0,0.0,0.0,8.0,2.0,10.0,,0.0,10.0,-124.55,-134.55,,,,,,,,,
06/30/2010,10484.0,10309.0,175.0,-9482.0,9482.0,1002.0,0.0,-257.0,220.0,37.0,0.0,745.0,6799.0,419.0,434.0,-15.0,,-56.0,-7162.0,7544.0,1299.0,8843.0,0.0,0.0,0.0,8843.0,53.0,8896.0,,0.0,8896.0,4235.5,-4660.5,,,,,,,,,
09/30/2010,10302.0,10116.0,186.0,-9075.0,9075.0,1227.0,0.0,-239.0,204.0,35.0,0.0,988.0,-267.0,186.0,186.0,0.0,,-29.0,110.0,721.0,-254.0,467.0,0.0,0.0,0.0,467.0,7.0,474.0,,0.0,474.0,524.05,50.05,564.0,0.84,0.84,0.929167,564.0,0.84,0.84,0.928741,
12/31/2010,10610.0,10190.0,420.0,-9415.0,9415.0,1195.0,0.0,-351.0,231.0,41.0,79.0,844.0,-682.0,222.0,231.0,-9.0,,-30.0,490.0,162.0,542.0,704.0,-62.0,-62.0,0.0,766.0,5.0,771.0,0.0,0.0,771.0,989.15,280.15,564.0,1.367021,1.257092,1.753812,572.0,1.347902,1.23951,1.729283,
03/31/2011,12252.0,11960.0,292.0,-10943.0,10943.0,1309.0,0.0,-244.0,211.0,33.0,0.0,1065.0,-142.0,155.0,163.0,-8.0,,-58.0,45.0,923.0,-263.0,660.0,0.0,0.0,0.0,660.0,3.0,663.0,,-4.0,659.0,641.45,-17.55,566.0,1.16,1.16,1.133304,569.0,1.15,1.15,1.119156,
06/30/2011,13306.0,12997.0,309.0,-11704.0,11704.0,1602.0,0.0,-292.0,236.0,56.0,0.0,1310.0,-71.0,163.0,176.0,-13.0,,-73.0,-19.0,1239.0,-388.0,851.0,48.0,48.0,0.0,803.0,1.0,804.0,,-5.0,799.0,904.85,57.85,566.0,1.41,1.496466,1.598675,575.0,1.38,1.463478,1.564087,
09/30/2011,12516.0,12242.0,274.0,-10734.0,10734.0,1782.0,0.0,-289.0,236.0,53.0,0.0,1493.0,-75.0,146.0,156.0,-10.0,,-52.0,-19.0,1418.0,-506.0,912.0,17.0,17.0,0.0,895.0,,895.0,0.0,0.0,895.0,944.5,32.5,575.0,1.56,1.586087,1.642609,575.0,1.51,1.539565,1.596087,
12/31/2011,10981.0,10740.0,241.0,-10257.0,10257.0,724.0,0.0,-285.0,231.0,54.0,0.0,439.0,-510.0,542.0,549.0,-7.0,,-33.0,1.0,-71.0,98.0,27.0,245.0,245.0,0.0,-218.0,3.0,-215.0,0.0,0.0,-215.0,401.15,371.15,572.0,-0.38,0.05,0.701311,572.0,-0.38,0.05,0.698864,
03/31/2012,11734.0,11447.0,287.0,-10532.0,10532.0,1202.0,0.0,-262.0,223.0,39.0,0.0,940.0,-45.0,95.0,99.0,-4.0,,-46.0,-4.0,895.0,-301.0,594.0,-5.0,-5.0,0.0,599.0,1.0,600.0,0.0,-3.0,597.0,599.8,7.8,572.0,1.04,1.03,1.048601,575.0,1.04,1.03,1.043565,
06/30/2012,11248.0,11005.0,243.0,-9561.0,9561.0,1687.0,0.0,-238.0,201.0,37.0,0.0,1449.0,-375.0,409.0,411.0,-2.0,,-27.0,-7.0,1074.0,-306.0,768.0,0.0,0.0,0.0,768.0,2.0,770.0,0.0,0.0,770.0,919.5,149.5,573.0,1.34,1.34,1.604712,577.0,1.33,1.33,1.589099,
