Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2007,5549.0,,-2121.0,,3428.0,,-1235.0,,,,,,2193.0,-72.0,10.0,10.0,,0.0,62.0,2121.0,-618.0,,1503.0,0.0,,,1503.0,-58.0,1445.0,0.0,0.0,1445.0,1445.0,,2109.0,0.69,0.69,0.71,2109.0,0.69,0.69,0.71,
06/30/2007,5835.0,,-2244.0,,3591.0,,-1298.0,,,,,,2293.0,-79.0,3.0,3.0,,0.0,76.0,2214.0,-668.0,,1546.0,0.0,,,1546.0,-63.0,1483.0,0.0,0.0,1483.0,1483.0,,2109.0,0.7,0.7,0.73,2109.0,0.7,0.7,0.73,
09/30/2007,5916.0,,-2229.0,,3687.0,,-1171.0,,,,,,2516.0,-5.0,-16.0,0.0,-16.0,0.0,21.0,2511.0,-710.0,,1801.0,0.0,,,1801.0,-76.0,1725.0,0.0,0.0,1725.0,1725.0,10.76,2109.0,0.82,0.82,0.83,2109.0,0.82,0.82,0.83,
12/31/2007,5907.0,,-2244.0,,3663.0,,-1372.0,,,,,,2291.0,17.0,,13.0,,0.0,-30.0,2308.0,-654.0,,1654.0,0.0,,,1654.0,-87.0,1567.0,0.0,0.0,1567.0,1567.0,,2109.0,0.74,0.74,0.74,2109.0,0.74,0.74,0.74,
03/31/2008,5921.0,,-2181.0,,3740.0,0.0,-1193.0,,1184.0,,,9.0,2547.0,-98.0,75.0,75.0,,,23.0,2449.0,-725.0,,1724.0,0.0,,,1724.0,-51.0,1673.0,0.0,0.0,1673.0,1673.0,,2108.0,0.79,0.79,0.8,2108.0,0.79,0.79,0.8,
06/30/2008,6709.0,,-2462.0,,4247.0,0.0,-1591.0,,1584.0,,,7.0,2656.0,-109.0,61.0,61.0,0.0,0.0,48.0,2547.0,-790.0,,1757.0,0.0,,,1757.0,-65.0,1692.0,0.0,0.0,1692.0,1692.0,,2095.0,0.81,0.81,0.81,2108.0,0.8,0.8,0.81,
09/30/2008,6953.0,,-2481.0,,4472.0,0.0,-1556.0,,1556.0,,,0.0,2916.0,-95.0,69.0,69.0,,0.0,26.0,2821.0,-667.0,,2154.0,0.0,,,2154.0,-74.0,2080.0,0.0,0.0,2080.0,2080.0,-161.0,2051.0,1.01,1.01,0.93,2064.0,1.01,1.01,0.93,
12/31/2008,6122.0,,-2204.0,,3918.0,0.0,-1692.0,1677.0,1615.0,,,15.0,2226.0,-106.0,106.0,,,0.0,0.0,2120.0,-605.0,,1515.0,0.0,,,1515.0,-70.0,1445.0,0.0,0.0,1445.0,1445.0,0.0,2020.0,0.72,0.72,0.72,2031.0,0.71,0.71,0.71,
03/31/2009,5597.0,5597.0,-1971.0,1971.0,3626.0,0.0,-1306.0,,1290.0,,,16.0,2320.0,-158.0,158.0,,,,0.0,2162.0,-645.0,,1517.0,0.0,0.0,0.0,1517.0,-41.0,1476.0,0.0,0.0,1476.0,1476.7,0.7,1993.0,0.74,0.74,0.740943,2000.0,0.74,0.74,0.74035,
06/30/2009,6134.0,6134.0,-2185.0,2185.0,3949.0,0.0,-1520.0,,1498.0,,,22.0,2429.0,-193.0,193.0,,,,0.0,2236.0,-639.0,,1597.0,0.0,0.0,0.0,1597.0,-51.0,1546.0,,0.0,1546.0,1546.65,0.65,1955.0,0.79,0.79,0.791125,1961.0,0.79,0.79,0.790331,
09/30/2009,6587.0,6587.0,-2320.0,2320.0,4267.0,0.0,-1417.0,,1398.0,,,19.0,2850.0,-221.0,221.0,,,,0.0,2629.0,-775.0,,1854.0,0.0,0.0,0.0,1854.0,-56.0,1798.0,0.0,0.0,1798.0,1799.15,1.15,1927.0,0.93,0.93,0.933653,1934.0,0.93,0.93,0.930595,
12/31/2009,6717.0,6717.0,-2546.0,2546.0,4171.0,0.0,-1730.0,,1638.0,,,92.0,2441.0,-225.0,225.0,,,,0.0,2216.0,-632.0,,1584.0,0.0,0.0,0.0,1584.0,-62.0,1522.0,,0.0,1522.0,1539.0,17.0,1899.0,0.8,0.8,0.810427,1905.0,0.8,0.8,0.808924,
