Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/22/1997,27,52,125,-29,,-26.0,-3,-121,-2.0,1.0,,-120,,10,-47,15,,,-62,,,0.0,0.0,0.0,,,,,57,-57,0,60,,,,0,0.0,0,-117.0,,-20,16.0,6.0,
06/14/1997,204,121,132,-28,,-10.0,-18,-21,6.0,-19.0,,-8,,305,-94,19,,,-113,,,0.0,0.0,0.0,,,,,399,-516,0,-18,,,,0,0.0,0,-498.0,,-7,43.0,8.0,
09/06/1997,242,79,122,-4,,15.0,-19,45,-25.0,22.0,,48,,52,-59,54,,,-113,,,0.0,0.0,0.0,,,,,111,-269,0,20,,,,0,0.0,0,-289.0,,25,87.0,7.0,
12/27/1997,337,-363,157,409,,,409,134,,,,134,,99,-301,0,,,-301,,,0.0,0.0,0.0,,,,,400,-303,0,4391,,,,0,0.0,0,-4694.0,,133,64.0,43.0,
03/21/1998,40,54,104,-13,,,-13,-105,,,,-105,,66,-40,13,,,-53,,,0.0,0.0,0.0,,,,,106,-135,0,-130,,,,0,0.0,0,-5.0,,-29,34.0,83.0,
06/13/1998,236,112,97,-55,,,-55,82,,,,82,,41,-95,9,,,-104,,,0.0,0.0,0.0,,,,,136,-314,0,-315,,,,0,0.0,0,1.0,,-37,23.0,70.0,
09/05/1998,227,128,97,-47,,,-47,49,,,,49,,100,-83,12,,,-95,,,0.0,0.0,0.0,,,,,183,-384,0,-386,,,,0,0.0,0,2.0,,-57,87.0,61.0,
12/26/1998,171,151,119,33,,,33,-132,,,,-132,,95,-184,24,,,-208,,,0.0,0.0,0.0,,,,,279,-290,0,-302,,,,0,0.0,0,12.0,,-24,164.0,89.0,
03/20/1999,24,106,95,-9,,-21.0,12,-168,-24.0,5.0,,-149,,42,-63,3,,,-66,,,0.0,0.0,0.0,,,,,105,-77,0,-83,,,,0,0.0,0,6.0,,-11,22.0,47.0,
06/12/1999,163,179,88,-144,,-18.0,-126,40,-50.0,,,90,,203,-71,15,,,-86,,,0.0,0.0,0.0,,,,,274,-310,0,-311,,,,0,0.0,0,1.0,,56,73.0,69.0,
