Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Net Utility Plant,Source: Bloomberg
03/31/1990,168.826004,173.360001,173.360001,,3.493182,1.619658,1.048518,1.05,0.475,0.475,1.05,0.475,0.475,0.365,1.029326,1.029326,0.03413,14.750334,,39.450741,
06/30/1990,160.735992,167.75,167.75,,3.60456,1.587768,0.807088,0.02,0.02,0.02,0.02,0.02,0.02,0.365,0.295768,0.295768,0.037378,14.350407,,39.891562,
09/30/1990,160.735992,161.231995,161.231995,,4.80288,2.48491,1.807259,0.93,0.93,0.93,0.93,0.93,0.93,0.365,2.32189,2.32189,0.131788,14.258425,,39.90011,
12/31/1990,160.735992,160.546005,160.546005,,3.939594,1.255403,0.658665,0.145,0.145,0.145,0.145,0.145,0.145,0.365,0.805022,0.805022,0.041254,14.020108,,40.233085,
03/31/1991,160.735992,160.735992,160.735992,,3.962093,1.841741,1.192396,0.54,0.54,0.54,0.54,0.54,0.54,0.38,0.744233,0.744233,0.823126,14.238087,,40.119377,
06/30/1991,160.735992,160.735992,160.735992,,3.957801,1.706911,1.033689,0.445,0.445,0.445,0.445,0.445,0.445,0.38,1.029856,1.029856,0.106641,14.320949,,40.067498,
09/30/1991,160.735992,160.735992,160.735992,,4.901267,2.586527,1.839986,0.93,0.93,0.93,0.93,0.93,0.93,0.38,1.013301,1.013301,0.028793,14.891027,,39.838601,
12/31/1991,160.735992,160.735992,160.735992,,3.887947,1.396862,0.720847,0.355,0.355,0.355,0.355,0.355,0.355,0.38,0.846332,0.846332,0.239106,14.873308,,40.005439,
03/31/1992,160.735992,160.735992,160.735992,,4.095355,1.953016,1.228225,0.575,0.575,0.575,0.575,0.575,0.575,0.395,1.349567,1.349567,0.083783,15.114866,,39.88312,
06/30/1992,160.735992,160.735992,160.735992,,3.864772,1.517432,0.860417,0.425,0.425,0.425,0.425,0.425,0.425,0.395,0.85106,0.85106,0.149761,15.163772,,39.875705,
09/30/1992,160.735992,160.735992,160.735992,,5.128397,2.356765,1.695171,0.9,0.9,0.9,0.9,0.9,0.9,0.395,1.631408,1.631408,0.4021,15.70981,,39.859064,
12/31/1992,160.735992,160.740006,160.740006,,4.124822,1.543717,0.89605,0.46,0.46,0.46,0.46,0.46,0.46,0.395,0.967519,0.967519,0.067334,15.765137,,39.975976,
03/31/1993,160.737,160.737,160.737,,4.401507,1.834288,1.131718,0.57,0.57,0.57,0.57,0.57,0.57,0.41,0.922252,0.922252,1.055152,15.992167,,39.87054,
06/30/1993,160.737,160.737,160.737,,4.196862,1.598655,0.875374,0.42,0.42,0.42,0.42,0.42,0.42,0.41,1.133354,1.133354,0.203102,16.036364,,39.826705,
09/30/1993,160.737,160.737,160.737,,5.317693,2.159521,1.49785,0.72,0.72,0.72,0.72,0.72,0.72,0.41,1.857077,1.857077,1.000865,16.38079,,39.716662,
12/31/1993,160.737,160.737,160.737,,4.097109,1.361634,0.586754,0.39,0.39,0.39,0.39,0.39,0.39,0.41,1.311272,1.311272,0.146867,16.375296,,40.016841,
03/31/1994,150.940994,150.820007,150.820007,,4.936089,2.016748,1.196957,0.57,0.57,0.57,0.57,0.57,0.57,0.425,1.324155,1.324155,0.22157,17.64995,,42.355027,
06/30/1994,151.128006,151.057007,151.057007,,4.550004,1.582217,0.729804,0.37,0.37,0.37,0.37,0.37,0.37,0.425,0.693559,0.693559,0.127402,17.60004,,42.096851,
09/30/1994,147.852005,149.416,149.416,,5.391337,2.438842,1.594401,0.79,0.79,0.79,0.79,0.79,0.79,0.425,2.113033,2.113033,0.327483,17.770053,,42.8293,
