Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Zakat Expenses,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1993,7.904,,-3.837,,4.067,,-3.734,,,,0.333,-0.043,,0.043,,0.0,0.0,0.29,-0.026,,0.264,0.0,,,0.264,0.0,0.264,0.0,,0.264,0.264,,32.472,0.00875,0.00875,,32.472,0.00875,0.00875,0.00875,
06/30/1993,9.032,,-4.399,,4.632999,,-3.932,,,,0.701,-0.049,,0.049,,0.0,0.0,0.652,-0.08,,0.572,0.0,,,0.572,0.0,0.572,0.0,,0.572,0.572,,32.992001,0.0175,0.0175,,32.992001,0.0175,0.0175,0.0175,
09/30/1993,9.841,,-4.841,,5.0,,-3.903,,,,1.097,0.031,,0.037,,0.0,-0.068,1.128,-0.124,,1.004,0.0,,,1.004,0.0,1.004,0.0,,1.004,1.004,,39.568001,0.025,0.025,,39.568001,0.025,0.025,0.025,
12/31/1993,11.651,,-5.761,,5.89,,-3.944,,,,1.946,-0.106,,0.038,,0.0,0.068,1.84,0.368,0.405,1.803,0.0,,,2.208,0.0,1.803,0.0,,1.803,1.803,,39.880001,0.04625,0.04625,,39.880001,0.04625,0.04625,0.04625,
03/31/1994,10.037,,-4.833,,5.204,,-4.087,,,,1.117,-0.506,,0.04,,0.0,0.466,0.611,-0.055,,0.556,0.0,,,0.556,0.0,0.556,0.0,,0.556,0.556,,44.48,0.0125,0.0125,,44.48,0.0125,0.0125,0.0125,
06/30/1994,11.628,,-6.093,,5.535,,-4.734,,,,0.801,0.331,,0.036,,0.0,-0.367,1.132,-0.116,,1.016,0.0,,,1.016,0.0,1.016,0.0,,1.016,1.016,,42.776001,0.02375,0.02375,,42.776001,0.02375,0.02375,0.02375,
09/30/1994,12.479,,-6.451,,6.028,,-5.081,,,,0.947,0.745,,0.049,,0.0,-0.794,1.692,-0.172,,1.52,0.0,,,1.52,0.0,1.52,0.0,,1.52,1.52,,43.431999,0.035,0.035,,43.431999,0.035,0.035,0.035,
12/31/1994,14.833,,-6.436,,8.397,,-6.039,,,,2.358,-0.037,,0.047,,0.0,-0.01,2.321,-0.227,,2.094,0.0,,,2.094,0.0,2.094,0.0,,2.094,2.094,,44.088,0.0475,0.0475,0.0475,44.088,0.0475,0.0475,0.0475,
03/31/1995,9.206,,-3.971,,5.235,,-4.819,,,,0.416,0.057,,0.041,,0.0,-0.098,0.473,-0.057,,0.416,0.0,,,0.416,0.0,0.416,0.0,,0.416,0.416,,40.936001,0.01,0.01,,40.936001,0.01,0.01,0.01,
06/30/1995,13.938,,-6.588,,7.35,,-6.076,,,,1.274,-0.01,,0.041,,0.0,-0.031,1.264,-0.14,,1.124,0.0,,,1.124,0.0,1.124,0.0,,1.124,1.124,,40.664001,0.025,0.025,,40.664001,0.025,0.025,0.025,
09/30/1995,12.054,,-5.6,,6.454,,-4.982,,,,1.472,-0.801,,0.357,,0.0,0.444,0.671,-0.106,,0.565,0.0,,,0.565,0.0,0.565,0.0,,0.565,0.565,,40.664001,0.0125,0.0125,,40.664001,0.0125,0.0125,0.0125,
12/31/1995,14.927,,-6.565,,8.362,,-6.565,,,,1.797,0.185,,0.356,,0.0,-0.541,1.982,-0.22,,1.762,0.0,,,1.762,0.0,1.762,0.0,,1.762,1.762,,44.016,0.04,0.04,0.04,44.016,0.04,0.04,0.04,
03/31/1996,11.236,,-5.244,,5.992,,-5.853,,,,0.139,-0.067,,0.096,,0.0,-0.029,0.072,-0.016,,0.056,0.0,,,0.056,0.0,0.056,0.0,,0.056,0.056,,44.119999,0.00125,0.00125,0.00125,44.119999,0.00125,0.00125,0.00125,
06/30/1996,15.129,,-7.386,,7.743,,-6.205,,,,1.538,-0.129,,0.129,,0.0,0.0,1.409,-0.303,,1.106,0.0,,,1.106,0.0,1.106,0.0,,1.106,1.106,,42.599998,0.02625,0.02625,0.02625,44.824001,0.025,0.025,0.025,
09/30/1996,17.938,,-8.312,,9.625999,,-6.662,,,,2.964,-0.251,,0.259,,0.0,-0.008,2.713,-0.592,,2.121,0.0,,,2.121,0.0,2.121,0.0,,2.121,2.121,,42.688,0.04875,0.04875,0.04875,44.959999,0.0475,0.0475,0.0475,
12/31/1996,21.714001,,-9.473,,12.241001,,-9.764,,,,2.477,-0.328,,0.335,,0.0,-0.007,2.149,-0.34,,1.809,0.0,,,1.809,0.0,1.809,0.0,,1.809,1.809,,43.032,0.0425,0.0425,0.0425,45.256,0.04,0.04,0.04,
03/31/1997,15.821,,-7.529,,8.292,,-7.863,,,,0.429,-0.306,,0.312,,0.0,-0.006,0.123,-0.032,,0.091,0.0,,,0.091,0.0,0.091,0.0,,0.091,0.091,,43.392,0.0025,0.0025,0.0025,45.984,0.0025,0.0025,0.0025,
06/30/1997,19.938999,,-8.995,,10.943999,,-8.441,,,,2.503,-0.546,,0.56,,0.0,-0.014,1.957,-0.507,,1.45,0.0,,,1.45,0.0,1.45,0.0,,1.45,1.45,,43.912,0.0325,0.0325,0.0325,46.736,0.03125,0.03125,0.03125,
09/30/1997,23.915001,,-11.13,,12.785001,,-9.117,,,,3.668,-0.501,,0.533,,0.0,-0.032,3.167,-0.73,,2.437,0.0,,,2.437,0.0,2.437,0.0,,2.437,2.437,,44.336,0.055,0.055,0.055,47.84,0.05125,0.05125,0.05125,
12/31/1997,32.096001,,-30.853001,,1.243,,-12.944,,,,-11.701,-37.018,0.568,0.698,-0.13,0.0,36.45,-48.719,14.153,,-34.566002,0.0,,,-34.566,0.0,-34.566002,0.0,,-34.566002,-34.566002,37.841999,55.752,-0.62,-0.62,0.05875,55.752,-0.62,-0.62,0.05875,
03/31/1998,40.104,,-19.602,,20.502,,-19.464,,,,1.038,-1.112,1.112,1.475,-0.363,0.0,0.0,-0.074,-0.121,,-0.195,0.0,,,-0.195,0.0,-0.195,0.0,,-0.195,-0.195,,95.256,-0.0025,-0.0025,-0.0025,95.256,-0.0025,-0.0025,-0.0025,
06/30/1998,49.397,,-22.199,,27.198,,-21.541,,,,5.657,-1.096,1.096,1.198,-0.102,,0.0,4.561,-1.128,,3.433,,,,3.433,,3.433,0.0,,3.433,3.433,,96.168,0.03625,0.03625,0.03625,100.904,0.03375,0.03375,0.03375,
09/30/1998,56.013,,-26.705,,29.308,,-20.423,,,,8.885,-0.615,0.615,0.865,-0.25,0.0,0.0,8.27,-2.539,,5.731,0.0,,,5.731,0.0,5.731,0.0,,5.731,5.731,,110.896,0.05125,0.05125,0.05125,114.152,0.05,0.05,0.05,
12/31/1998,51.351002,,-23.754,,27.597002,,-27.070999,,,,0.526,-1.648,,1.661,,0.0,-0.013,-1.122,1.982,,0.86,0.0,,,0.86,0.0,0.86,0.0,,0.86,0.86,,114.664001,0.0075,0.0075,0.0075,114.666664,0.0075,0.0075,0.0075,
03/31/1999,38.821,,-38.827,,-0.006,,-25.688,,,,-25.694,-1.208,1.226,1.226,0.0,0.0,-0.018,-26.902,0.0,,-26.902,0.0,,,-26.902,0.0,-26.902,0.0,0.0,-26.902,-26.902,,113.088,-0.2375,-0.2375,-0.2375,113.088,-0.2375,-0.2375,-0.2375,
06/30/1999,46.316,,-21.571,,24.745,,-22.671,,,,2.074,-0.777,0.981,0.981,0.0,,-0.204,1.297,-0.367,,0.93,,,,0.93,,0.93,0.0,,0.93,0.93,,113.576,0.00875,0.00875,0.00875,115.768,0.0075,0.0075,0.0075,
09/30/1999,45.569,,-21.382,,24.187,,-21.576,,,,2.611,-1.868,,1.576,,0.0,0.292,0.743,-0.55,,0.193,0.0,,,0.193,0.0,0.193,0.0,0.0,0.193,0.193,,114.487999,0.00125,0.00125,0.005,116.183998,0.00125,0.00125,0.005,
12/31/1999,48.06,,-40.29,,7.77,,-28.41,,,,-20.63,-8.11,,4.26,,0.0,3.85,-28.74,-1.38,,-30.13,0.0,,,-30.12,0.0,-30.13,0.0,0.0,-30.13,-30.13,,114.016,-0.26375,-0.26375,-0.17625,114.016,-0.26375,-0.26375,-0.17625,
03/31/2000,36.678001,,-17.518999,,19.159002,,-22.891001,,,,-3.732,-2.01,2.092,2.092,0.0,0.0,-0.082,-5.742,1.836,,-3.906,0.0,,,-3.906,0.0,-3.906,0.0,0.0,-3.906,-3.906,,115.16,-0.03375,-0.03375,-0.03375,115.16,-0.03375,-0.03375,-0.03375,
06/30/2000,52.560001,,-29.861,,22.699001,,-27.142,,,,-4.443,-2.132,2.753,2.753,,0.0,-0.621,-6.575,0.0,,-6.575,0.0,,,-6.575,0.0,-6.575,0.0,0.0,-6.575,-6.575,7.302,115.688,-0.05625,-0.05625,0.00625,115.688,-0.05625,-0.05625,0.00625,
09/30/2000,39.911999,,-29.214001,,10.697998,,-24.194,,,,-13.496,-2.084,2.772,2.772,,0.0,-0.688,-15.58,-2.569,,-18.149,0.0,,,-18.149,0.0,-18.149,0.0,0.0,-18.149,-18.149,12.722,115.872,-0.15625,-0.15625,-0.04625,115.872,-0.15625,-0.15625,-0.04625,
03/31/2001,50.472,,-23.181,,27.291,,-19.466999,,,,7.824,-3.266,3.454,3.454,0.0,0.0,-0.188,4.558,-0.684,,3.874,0.0,,,3.874,0.0,3.874,0.0,0.0,3.874,3.874,,116.488,0.03375,0.03375,0.03375,116.832,0.03375,0.03375,0.03375,
06/30/2001,51.395,,-22.700001,,28.694999,,-20.125,,,,8.57,-1.954,2.004,2.004,,0.0,-0.05,6.616,-0.992,,5.624,0.0,,,5.624,0.0,5.624,0.0,0.0,5.624,5.624,,117.68,0.0475,0.0475,0.0475,123.44,0.045,0.045,0.045,
09/30/2001,47.499,,-21.537,,25.962,,-17.058,11.005,,6.053,8.904,-2.666,2.846,2.846,,0.0,-0.18,6.238,-0.065,,6.173,0.0,,,6.173,0.0,6.173,0.0,0.0,6.173,6.173,,121.04,0.05125,0.05125,0.05125,129.784,0.0475,0.0475,0.0475,
12/31/2001,65.007004,,-30.122999,,34.884005,,-22.870001,,,,12.014,-0.683,,1.119,,0.0,-0.436,11.331,-1.068,,10.263,0.0,,,10.263,0.0,10.263,0.0,0.0,10.263,10.263,,124.440002,0.0825,0.0825,0.0825,133.856003,0.07625,0.07625,0.07625,
03/31/2002,58.098,,-26.799,,31.299,,-20.908,,,,10.391,-0.194,0.318,0.318,0.0,0.0,-0.124,10.197,-1.529,,8.668,0.0,,,8.668,0.0,8.668,0.0,0.0,8.668,8.668,,133.2,0.065,0.065,0.065,142.376,0.06125,0.06125,0.06125,
06/30/2002,63.595001,,-30.777,,32.818001,,-21.222,,,,11.596,-0.352,0.825,0.825,,0.0,-0.473,11.244,-1.687,,9.557,0.0,,,9.557,0.0,9.557,0.0,0.0,9.557,9.557,,134.352008,0.07,0.07,0.07,142.544008,0.0675,0.0675,0.0675,
09/30/2002,64.455002,,-30.632,,33.823002,,-21.004999,,,,12.818,-0.289,0.39,0.39,,0.0,-0.101,12.529,-1.879,,10.65,0.0,,,10.65,0.0,10.65,0.0,0.0,10.65,10.65,,135.0,0.07875,0.07875,0.07875,142.056,0.075,0.075,0.075,
12/31/2002,74.931984,,-35.851998,,39.079986,,-23.708003,,,,15.371998,-0.146,,0.146,,0.0,0.303,14.922998,-2.239,,12.683998,0.0,,,12.683998,0.0,12.683998,0.0,0.0,12.683998,12.683998,,136.807992,0.092714,0.092714,0.092714,143.74396,0.08824,0.08824,0.08824,
03/31/2003,69.170998,,-33.127998,,36.043,,-22.233,,,,13.81,-0.153,,0.26,,0.0,-0.107,13.657,-4.507,,9.15,0.0,,,9.15,0.0,9.15,0.0,0.0,9.15,9.15,,138.664,0.06625,0.06625,0.06625,144.256,0.06375,0.06375,0.06375,
06/30/2003,75.162003,,-36.041,,39.121003,,-23.618999,,,,15.502,-1.002,,0.445,,0.0,0.557,14.5,-4.785,,9.715,0.0,,,9.715,0.0,9.715,0.0,0.0,9.715,9.715,,137.968004,0.07,0.07,0.07,143.78,0.0675,0.0675,0.0675,
09/30/2003,70.232002,,-31.240999,,38.991003,,-21.222,,,,17.768999,-2.205,,2.24,,0.0,-0.035,15.563999,-4.699,,10.865,0.0,,,10.864999,0.0,10.865,0.0,0.0,10.865,10.865,,131.836,0.0825,0.0825,0.0825,137.432008,0.08,0.08,0.08,
