Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Market Cap,EV/EBITDA,EV/EBIT,EV/Book Value,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/30/1990,2261.934786,-743.703979,0.003,0,42457.792969,43976.026775,45626.690988,93.054728,0.965476,19.441775,,,13.877401,2318.376062,44032.468052,52.857325,,
06/29/1990,2342.43639,-349.380005,0.003,0,43346.318848,45339.378233,46591.876779,93.034069,0.956041,19.35565,,,13.969684,2402.145023,45399.086866,54.437765,,
09/28/1990,1886.723925,-611.893982,0.003,0,46288.26416,47563.097103,49541.431223,93.433442,0.973197,25.209357,,,14.620565,1968.737044,47645.110223,58.690534,,
12/28/1990,2084.034742,-407.377991,0.003,0,43627.40332,45304.063072,46852.833322,93.115827,0.962991,21.738631,8.520939,160.466065,14.045912,2202.85527,45422.8836,56.724241,,
03/29/1991,3569.524312,-341.419006,0.003,0,52454.398926,55682.507231,55848.849924,93.922075,0.942027,15.59942,9.921927,116.216105,16.403995,3770.65024,55883.633159,68.003719,,
06/28/1991,3952.000797,-426.128998,0.003,0,52579.761719,56105.636518,56168.269724,93.611147,0.937156,14.196768,9.627793,89.490952,15.634822,4363.659569,56517.29529,68.100119,,
09/27/1991,5100.311456,-285.091003,0.003,0,55766.161621,60581.385073,59527.330637,93.68161,0.920516,11.877978,10.082872,77.125892,16.107076,5629.687986,61110.761604,73.309393,,
12/27/1991,5855.1427,-337.114014,0.003,0,58705.813965,64223.845651,62523.901926,93.893395,0.914081,10.968793,10.035153,63.124346,16.820958,6546.449913,64915.152864,78.152647,,
03/27/1992,5923.913848,-455.571014,0.003,0,69533.863281,75002.209115,73724.081247,94.316351,0.927091,12.660922,11.321519,61.034719,17.89937,6484.850834,75563.146101,88.824278,,
06/26/1992,5107.324799,-180.444,0.003,0,75266.483398,80193.367197,79562.211374,94.600794,0.938562,15.701638,11.941582,59.422742,18.66818,5612.726847,80698.769245,96.663211,,
