Date,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
09/30/2009,48.0,11.0,59.0,,,1.099656,0.252005,1.351661,0.312398,0.071591,0.38399,
06/30/2011,,,,4818.0,4818.0,,,,,,,
09/30/2011,,,,4822.0,4822.0,,,,,,,
12/31/2011,,,,4870.0,4870.0,,,,,,,
06/30/2012,,,,5206.0,5206.0,,,,,,,
09/30/2012,,,,5032.0,5032.0,,,,,,,
12/31/2012,,,,5106.0,5106.0,,,,,,,
03/31/2013,,,,5032.0,5032.0,,,,,,,
06/30/2013,,,,4891.0,4891.0,,,,,,,
09/30/2013,,,,6396.0,6396.0,,,,,,,
12/31/2013,,,,5683.0,5683.0,,,,,,,
03/31/2014,,,,5856.0,5856.0,,,,,,,
06/30/2014,,,,6013.0,6013.0,,,,,,,
09/30/2014,,,,5921.0,5921.0,,,,,,,
12/31/2014,,,,5922.0,5922.0,,,,,,,
03/31/2015,,,,5991.0,5991.0,,,,,,,
06/30/2015,,,,5752.0,5752.0,,,,,,,
09/30/2015,,,,5761.0,5761.0,,,,,,,
12/31/2015,,,,5517.0,5517.0,,,,,,,
03/31/2016,,,,9486.0,9486.0,,,,,,,
06/30/2016,,,,9979.0,9979.0,,,,,,,
09/30/2016,,,,9454.0,9454.0,,,,,,,
12/31/2016,,,,7475.0,7475.0,,,,,,,
03/31/2017,,,,7567.0,7567.0,,,,,,,
06/30/2017,,,,7692.0,7692.0,,,,,,,
09/30/2017,,,,7097.0,7097.0,,,,,,,
12/31/2017,,,,7048.0,7048.0,,,,,,,
03/31/2018,,,,,6793.0,,,,,,,
06/30/2018,,,,6649.0,6649.0,,,,,,,
09/30/2018,,,,6603.0,6603.0,,,,,,,
12/31/2018,,,,6344.0,6344.0,,,,,,,
03/31/2019,,,,,7245.0,,,,,,,
06/30/2019,,,,,7360.0,,,,,,,
09/30/2019,,,,,7706.0,,,,,,,
12/31/2019,,,,7441.0,7441.0,,,,,,,
03/31/2020,,,,,7426.0,,,,,,,
06/30/2020,,,,,6377.0,,,,,,,
