Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1997,538.989,25.449,24.429,1.02,156.181,156.181,,82.876,30.073,17.306,35.497,,31.464,,,,295.97,107.245,184.756,-77.511,,135.774,118.479,,,17.295,243.019,,35.661,35.661,,,,0.0,,,,,,111.487,,,111.487,147.148,35.854,,,,,49.987,,,,,,49.987,85.841,232.989,,229.877,,,,81.26,-5.137,306.0,,306.0,538.989,
09/30/1997,723.55,36.748,35.815,0.933,177.402,177.402,,86.896,30.978,17.426,38.492,,33.555,,,,334.601,199.36,280.865,-81.505,,189.589,179.288,,,10.301,388.949,,39.492,39.492,,,,5.8,,,,,,150.231,,,150.231,195.523,153.729,,,,,49.764,,,,,,49.764,203.493,399.016,,233.524,,,,96.569,-5.559,324.534,,324.534,723.55,
12/31/1997,733.497,17.484,16.601,0.883,195.175,195.175,,92.362,31.581,18.504,42.277,,33.623,,,,338.644,204.443,283.707,-79.264,,190.41,179.819,,,10.591,394.853,,43.906,43.906,,,,2.1,,,,,,149.018,,,149.018,195.024,153.204,,,,,49.76,,,,,,49.76,202.964,397.988,,227.015,,,,114.739,-6.245,335.509,,335.509,733.497,
03/31/1998,728.069,17.172,17.172,,203.992,203.992,,83.149,33.007,17.666,32.476,0.0,35.763,,,,340.076,205.292,289.658,-84.366,,182.701,173.972,,,8.729,387.993,,37.213,37.213,,,,2.2,,,,,,125.985,,,125.985,165.398,152.879,,,,,50.84,,,,,,50.84,203.719,369.117,0.0,230.477,,,0.0,135.009,-6.534,358.952,,358.952,728.069,
06/30/1998,744.033,21.825,21.825,,187.511,187.511,,106.206,38.24,21.532,46.434,,35.193,,,,350.735,210.25,300.451,-90.201,,183.048,173.552,,,9.496,393.298,,32.613,32.613,,,,2.2,,,,,,128.924,,,128.924,163.737,152.854,,,,,50.888,,,,,,50.888,203.742,367.479,,234.396,,,,149.354,-7.196,376.554,,376.554,744.033,
09/30/1998,825.032,25.077,25.077,,196.599,196.599,,110.619,42.071,24.982,43.566,,40.655,,,,372.95,224.781,322.394,-97.613,,227.301,212.758,,,14.543,452.082,,37.514,37.514,,,,2.2,,,,,,136.519,,,136.519,176.233,202.25,,,,,51.341,,,,,,51.341,253.591,429.824,,233.616,,,,168.125,-6.533,395.208,,395.208,825.032,
12/31/1998,852.689,15.013,15.013,,208.725,208.725,,113.346,43.45,29.46,40.436,,41.334,,,,378.418,246.256,349.549,-103.293,,228.015,213.159,,,14.856,474.271,,35.665,35.665,,,,2.2,,,,,,135.766,,,135.766,173.631,211.725,,,,,51.474,,,,,,51.474,263.199,436.83,,230.774,,,,191.1,-6.015,415.859,,415.859,852.689,
03/31/1999,865.996,23.68,23.68,,230.346,230.346,,99.279,36.878,19.585,42.816,0.0,40.092,,,,393.397,261.281,372.386,-111.105,,211.318,196.831,196.831,0.0,14.487,472.599,,47.431,47.431,,,,2.2,,,,,,107.506,,,107.506,157.137,221.5,,,,,51.422,,,,,,51.422,272.922,430.059,,222.946,,,0.0,219.863,-6.872,435.937,,435.937,865.996,
06/30/1999,865.798,17.64,17.64,,210.837,210.837,,121.953,39.771,22.866,59.316,,37.738,,,,388.168,267.984,387.185,-119.201,,209.646,206.476,,,3.17,477.63,,32.812,32.812,,,,2.2,,,,,,99.387,,,99.387,134.399,256.475,,,,,51.427,,,,,,51.427,307.902,442.301,,201.593,,,,229.198,-7.294,423.497,,423.497,865.798,
09/30/1999,905.416,32.31,32.31,,219.389,219.389,,124.597,46.132,24.406,54.059,,38.68,,,,414.976,280.339,408.037,-127.698,,210.101,206.701,,,3.4,490.44,,39.739,39.739,,,,1.816,,,,,,104.669,,,104.669,146.224,266.45,,,,,51.655,,,,,,51.655,318.105,464.329,,204.304,,,,243.606,-6.823,441.087,,441.087,905.416,
