Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,12431.0,,,-8057.0,,,4374.0,,-2929.0,,,,1445.0,-49.0,,217.0,,,-168.0,1396.0,-432.0,964.0,0.0,,,964.0,-14.0,950.0,0.0,,950.0,950.0,,10791.312012,0.088333,0.088333,0.088333,10791.312012,0.088333,0.088333,0.088333,
06/30/1990,14214.0,,,-9184.0,,,5030.0,,-3351.0,,,,1679.0,-58.0,,196.0,,,-138.0,1621.0,-513.0,1108.0,0.0,,,1108.0,-20.0,1088.0,0.0,,1088.0,1088.0,,10694.327637,0.101667,0.101667,0.101667,10694.327637,0.101667,0.101667,0.101667,
09/30/1990,14050.0,,,-9221.0,,,4829.0,,-3273.0,,,,1556.0,-68.0,,228.0,,,-160.0,1488.0,-446.0,1042.0,0.0,,,1042.0,-16.0,1026.0,0.0,,1026.0,1026.0,,10596.528076,0.096667,0.096667,0.096667,10596.528076,0.096667,0.096667,0.096667,
12/31/1990,16967.0,,,-11396.0,,,5571.0,,-3856.0,,,,1715.0,9.0,,277.0,,,-286.0,1724.0,-453.0,1271.0,0.0,,,1271.0,-32.0,1239.0,0.0,,1239.0,1239.0,,10503.539796,0.118333,0.118333,0.118333,10503.539796,0.118333,0.118333,0.118333,
03/31/1991,13139.0,,,-8391.0,,,4748.0,,-3216.0,,,,1532.0,-17.0,,211.0,,,-194.0,1515.0,-489.0,1026.0,1799.0,,,-773.0,-27.0,-800.0,0.0,,-800.0,-800.0,,10462.332275,-0.076667,0.095833,0.095833,10462.332275,-0.076667,0.095833,0.095833,
06/30/1991,14601.0,,,-9308.0,,,5293.0,,-3573.0,,,,1720.0,-52.0,,225.0,,,-173.0,1668.0,-518.0,1150.0,0.0,,,1150.0,-19.0,1131.0,0.0,,1131.0,1131.0,,10444.932129,0.108333,0.108333,0.108333,10444.932129,0.108333,0.108333,0.108333,
09/30/1991,14290.0,,,-9374.0,,,4916.0,,-3464.0,,,,1452.0,73.0,,215.0,,,-288.0,1525.0,-483.0,1042.0,0.0,,,1042.0,,1042.0,0.0,,1042.0,1042.0,,10420.87207,0.1,0.1,0.1,10420.87207,0.1,0.1,0.1,
12/31/1991,17349.0,,,-12035.0,,,5314.0,,-3499.0,,,,1815.0,-15.0,,217.0,,,-202.0,1800.0,-511.0,1289.0,0.0,,,1289.0,-26.0,1263.0,0.0,,1263.0,1263.0,,10384.28394,0.121667,0.121667,0.121667,10384.28394,0.121667,0.121667,0.121667,
03/31/1992,12278.0,,,-7385.0,,,4893.0,,-3453.0,,,,1440.0,-20.0,,167.0,,,-147.0,1420.0,-444.0,976.0,-94.0,,,1070.0,-12.0,1058.0,0.0,,1058.0,1058.0,,10333.283936,0.1025,0.093333,0.093333,10333.283936,0.1025,0.093333,0.093333,
06/30/1992,13984.0,,,-8536.0,,,5448.0,,-3738.0,,,,1710.0,-6.0,,197.0,,,-191.0,1704.0,-555.0,1149.0,-86.0,,,1235.0,-19.0,1216.0,0.0,,1216.0,1216.0,,10274.400146,0.118333,0.11,0.11,10274.400146,0.118333,0.11,0.11,
09/30/1992,13972.0,,,-8630.0,,,5342.0,,-4002.0,,,,1340.0,117.0,,183.0,,,-300.0,1457.0,-453.0,1004.0,-114.0,,,1118.0,-8.0,1110.0,0.0,,1110.0,1110.0,,10250.088135,0.108333,0.0975,0.0975,10250.088135,0.108333,0.0975,0.0975,
