Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,141.579,5.176,5.176,0.0,30.274,30.274,,,11.032,,,,,0.747,,,,47.229,29.406,55.127,-25.721,0.0,64.944,64.696,64.696,0.0,,0.248,94.35,,17.001,17.001,,,,2.712,,,,,,1.358,,,1.358,21.071,6.648,,,,,4.444,,,,,,,4.444,11.092,32.163,0.0,99.0,,,0.0,10.416,0.0,109.416,0.0,109.416,141.579,
06/30/1998,205.826004,1.778,1.778,0.0,43.855999,,,,1.75,0.0,0.0,1.75,,19.419001,,,,66.803001,44.088001,81.901001,-37.813,0.0,94.934998,93.764999,,,,1.169998,139.022999,,33.300999,33.300999,,,,3.945984,,,,,,2.832016,,,2.832016,40.078999,33.112,,,,,3.879,,,,,,,3.879,36.990999,77.069998,0.0,115.375,,,0.0,,13.381,128.756,0.0,128.756,205.825998,
09/30/1998,331.322998,2.584,2.584,0.0,83.919998,,,,1.913,0.0,0.0,1.913,,33.73,,,,122.146996,70.184998,135.132996,-64.947998,0.0,138.990997,134.929001,,,,4.061996,209.175995,,48.570999,48.570999,,,,2.61,,,,,,6.357999,,,6.357999,57.538998,108.296997,,,,,8.538,,,,,,,8.538,116.834997,174.373995,0.0,137.608002,,,0.0,,19.341,156.949002,0.0,156.949002,331.322997,
12/31/1998,339.080994,3.246,3.246,0.0,76.040001,,,,2.534,2.534,0.0,0.0,0.0,26.972,,,,108.792,74.211998,99.855003,-25.643,0.0,156.076996,150.886993,,,,5.190002,230.288994,,18.805,18.805,,,,4.357,,,,,,28.524001,,,28.524001,51.686001,109.630997,,,,,6.261,,,,,,,6.261,115.891997,167.577998,0.0,145.194,,,0.0,,26.309,171.503,0.0,171.503,339.080998,
03/31/1999,554.203979,5.257,5.257,0.0,114.084999,114.084999,,,6.141,0.0,0.0,6.141,,46.875999,,,,172.358994,93.219002,186.343994,-93.125,0.0,288.626007,283.083008,283.083008,0.0,,5.542999,381.845009,,68.778,68.778,,,,3.392,,,,,,9.980002,,,9.980002,82.150002,134.783997,,,,,7.5,,,,,,,7.5,142.283997,224.433998,0.0,300.037994,,,0.0,31.563,-1.830999,329.769995,0.0,329.769995,554.203993,
06/30/1999,741.599976,4.192,4.192,0.0,156.748993,156.748993,,,8.863,0.0,0.0,8.863,,52.396999,,,,222.201004,126.314499,231.619995,-105.304001,0.0,393.083008,385.878998,385.878998,0.0,,7.20401,519.397507,,94.456001,94.456001,,,,5.565,,,,,,11.213,,,11.213,111.234001,229.445007,,,,,9.365,,,,,,,9.365,238.810007,350.044008,0.0,355.186005,,,0.0,36.369999,0.0,391.556004,0.0,391.556004,741.600012,
09/30/1999,1034.18103,12.687,12.687,0.0,212.307999,212.307999,,,9.012,,55.741001,,,64.739998,,,,298.747009,161.001007,286.59201,-125.591003,0.0,574.432983,567.276978,567.276978,0.0,,7.156006,735.43399,,139.740997,139.740997,,,,6.777,,,,,,17.877007,,,17.877007,164.395004,146.460007,,,,,14.582,,,,,,,14.582,161.042006,325.437011,0.0,653.236023,,,0.0,55.507999,0.0,708.744022,0.0,708.744022,1034.181033,
12/31/1999,1159.636,10.775,10.775,0.0,253.881,,,,8.741,8.741,0.0,0.0,0.0,61.666,,,,335.063,191.854,238.114,-46.26,0.0,632.719,624.757,,,,7.962,824.573,,72.187,72.187,,,,6.664,,,,,,92.072,,,92.072,170.923,199.658,,,,,32.13,,,,,,,32.13,231.788,402.711,0.0,675.106,,,0.0,,81.819,756.925,0.0,756.925,1159.636,
03/31/2000,1277.267944,2.21,2.21,0.0,290.121002,,,,8.274,0.0,0.0,8.274,0.0,68.814003,,,,369.419006,223.996002,286.507996,-62.512001,0.0,683.853027,673.802002,,,,10.051025,907.84903,,151.101593,151.101593,,,,8.456,,,,,,21.059411,,,21.059411,180.617004,247.382004,,,,,31.861,,,,,,,31.861,279.243004,459.860008,0.0,716.273987,,,0.0,,101.134003,817.40799,0.0,817.40799,1277.267998,
06/30/2000,1435.857056,2.373,2.373,0.0,348.798004,348.798004,,,11.56,0.0,0.0,11.56,0.0,69.433998,,,,432.165009,252.595001,338.399994,-85.805,0.0,751.096985,742.799011,742.799011,0.0,,8.297974,1003.691986,,170.343994,170.343994,,,,9.01,,,,,,24.309,,,24.309,203.662994,251.701004,,,,,32.812,,,,,,,32.812,284.513004,488.175999,0.0,815.687012,,,0.0,131.994003,0.0,947.681015,0.0,947.681015,1435.857014,
