Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2007,815,,,,,,,,,,-153,-301,27,,,-328,,,,,,,,,,148,-866,0,-240,,,,0,0,0,-626,,-204,,,
09/30/2007,-198,,,,,,,,,,-338,-397,24,,,-421,,,0.0,0.0,0.0,,,,,59,-11,0,-8,,,,0,0,0,-3,,-547,,231.0,
12/31/2007,1557,-70.0,289.0,,,,,,,,-287,-534,81,,,-615,,,0.0,0.0,0.0,,,,,247,-109,0,533,,,,0,0,0,-642,,1161,0.0,375.0,
03/31/2008,283,-6390.0,297.0,,,,,,,,-550,-561,25,,,-586,,,0.0,0.0,0.0,,,,,11,111,0,118,,,,0,0,0,-7,,-156,0.0,180.0,
06/30/2008,989,-1044.0,302.0,,,,,,,,-259,-262,58,,,-320,,,0.0,0.0,0.0,,,,,3,17,0,18,,,,0,0,0,-1,,747,0.0,130.0,
09/30/2008,-990,-50.0,293.0,,,,,,,,-1106,-283,27,,,-310,,,0.0,0.0,0.0,,,,,-823,1017,0,1021,,,,0,0,0,-4,,-1079,0.0,205.0,
12/31/2008,-1989,-1438.0,374.0,670.0,-119.0,789.0,-1595.0,,-1595.0,,3513,-262,44,,,-306,,,0.0,0.0,0.0,,,,,3775,571,0,379,,,,192,192,0,0,,2095,,227.0,
03/31/2009,643,-794.0,384.0,1053.0,,1053.0,,,,0.0,-272,-361,74,74.0,0.0,-435,-435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,-185,0,-182,0.0,356.0,-538.0,0,0,0,-3,0.0,186,,,
06/30/2009,834,-257.0,383.0,708.0,,708.0,,,,0.0,-132,-174,2,2.0,0.0,-176,-176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,-292,0,-281,0.0,34.0,-315.0,0,0,0,-11,0.0,410,,,
09/30/2009,-25,-161.0,385.0,-249.0,,-249.0,,,,0.0,-245,-111,10,10.0,0.0,-121,-121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134,815,0,879,0.0,2082.0,-1203.0,0,0,0,-64,0.0,545,,,
12/31/2009,-73,-25.0,384.0,-432.0,,-432.0,,,,0.0,-359,-456,14,14.0,0.0,-470,-470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,-357,0,-341,0.0,494.0,-835.0,0,0,0,-16,0.0,-789,,,
03/31/2010,966,-256.0,385.0,837.0,,837.0,,,,0.0,-293,-323,5,5.0,0.0,-328,-328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,-367,0,-368,0.0,0.0,-368.0,0,0,0,1,0.0,306,,,
06/30/2010,1034,467.0,379.0,188.0,,188.0,,,,0.0,-262,-191,5,5.0,0.0,-196,-196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71,-1251,0,-1254,0.0,0.0,-1254.0,0,0,0,3,0.0,-479,,,
09/30/2010,514,363.0,375.0,-224.0,,-224.0,,,,0.0,-802,-379,18,18.0,0.0,-397,-397.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,-444,-710,0,-701,0.0,223.0,-924.0,0,0,0,-9,0.0,-998,,,
12/31/2010,318,19.0,372.0,-73.0,,-73.0,,,,0.0,-669,-413,8,8.0,0.0,-421,-421.0,0.0,0.0,0.0,0.0,-21.0,-21.0,0.0,0.0,-235,-193,0,-269,0.0,907.0,-1176.0,0,0,0,76,0.0,-544,,,
03/31/2011,788,-318.0,376.0,730.0,,730.0,,,,0.0,-576,-340,0,0.0,0.0,-340,-340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-236,-223,0,-215,0.0,245.0,-460.0,0,0,0,-8,0.0,-11,,,
