Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/25/1990,394.325989,,-278.181,,116.144989,,-101.634003,,,,,14.511,-2.224,,,,0.0,,2.224,12.287,-4.6,7.687,0.0,,,7.687,0.0,7.687,0.0,,7.687,7.687,,73.848,0.105,0.105,,73.848,0.105,0.105,0.105,
06/17/1990,475.360992,,-310.618988,,164.742004,,-122.109001,,,,,42.632999,-1.393,,,,0.0,,1.393,41.239999,-16.1,25.139999,0.0,,,25.139999,0.0,25.139999,0.0,,25.139999,25.139999,,74.003998,0.34,0.34,,74.003998,0.34,0.34,0.34,
10/07/1990,607.088989,,-411.891998,,195.196991,,-152.667007,,,,,42.529999,-3.692,,,,0.0,,3.692,38.837999,-15.3,23.538,0.0,,,23.537999,0.0,23.538,0.0,,23.538,23.538,,74.524002,0.315,0.315,,74.524002,0.315,0.315,0.315,
12/30/1990,386.578003,,-273.14801,,113.429993,,-108.720001,,,,,4.71,-32.875,,,,0.0,,32.875,-28.165,10.7,-17.465,0.0,,,-17.465,0.0,-17.465,0.0,,-17.465,-17.465,,74.755997,-0.235,-0.235,,74.755997,-0.235,-0.235,-0.235,
03/24/1991,287.132996,,-192.460999,,94.671997,,-90.008003,,,,,4.664,-0.739,,,,0.0,,0.739,3.925,-0.3,3.625,-2.684,,,6.309,0.0,6.309,0.0,,6.309,6.309,,74.776001,0.085,0.05,,74.776001,0.085,0.05,0.05,
06/16/1991,375.105011,,-244.914993,,130.190018,,-106.707001,,,,,23.483,-0.849,,,,0.0,,0.849,22.634,-8.7,13.934,-2.139,,,16.073,0.0,16.073,0.0,,16.073,16.073,,74.795998,0.215,0.185,,74.795998,0.215,0.185,0.185,
10/06/1991,537.856995,,-360.688995,,177.167999,,-149.878998,,,,,27.289,-1.678,,,,0.0,,1.678,25.611,-3.9,21.711,-4.259,,,25.969999,0.0,25.969999,0.0,,25.969999,25.969999,,74.828003,0.345,0.29,,74.828003,0.345,0.29,0.29,
12/29/1991,329.890991,,-241.141998,,88.748993,,-101.799004,,,,,-13.05,-30.736,,,,0.0,,30.736,-43.786,21.6,-22.186001,0.649,,,-22.835,0.0,-22.834999,0.0,,-22.834999,-22.834999,,74.933998,-0.305,-0.295,,74.933998,-0.305,-0.295,-0.295,
03/22/1992,285.839996,,-189.779999,,96.059998,,-93.884003,,,,,2.176,-2.87,,,,0.0,,2.87,-0.694,0.1,-0.594,20.400999,,,-20.994999,0.0,-20.995001,0.0,,-20.995001,-20.995001,,74.998001,-0.28,-0.01,,74.998001,-0.28,-0.01,-0.01,
06/12/1992,408.713989,,-262.212006,,146.501984,,-119.808998,,,,,26.693001,-3.955,,,,0.0,,3.955,22.738001,-7.8,14.938,-3.324,,,18.262001,0.0,18.261999,0.0,,18.261999,18.261999,,75.014,0.245,0.2,,75.014,0.245,0.2,0.2,
