Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2014,17422.21066,701.28837,701.28837,0.0,1313.79487,1313.79487,0.0,283.64734,,,,,788.30218,,37.63442,57.96711,730.33507,3087.03276,1619.66925,,,0.0,12715.50865,11935.41532,7215.20028,4720.21504,34.60346,707.85545,14335.1779,,1240.42038,1135.22081,105.19957,,83.22511,2.02064,,,,81.20447,899.56367,,,899.56367,2223.20916,9650.57664,9650.57664,,,,1656.29335,,,,,1142.67192,513.62143,11306.86999,13530.07915,0.0,,,,0.0,,3533.84678,3533.84678,358.28473,3892.13151,17422.21066,
03/31/2015,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,
06/30/2015,16203.289,557.093,557.093,0.0,,,,288.72,,,,,1874.88,,86.045,79.174,1642.447,2720.693,1488.409,,,0.0,11994.187,11908.142,7027.81,4880.332,,0.0,13482.596,,1138.142,1044.018,94.124,,1.556,0.0,,,,1.556,864.459,,,864.459,2004.157,8939.402,8939.402,,,,1699.481,,,,,1207.109,492.372,10638.883,12643.04,0.0,,,,,,3560.249,3560.249,,3560.249,16203.289,
09/30/2015,15818.375,551.915,551.915,0.0,929.939,929.939,0.0,307.46,,,,,814.859,,86.045,87.615,568.806,2604.173,1473.369,,,0.0,11740.833,11654.788,7043.671,4611.117,,0.0,13214.202,,1071.96,972.768,99.192,,0.276,0.111,,,,0.165,845.211,,,845.211,1917.447,8747.737,8747.737,,,,1633.532,,,,,1175.609,457.923,10381.269,12298.716,0.0,,,,,,3519.659,3519.659,,3519.659,15818.375,
12/31/2015,15114.692,627.484,627.484,0.0,937.193,937.193,0.0,269.982,110.367,56.841,102.774,0.0,650.715,,48.074,35.514,615.201,2485.374,1477.195,3435.245,-1958.05,0.0,11152.123,10166.132,6830.499,3335.633,,937.917,12629.318,,1087.88,1057.86,30.02,0.0,0.16,0.0,0.0,0.0,,0.16,922.586,,,922.586,2010.626,8334.013,8334.013,0.0,0.0,,1403.911,0.0,0.0,0.0,0.0,941.418,462.493,9737.924,11748.55,0.0,2836.081,20.024,2816.057,0.0,-13.271,194.838,3017.648,348.494,3366.142,15114.692,
03/31/2016,14930.485,505.796,505.796,0.0,975.383,975.383,0.0,274.212,,,,,645.014,,47.741,36.304,608.71,2400.405,1468.509,,,0.0,11061.571,10085.632,6857.478,3228.154,,928.198,12530.08,,1177.282,1087.472,89.81,,0.167,0.0,,,,0.167,909.86,,,909.86,2087.309,8227.845,8227.845,,,,1323.513,,,,,866.834,456.679,9551.358,11638.667,0.0,,,,0.0,,3291.818,3291.818,,3291.818,14930.485,
06/30/2016,15409.166,390.012,390.012,0.0,930.748,930.748,0.0,284.096,,,,,604.995,,47.202,30.906,574.089,2209.851,1466.501,,,0.0,11732.814,9950.817,6838.652,3112.165,,1734.795,13199.315,,1138.981,1014.14,124.841,,0.163,0.0,,,,0.163,1318.684,,,1318.684,2457.828,8219.711,8219.711,,,,1322.611,,,,,861.52,461.091,9542.322,12000.15,0.0,,,,0.0,,3409.016,3409.016,,3409.016,15409.166,
09/30/2016,15295.15,349.899,349.899,0.0,880.943,880.943,0.0,324.415,,,,,625.378,,47.556,35.372,590.006,2180.635,1522.344,,,0.0,11592.171,9853.8,6843.725,3010.075,,1690.815,13114.515,,1056.18,917.891,138.289,,0.123,0.0,,,,0.123,1269.51,,,1269.51,2325.813,8286.69,8286.69,,,,1261.84,,,,,822.247,439.593,9548.53,11874.343,0.0,,,,0.0,,3420.807,3420.807,,3420.807,15295.15,
12/31/2016,15060.162,294.094,294.094,0.0,932.672,932.672,0.0,347.494,161.911,39.744,145.839,0.0,715.306,,31.376,28.792,686.514,2289.566,1557.515,3625.935,-2068.42,0.0,11213.081,9684.043,6810.012,2874.031,,1497.662,12770.596,,1244.669,1216.079,28.59,,0.077,0.0,0.0,0.0,,0.077,1097.045,,,1097.045,2341.791,7863.085,7863.085,0.0,0.0,,1206.48,,,,,761.924,444.556,9069.565,11411.356,0.0,2869.989,20.228,2849.761,0.0,38.067,160.643,3068.699,580.107,3648.806,15060.162,
03/31/2017,14931.174,463.296,463.296,0.0,818.944,818.944,0.0,361.067,,,,,723.513,,33.02,25.542,697.971,2366.82,1485.288,,,0.0,11079.066,9583.021,6819.062,2763.959,,1463.025,12564.354,,1281.965,1223.107,58.858,,530.302,0.052,,,,530.25,1022.788,,,1022.788,2835.055,7331.266,7331.266,,,,1161.625,,,,,714.563,447.062,8492.891,11327.946,0.0,,,,0.0,,3603.228,3603.228,,3603.228,14931.174,
