Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2004,,4.2,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2005,11.897,18.934999,31.421,12.169,,3.824,8.345,-50.627998,-34.784,-18.593,,2.749002,-32.174999,-32.175,4.353,,,-36.528,,,0.0,0.0,0.0,,,,,0.0,-445.892986,-445.872986,0.0,,,,0.0,0.0,0.0,-0.02,,-466.17099,7.563,17.275999,
06/30/2005,53.165001,20.167,29.556999,7.708,,2.753,4.955,-4.267,-0.97,-9.473,,6.175999,-28.143999,-28.144001,0.421,,,-28.565001,,,0.0,0.0,0.0,,,,,1e-06,-1.947,-1.785,0.0,,,,0.0,0.0,0.0,-0.162,,23.073999,12.588,6.536,
09/30/2005,42.556999,21.223,32.664001,23.382999,,18.238001,5.144999,-34.713001,-10.095,-10.706,,-13.912001,-36.528999,-36.529001,0.581,,,-37.110001,,,0.0,0.0,0.0,,,,,1e-06,-22.232,-2.232,-20.0,,,,0.0,0.0,0.0,0.0,,-16.204,12.031,6.74,
12/31/2005,76.585999,28.577999,32.640999,-2.011,,1.93,-3.941,17.378,2.208,-18.406,,33.576,-33.59,-33.590001,4.423,,,-38.013,,,0.0,0.0,0.0,,,,,0.0,-31.576,-2.232,-30.0,,,,0.656,0.656,0.0,0.0,,11.42,0.985,6.588,
03/31/2006,65.625999,31.308001,38.098999,10.287,,-3.447,13.734,-14.068,0.342,1.528,,-15.938,-39.554001,-39.553999,0.406,,,-39.959999,,,0.0,0.0,0.0,,,,,-2e-06,7.838,-2.262,0.0,,,,10.1,10.1,0.0,0.0,,33.91,4.202,17.274,
06/30/2006,47.729,22.035,44.945,-5.197,,-6.053,0.856,-14.054,-12.368,-10.698,,9.012,-35.299999,-35.300001,0.122,,,-35.422001,,,0.0,0.0,0.0,,,,,2e-06,3.233,-2.284,0.0,,,,5.517,5.517,0.0,0.0,,15.662,10.98,6.848,
09/30/2006,44.648,-0.009,42.861,9.742,,-8.315,18.057,-7.946,4.677,11.158,,-23.781,-57.785,-57.785,1.176,,,-58.961,,,0.0,0.0,0.0,,,,,0.0,-13.81,-2.271,0.0,,,,-9.355,2.534,-11.889,-2.184,,-26.947,2.028,18.02,
03/31/2007,51.778,24.554001,49.953999,10.404,,-7.394,17.798,-33.133999,-3.809,-12.829,,-16.495998,-47.709999,-47.709998,0.349,,,-48.058998,,,0.0,0.0,0.0,,,,,0.0,-14.853,-2.255,0.0,,,,-12.598,0.669,-13.267,0.0,,-10.785,-0.495,17.195999,
06/30/2007,83.700996,-3.785,49.276001,-6.698,,-6.468,-0.23,44.908001,18.844,8.641,,17.423001,-26.476999,-26.477,1.543,,,-28.02,,,0.0,0.0,0.0,,,,,1e-06,1.947,-2.268,0.0,,,,4.215,4.215,0.0,0.0,,59.171001,11.167,6.283,
