Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,1-4 Family Residential Loans,Auto Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1994,3091.97998,93.879997,,,,,,,0.0,,251.630005,,,,,,,,,,2228.455078,-68.515999,2159.938965,99.683998,,,,,,,0.0,2646.78598,,,,,,,452.200989,2040.687988,,,,,,,22.0,,,,,,,,,,102.533997,2617.422974,0.0,463.505005,,,0.0,,11.052,474.557005,0.0,474.557005,3091.979979,
03/31/1995,3794.228027,4.226,,,,,,,0.0,,275.014008,,,,,,,,,,1977.078003,-68.515999,1908.562012,113.469002,,,,,,,0.0,3401.519018,,,,,,,640.109009,696.775024,,,,,,,1784.369019,,,,,,,,,,172.380005,3293.633057,0.0,464.645996,,,0.0,,35.949001,500.594997,0.0,500.594997,3794.228054,
06/30/1995,4205.707031,73.712997,,,,,,,0.0,,335.954987,,,,,,,,,,2266.292969,-70.515999,2195.7771,114.781998,,,,,,,0.0,3681.25705,,,,,,,730.094971,667.302979,,,,,,,2139.368896,,,,,,,,,,137.132004,3673.898849,0.0,466.045013,,,0.0,,65.763,531.808014,0.0,531.808014,4205.706863,
09/30/1995,5160.147949,0.496,,,,,,,0.0,,520.044006,,,,,,,,,,2412.318115,-70.515999,2341.802002,127.685997,,,,,,,0.0,4511.921946,,,,,,,930.033997,845.302979,,,,,,,2591.868896,,,,,,,,,,232.009003,4599.214874,0.0,467.415009,,,0.0,,93.517998,560.933006,0.0,560.933006,5160.147881,
12/31/1995,4759.320801,51.68,,,,,,,0.0,,414.951996,,,,,,,,,,2521.678955,-72.0,2449.678955,139.074005,,,,,,,,4153.6148,,,,,,,696.036987,1413.302979,,,,,,,1888.369019,,,,,,,,,,162.421005,4160.12999,0.0,470.492004,,,0.0,,128.699005,599.191009,0.0,599.191009,4759.320999,
03/31/1996,4342.698242,204.578003,,,,,,,0.0,,423.450989,,,,,,,,,,2391.725098,-74.0,2317.725098,146.606995,,,,,,,0.0,3568.062256,,,,,,,704.598999,351.0,,,,,,,2499.368896,,,,,,,,,,157.934998,3712.902893,0.0,471.351013,,,0.0,,158.444,629.795013,0.0,629.795013,4342.697906,
06/30/1996,5676.121094,8.426,,,,,,,0.0,,467.234985,,,,,,,,,,2569.73999,-74.0,2495.73999,155.569,,,,,,,0.0,5044.891109,,,,,,,1215.499023,259.5,,,,,,,3334.217041,,,,,,,,,,202.641998,5011.858063,0.0,474.164001,,,0.0,,190.098999,664.263,0.0,664.263,5676.121063,
09/30/1996,6593.094238,155.473999,,,,,,,0.0,,523.932983,,,,,,,,,,3162.008057,-92.5,3069.508057,164.630005,,,,,,,0.0,5749.057251,,,,,,,1294.694946,716.492004,,,,,,,3663.118896,,,,,,,,,,217.509003,5891.81485,0.0,477.584015,,,0.0,,223.695007,701.279022,0.0,701.279022,6593.093872,
12/31/1996,6467.444824,48.723999,,,,,,,0.0,,581.109985,,,,,,,,,,4343.901855,-118.5,4225.401855,174.660995,,,,,,,,5662.949845,,,,,,,943.021973,1422.418945,,,,,,,3102.797119,,,,,,,,,,258.81601,5727.054047,0.0,482.04599,,,0.0,,258.345001,740.390991,0.0,740.390991,6467.445038,
03/31/1997,6154.979004,127.721001,,,,,,,0.0,,492.052002,,,,,,,,,,3516.950928,-118.5,3398.450928,180.927002,,,,,,,0.0,5354.278999,,,,,,,741.718994,355.187988,,,,,,,3866.26709,,,,,,,,,,414.044006,5377.218079,0.0,486.790985,,,0.0,,290.970001,777.760986,0.0,777.760986,6154.979065,
