Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2007,1380.339,2.573,2.573,0.0,27.726,27.726,,1.324,,,,,15.929,,,,,47.552,1327.095,1431.493,-104.398,0.0,5.692,,,,,5.692,1332.787,,8.694,8.694,,,,2.0,,,,,,41.084,,,,41.084,51.778,503.0,,,,,250.77,,,,,250.77,753.77,805.548,0,576.273,,,,16.734,-18.216,574.791,0,574.791,1380.339,
06/30/2007,1398.928,10.387,10.387,0.0,28.976,28.976,,1.314,0.0,0.0,0.0,1.314,15.9,,,,,56.577,1336.916,1460.771,-123.855,0.0,5.435,,,,,5.435,1342.351,,3.355,3.355,,,,2.5,,,,,,41.984,,,,41.984,47.839,501.54,,,,,255.644,,,,,255.644,757.184,805.023,0,578.052,,,0.0,22.655,-6.802,593.905,0,593.905,1398.928,
09/30/2007,1443.507,19.868,19.868,0.0,24.793,24.793,,1.404,0.0,0.0,0.0,1.404,24.928,,,,,70.993,1368.026,1511.007,-142.981,0.0,4.488,,,,,4.488,1372.514,,7.583,7.583,,,,2.0,,,,,,56.15,,,,56.15,65.733,343.88,,,,,260.51,,,,,260.51,604.39,670.123,0,751.756,,,0.0,30.609,-8.981,773.384,0,773.384,1443.507,
12/31/2007,1508.229,30.424,30.424,0.0,36.735,36.735,,1.459,0.0,0.0,0.0,1.459,40.824,,,,,109.442,1394.994,1562.103,-167.109,0.0,3.793,,,,,3.793,1398.787,,14.222,14.222,,,,7.651,,,,,,106.769,,,,106.769,128.642,325.404,,,,,278.785,,,,,278.785,604.189,732.831,0,752.456,,,0.0,37.467,-14.525,775.398,0,775.398,1508.229,
03/31/2008,1528.328,15.692,15.692,0.0,41.96,41.96,,1.611,,,,,36.578,,,,,95.841,1428.94,1616.991,-188.051,0.0,3.547,,,,,3.547,1432.487,,4.295,4.295,,,,4.743,,,,,,120.595,,,,120.595,129.633,298.928,,,,,297.999,,,,,297.999,596.927,726.56,0,755.586,,,0.0,59.832,-13.65,801.768,0,801.768,1528.328,
06/30/2008,1634.233,31.716,31.716,0.0,55.27,55.27,,0.0,0.0,0.0,0.0,0.0,58.877,,,,,145.863,1475.521,1685.209,-209.688,0.0,12.849,,,,,12.849,1488.37,,5.509,5.509,,,,11.396,,,,,,191.846,,,,191.846,208.751,298.453,,,,,343.07,,,,,343.07,641.523,850.274,0,760.004,,,-0.125,45.412,-21.332,783.959,0,783.959,1634.233,
09/30/2008,2663.774,54.37,54.37,,54.851,54.851,,0.0,0.0,0.0,0.0,0.0,92.401,,,,,201.622,2363.519,2607.694,-244.175,,98.633,48.524,,,,50.109,2462.152,,19.419,19.419,,,,4.697,,,,,,230.43,,,,230.43,254.546,635.0,,,,,585.483,,,,,585.483,1220.483,1475.029,0,1006.581,,,-0.125,187.34,-5.051,1188.745,0,1188.745,2663.774,
12/31/2008,2815.203,17.752,17.752,0.0,48.793,48.793,,,,,,,212.238,,,,,278.783,2401.404,2708.394,-306.99,0.0,135.016,37.768,,,,97.248,2536.42,,7.462,7.462,,,,9.434,,,,,,253.922,,,,253.922,270.818,630.0,,,,,589.231,,,,,589.231,1219.231,1490.049,0,1009.11,,,-0.125,316.169,0.0,1325.154,0,1325.154,2815.203,
03/31/2009,2829.146,2.407,2.407,0.0,50.799,50.799,0.0,0.0,0.0,0.0,0.0,0.0,199.373,48.649,,,113.291,252.579,2448.605,2806.19,-357.585,0.0,127.962,37.724,,37.724,,41.589,2576.567,,155.088,22.082,,,133.006,4.431,4.431,,,,0.0,90.986,,1.777,572.789,37.238,250.505,670.75,670.75,,,,591.228,,,,,16.662,1261.978,1512.483,0,1013.844,0.085,1013.759,-0.125,302.944,,1316.663,0,1316.663,2829.146,
06/30/2009,2764.799,3.081,3.081,0.0,58.43,58.43,0.0,0.0,0.0,0.0,0.0,0.0,105.768,31.438,,,79.496,167.279,2487.166,2900.418,-413.252,0.0,110.354,37.319,,37.319,,41.597,2597.52,,127.009,15.837,,,111.172,2.628,2.628,,,,0.0,89.794,,17.656,565.217,39.501,219.431,660.0,660.0,,,,595.813,,,,,12.94,1255.813,1475.244,0,1020.146,0.086,1020.06,-0.317,269.726,,1289.555,0,1289.555,2764.799,
