Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,16.742001,-16.684,7.999,31.688999,,,31.688999,-6.262,,,,-6.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,25.261,13.908,8.947,4.968,,,4.968,-2.562,,,,-2.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,24.016001,14.67,9.095,8.132,,,8.132,-7.881,,,,-7.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,35.443001,14.412,16.913,3.274,,,3.274,0.844,,,,0.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.443001,,,
03/31/1991,31.261999,14.982,12.025,3.172,,,3.172,1.083,,,,1.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,42.057999,23.93,13.969,3.491,,,3.491,0.668,,,,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,46.752998,28.261999,12.039,5.962,,,5.962,0.49,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,40.16,23.073,11.244,5.635,,,5.635,0.208,,,,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.16,,,
03/31/1992,30.719,23.309999,10.044,2.729,,,2.729,-5.364,,,,-5.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,46.891998,36.888,13.453,5.562,,,5.562,-9.011,,,,-9.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,69.865997,50.134998,16.208,3.654,,,3.654,-0.131,,,,-0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,135.304993,64.607002,29.266001,-3.831,,,-3.831,45.263,,,,45.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.304993,,,
03/31/1993,36.331001,46.064999,15.05,4.366,,,4.366,-29.15,,,,-29.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,80.139,57.155998,17.624001,12.738,,,12.738,-7.379,,,,-7.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,94.857002,58.342999,18.011,6.344,,,6.344,12.159,,,,12.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
