Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,FFO Per Share,EBIT,EBIT Surprise %,EBITDA,Net Income,Net Income Surprise %,Source: Bloomberg
03/31/1991,,,-1.13318,,-1.133181,-1.133181,,,,,,,
06/30/1991,,,-0.341022,,-0.341022,-0.341022,,,,,,,
09/30/1991,,,-0.87722,,-0.87722,-0.87722,,,,,,,
12/31/1991,,,0.0,,-2.116685,-2.116685,,,,,,,
03/31/1992,,,-3.27723,,-3.277225,-3.277225,,,,,,,
06/30/1992,,,-3.69872,,-3.698716,-3.698716,,,,,,,
09/30/1992,,,-5.76304,,-5.763042,-5.763042,,,,,,,
12/31/1992,,,0.0,,-6.373,-6.373,,,,,,,
03/31/1993,,,-9.318,,-9.318,-9.318,,,,,,,
06/30/1993,,,-9.429,,-9.42889,-9.42889,,,,,,,
09/30/1993,,,-9.632,,-9.632,-9.632,,,,,,,
12/31/1993,,,0.0,,-11.50511,-11.50511,,,,,,,
03/31/1994,,,-10.733,,-10.73255,-10.73255,,,,,,,
06/30/1994,,,-10.249,,-10.249,-10.249,,,,,,,
09/30/1994,,,-3.968,,-3.968,-3.968,,,,,,,
12/31/1994,,,0.0,,-5.706,-5.706,,,,,,,
03/31/1995,,,-4.17,,-4.17,-4.17,,,,,,,
06/30/1995,,,-4.38,,-4.38,-4.38,,,,,,,
09/30/1995,,,-7.146,,-7.146,-7.146,,,,,,,
12/31/1995,,,0.0,,-7.812,-7.812,,,,,,,
03/31/1996,,,-7.768,,-7.768,-7.768,,,,,,,
06/30/1996,,,-7.625,,-7.625,-7.625,,,,,,,
09/30/1996,,,-8.888,,-8.888,-8.888,,,,,,,
12/31/1996,,,0.0,,-8.143,-8.143,,,,,,,
03/31/1997,,,-5.929,,-5.929,-5.929,,,,,,,
06/30/1997,,,-4.27,,-4.27,-4.27,,,,,,,
09/30/1997,,,-1.907,,-1.907,-1.907,,,,,,,
12/31/1997,,,0.0,,0.527,0.527,,,,,,,
03/31/1998,,,-3.829,,-3.829,-3.829,,,,,,,
06/30/1998,,,2.14,,2.14,2.14,,,,,,,
09/30/1998,,,-1.395,,-1.395,-1.395,,,,,,,
12/31/1998,,,-5.541,,-5.541,-5.541,,,,,,,
03/31/1999,,,-8.93,,-8.93,-8.93,,,,,,,
06/30/1999,,,-7.833,,-7.833,-7.833,,,,,,,
09/30/1999,,,-4.925,,-4.925,-4.925,,,,,,,
12/31/1999,,,-1.382,,-1.381999,-1.381999,,,,,,,
03/31/2000,,,-7.225,,-7.318,-7.318,,,,,,,
06/30/2000,,,-2.854,,-2.947,-2.947,,,,,,,
09/30/2000,,,-3.118,,-3.211,-3.211,,,,,,,
12/31/2000,,,-8.455,,-8.455,-8.455,,,,,,,
03/31/2001,,,-13.037,,-13.037,-13.037,,,,,,,
06/30/2001,,,-14.834,,-14.834,-14.834,,,,,,,
09/30/2001,,,-19.931,,-19.931,-19.931,,,,,,,
12/31/2001,,,-28.378,,-28.378,-28.378,,,,,,,
03/31/2002,,,-25.447001,,-25.447001,-25.447001,,,,,,,
06/30/2002,,,-30.423,,-30.423,-30.423,,,,,,,
09/30/2002,,,-32.816002,,-32.816,-32.816,,,,,,,
12/31/2002,,,-35.693001,,-35.693001,-35.693001,,,,,,,
03/31/2003,,,-30.320999,,-30.11,-30.11,,,,,,,
06/30/2003,,,-30.360001,,-28.736,-28.736,,,,,,,
09/30/2003,,,-27.4,,-27.4,-27.4,,,,,,,
12/31/2003,,,-19.377001,,-19.377001,-19.377001,,,,,,,
03/31/2004,,,-18.087999,,64.531998,64.531998,,,,,,,
06/30/2004,,,-14.549,,-14.549,-14.549,,,,,,,
09/30/2004,,,-11.076,,-11.076,-11.076,,,,,,,
12/31/2004,,,-22.208,,2.792,2.792,,,,,,,
03/31/2005,,,-4.123,,-4.123,-4.123,,,,,,,
06/30/2005,,,-26.999001,,-26.999001,-26.999001,,,,,,,
09/30/2005,,-37.0,-34.652,,-34.652,-34.652,,,,,,6.34594594594594,
12/31/2005,,-38.5,-29.672001,,-29.672,-29.672,,,,,,22.9298675324675,
03/31/2006,,-32.2,-21.193001,7.80473372781067,-20.38,-20.38,,,,,,34.1832267080745,
06/30/2006,,-30.5,-23.576,8.19100561797753,-23.576,-23.576,,,,,,22.7016393442623,
09/30/2006,,-30.4,-27.41,-3.15502386412942,-27.41,-27.41,,,,,,9.83552631578947,
12/31/2006,,-30.967,-30.971001,-27.7766143106457,-30.971,-30.971,,,,,,-0.0129202053799282,
03/31/2007,,-30.625,-29.917,37.2869565217391,-29.917,-29.917,,,,,,2.31183673469387,
06/30/2007,,-29.033,-26.774,10.6982543640898,-26.774,-26.774,,,,,,7.78080115730376,
09/30/2007,,-30.9,-35.838001,-3.62418574514038,-35.838,-35.838,,,,,,-15.9805857605178,
12/31/2007,,-36.8,-13.071,183.071688459352,-13.071,-13.071,,,,,,64.4809782608696,
03/31/2008,,-25.633,-11.618,39.303271155034,-11.618,-11.618,,,,,,54.6756134670152,
06/30/2008,,-21.767,-18.459,5.728031795283,-18.689,-18.689,,,,,,15.1973170395553,
09/30/2008,,-22.05,-21.108,5.95153473344104,-19.084,-19.084,,,,,,4.27210884353742,
12/31/2008,,-24.4,-31.318001,-18.959358490566,-29.509,-29.509,,,,,,-28.3524631147541,
