Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/30/1990,15.7,,,,,,,,,,,15.7,,,,,,,,,15.7,,,,,,3.0,,,3.0,3.0,,225.599988,0.013333,0.013333,0.013333,225.599988,0.013333,0.013333,0.013333,
06/30/1990,18.51,,-7.168,,,11.342,,-7.129,,,,4.213,0.304,,0.103,,0.0,-0.407,4.517,-1.717,2.8,0.0,,,2.8,0.0,2.8,0.0,,2.8,2.8,,245.97599,0.011667,0.011667,,245.97599,0.011667,0.011667,0.011667,
09/29/1990,23.118,,-9.102,,,14.016,,-8.706,,,,5.31,0.73,,0.141,,0.0,-0.871,6.04,-2.3,3.74,0.0,,,3.74,0.0,3.74,0.0,,3.74,3.74,,284.507996,0.013333,0.013333,,284.507996,0.013333,0.013333,0.013333,
12/29/1990,26.306,,-10.373,,,15.933,,-9.88,,,,6.053,0.928,,0.15,,0.0,-1.078,6.981,-2.653,4.328,0.0,,,4.328,0.0,4.328,0.0,,4.328,4.328,,282.935989,0.015,0.015,,282.935989,0.015,0.015,0.015,
03/31/1991,29.704,,-11.709,,,17.995,,-10.948,,,,7.047,1.138,,0.153,,0.0,-1.291,8.185,-3.121,5.064,0.0,,,5.064,0.0,5.064,0.0,,5.064,5.064,,285.011988,0.0175,0.0175,,285.011988,0.0175,0.0175,0.0175,
06/29/1991,33.181,,-12.808,,,20.373,,-12.113,,,,8.26,0.9,,0.17,,0.0,-1.07,9.16,-3.398,5.762,0.0,,,5.762,0.0,5.762,0.0,,5.762,5.762,,285.599991,0.02,0.02,,285.599991,0.02,0.02,0.02,
09/28/1991,34.980999,,-13.498,,,21.482999,,-12.517,,,,8.966,0.924,,0.143,,0.0,-1.067,9.89,-3.651,6.239,0.0,,,6.239,0.0,6.239,0.0,,6.239,6.239,,287.31601,0.021667,0.021667,,287.31601,0.021667,0.021667,0.021667,
12/28/1991,32.228001,,-12.104,,,20.124001,,-11.942,,,,8.182,0.898,,0.176,,0.0,-1.074,9.08,-3.359,5.721,0.0,,,5.721,0.0,5.721,0.0,,5.721,5.721,,287.688011,0.02,0.02,,287.688011,0.02,0.02,0.02,
03/31/1992,35.437,,-13.622,,,21.815,,-13.579,,,,8.236,-2.608,,0.163,,0.0,2.445,5.628,-2.085,3.543,0.0,,,3.543,0.0,3.543,0.0,,3.543,3.543,,289.284,0.0125,0.0125,,289.284,0.0125,0.0125,0.0125,
06/27/1992,39.035,,-14.75,,,24.285,,-15.59,,,,8.695,0.746,,0.203,,0.0,-0.949,9.441,-3.494,5.947,0.0,,,5.947,0.0,5.947,0.0,,5.947,5.947,,287.916,0.020833,0.020833,,287.916,0.020833,0.020833,0.020833,
10/03/1992,42.528,,-16.506001,,,26.021999,,-16.382999,,,,9.639,0.364,,0.181,,0.0,-0.545,10.003,-3.701,6.302,0.0,,,6.302,0.0,6.302,0.0,,6.302,6.302,,285.85199,0.021667,0.021667,,285.85199,0.021667,0.021667,0.021667,
01/02/1993,46.191002,,-18.198999,,,27.992002,,-17.110001,,,,10.882,0.378,,0.148,,0.0,-0.526,11.26,-4.279,6.981,0.0,,,6.981,0.0,6.981,0.0,,6.981,6.981,,276.671997,0.025,0.025,,276.671997,0.025,0.025,0.025,
