Date,Assets,Cash & Near Cash Items,Short-Term Investments,Accounts & Notes Receivable,Inventories,Other Current Assets,Total Current Assets,LT Investments & LT Receivables,Net Fixed Assets,Gross Fixed Assets,Accumulated Depreciation,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,Short-Term Borrowings,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,88,22,556,141,39,846,0,5926,,,289,6215,7061,,67,507,904,1478,1146,1482,2628,4106,0,0,3259,-304,2955,7061,
06/30/1990,,427,4,548,140,100,1219,0,5930,,,290,6220,7439,,85,346,914,1345,1665,1521,3186,4531,3,0,3261,-356,2908,7439,
09/30/1990,,154,2,575,126,31,888,0,6013,,,320,6333,7221,,91,110,926,1127,1691,1533,3224,4351,4,0,3261,-395,2870,7221,
12/31/1990,,143,10,526,133,26,838,0,6057,8017.0,-1960.0,350,6407,7245,,65,105,884,1054,1680,1582,3262,4316,7,0,1918,1004,2929,7245,
03/31/1991,,103,15,532,142,78,870,0,6049,,,381,6430,7300,,94,167,877,1138,1664,1565,3229,4367,9,0,1921,1003,2933,7300,
06/30/1991,,82,20,566,135,34,837,0,6073,,,486,6559,7396,,82,133,866,1081,1730,1592,3322,4403,11,0,1925,1057,2993,7396,
09/30/1991,,107,2,585,123,33,850,0,6113,,,497,6610,7460,,86,135,871,1092,1657,1648,3305,4397,13,0,1944,1106,3063,7460,
12/31/1991,,133,2,587,134,22,878,0,5791,8180.0,-2389.0,427,6218,7096,,57,125,982,1164,1637,1634,3271,4435,15,0,1950,696,2661,7096,
03/31/1992,,48,2,577,138,19,784,0,5746,,,465,6211,6995,,119,118,880,1117,1604,1628,3232,4349,17,0,1962,667,2646,6995,
06/30/1992,,169,2,594,147,25,937,0,5759,,,517,6276,7213,,80,229,910,1219,1657,1645,3302,4521,19,0,1966,707,2692,7213,
09/30/1992,,70,0,589,122,27,808,0,5841,,,501,6342,7150,,96,238,894,1228,1554,1691,3245,4473,21,0,1966,690,2677,7150,
12/31/1992,,40,0,592,121,37,790,0,6013,8505.0,-2492.0,512,6525,7315,,63,334,882,1279,1577,1711,3288,4567,24,0,1971,753,2748,7315,
03/31/1993,,14,0,618,132,178,942,0,6083,,,610,6693,7635,,95,324,856,1275,1731,1930,3661,4936,26,0,1984,689,2699,7635,
06/30/1993,,24,0,685,137,173,1019,0,6066,,,669,6735,7754,,73,216,892,1181,1901,1930,3831,5012,29,0,1986,727,2742,7754,
09/30/1993,,21,0,653,0,334,1008,0,6259,,,579,6838,7846,,103,173,914,1190,2004,1952,3956,5146,30,0,1990,680,2700,7846,
12/31/1993,,38,0,644,132,248,1062,0,6313,8754.0,-2441.0,573,6886,7948,,62,225,788,1075,1959,2130,4089,5164,33,0,1899,852,2784,7948,
03/31/1994,,43,0,661,153,262,1119,0,6309,,,612,6921,8040,,95,266,794,1155,1985,2190,4175,5330,35,0,1909,766,2710,8040,
06/30/1994,,28,0,673,157,263,1121,0,6349,,,667,7016,8137,,61,303,835,1199,1971,2214,4185,5384,38,0,1912,803,2753,8137,
09/30/1994,,45,0,679,0,390,1114,0,6467,,,715,7182,8296,,107,300,822,1229,1996,2240,4236,5465,41,0,1918,872,2831,8296,
12/31/1994,,43,0,646,164,272,1125,0,6498,8923.0,-2425.0,699,7197,8322,,119,242,840,1201,1940,2256,4196,5397,40,0,1928,957,2925,8322,
03/31/1995,,36,0,634,177,269,1116,0,6564,,,753,7317,8433,,148,307,795,1250,1977,2274,4251,5501,43,0,1932,957,2932,8433,
06/30/1995,,46,0,619,174,285,1124,0,6660,,,825,7485,8609,,109,329,812,1250,2068,2284,4352,5602,45,0,2196,766,3007,8609,
09/30/1995,,81,0,662,165,279,1187,0,6680,,,816,7496,8683,,166,288,784,1238,2037,2328,4365,5603,47,0,2264,769,3080,8683,
12/31/1995,,73,0,614,158,361,1206,0,6408,8949.0,-2541.0,810,7218,8424,,113,270,787,1170,1911,2366,4277,5447,49,0,2272,656,2977,8424,
03/31/1996,,13,0,680,157,355,1205,0,6383,,,813,7196,8401,,190,284,792,1266,1873,2363,4236,5502,0,0,2132,767,2899,8401,
06/30/1996,,28,0,667,156,372,1223,0,6446,,,672,7118,8341,,153,191,869,1213,1887,2342,4229,5442,281,0,2270,348,2899,8341,
09/30/1996,,33,0,655,144,367,1199,0,6495,,,693,7188,8387,,158,203,889,1250,1891,2308,4199,5449,281,0,2299,358,2938,8387,
12/31/1996,,30,0,630,139,318,1117,0,6590,9160.0,-2570.0,695,7285,8402,,135,229,728,1092,1876,2327,4203,5295,211,0,2492,404,3107,8402,
03/31/1997,,32,0,662,141,327,1162,0,6599,,,709,7308,8470,,148,147,783,1078,1889,2351,4240,5318,183,0,2519,450,3152,8470,
