Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Discontinued Operations,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,128099,30273,1462,28811,6673,,,7420,,,,,0.0,,,44366,15558,28781,-13223,42932.0,,,25243,,,,,,,25243,83733,,5898,5898,,,,39586,,,,,,25300,,,25300,70784,15754,,,,,19860,,,,,19860,35614,106398,0.0,584,,,-1579,,21693,20698,1003,21701,128099,
06/30/1990,135408,32812,1991,30821,6872,,,7485,,,,,0.0,,,47169,16202,29946,-13744,51896.0,,,20141,,,,,,,20141,88239,,6663,6663,,,,42829,,,,,,26115,,,26115,75607,16167,,,,,21624,,,,,21624,37791,113398,0.0,584,,,-1965,,22396,21015,995,22010,135408,
09/30/1990,144081,35977,1453,34524,7126,,,7445,,,,,0.0,,,50548,16581,30762,-14181,56965.0,,,19987,,,,,,,19987,93533,,6743,6743,,,,43959,,,,,,29149,,,29149,79851,18461,,,,,23779,,,,,23779,42240,122091,0.0,584,,,-2703,,23154,21035,955,21990,144081,
12/31/1990,153884,44725,1975,42750,7806,,,6707,,,,,0.0,,,59238,16631,30572,-13941,59325.0,,,18690,,,,,,,18690,94646,,7051,7051,,,,42920,,,,,,43051,,,43051,93022,21043,,,,,16928,,,,,16928,37971,130993,0.0,584,,,-2924,,24020,21680,1211,22891,153884,
03/31/1991,157449,46177,1791,44386,7286,,,7425,,,,,0.0,,,60888,17577,32026,-14449,56301.0,,,22683,,,,,,,22683,96561,,7070,7070,,,,44648,,,,,,36964,,,36964,88682,22283,,,,,23460,,,,,23460,45743,134425,0.0,584,,,-3096,,24372,21860,1164,23024,157449,
06/30/1991,157653,43063,1619,41444,7274,,,7557,,,,,0.0,,,57894,17905,32624,-14719,57910.0,,,23944,,,,,,,23944,99759,,6896,6896,,,,46915,,,,,,34431,,,34431,88242,23013,,,,,22936,,,,,22936,45949,134191,0.0,584,,,-3164,,24857,22277,1185,23462,157653,
09/30/1991,169473,48295,1638,46657,7804,,,7461,,,,,0.0,,,63560,18503,33532,-15029,63408.0,,,24002,,,,,,,24002,105913,,7236,7236,,,,48906,,,,,,41864,,,41864,98006,23343,,,,,26001,,,,,26001,49344,147350,0.0,584,,,-3437,,23798,20945,1178,22123,169473,
12/31/1991,168259,47194,1971,45223,8231,,,6398,,,,,0.0,,,61823,18976,34004,-15028,65170.0,,,22290,,,,,,,22290,106436,,8205,8205,,,,51350,,,,,,43056,,,43056,102611,22682,,,,,20064,,,,,20064,42746,145357,0.0,584,,,-3626,,24725,21683,1219,22902,168259,
03/31/1992,183908,58705,1796,56909,7481,,,6735,,,,,0.0,,,72921,18484,33825,-15341,66826.0,,,25677,,,,,,,25677,110987,,7544,7544,,,,50388,,,,,,59180,,,59180,117112,23888,,,,,20061,,,,,20061,43949,161061,0.0,584,,,-4124,,25145,21605,1242,22847,183908,
06/30/1992,189525,64867,1938,62929,7922,,,6610,,,,,0.0,,,79399,18626,34338,-15712,57024.0,,,34476,,,,,,,34476,110126,,7564,7564,,,,51533,,,,,,60547,,,60547,119644,25024,,,,,21355,,,,,21355,46379,166023,0.0,584,,,-4434,,26036,22186,1316,23502,189525,
