Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1989,1547.598999,125.551998,86.728996,38.823002,699.159973,,,48.428001,,,,,64.115997,,,,937.255981,152.992996,277.932007,-124.939003,0.0,457.350006,,,,,,457.350006,610.343002,,711.646973,711.646973,,,,33.285,,,,,,236.162022,,,236.162022,981.093994,267.326996,,,,,35.056999,,,,35.056999,302.383995,1283.477989,0.0,111.434998,,,-34.120998,,160.801998,238.115997,26.004999,264.120996,1547.598986,
03/31/1990,1523.796021,79.703999,58.931999,20.771999,682.974976,,,66.679001,,,,,62.869999,,,,892.228027,154.681,285.498993,-130.817993,0.0,476.886993,,,,,,476.886993,631.567993,,638.47699,638.47699,,,,50.749001,,,,,,211.943016,,,211.943016,901.169006,317.509003,,,,,35.178001,,,,35.178001,352.687004,1253.85601,0.0,112.086998,,,-41.693001,,169.385002,239.778999,30.160999,269.939999,1523.796009,
06/30/1990,1550.448975,64.602,51.395,13.207,681.112976,,,73.400002,,,,,64.390999,,,,883.505981,160.647995,294.119995,-133.472,0.0,506.295013,,,,,,506.295013,666.943008,,641.513,641.513,,,,51.154999,,,,,,213.467987,,,213.467987,906.135986,308.809998,,,,,39.988998,,,,39.988998,348.798996,1254.934982,0.0,112.281998,,,-37.696999,,190.301994,264.886993,30.627001,295.513994,1550.448977,
09/30/1990,1610.152954,83.638002,65.775002,17.863001,680.823975,,,72.973,,,,,67.07,,,,904.505005,161.117004,302.031006,-140.914001,0.0,544.531006,,,,,,544.531006,705.64801,,619.893982,619.893982,,,,67.113998,,,,,,228.674026,,,228.674026,915.682007,346.86499,,,,,37.047001,,,,37.047001,383.911991,1299.593998,0.0,112.538002,,,-36.978001,,204.530003,280.090004,30.469,310.559004,1610.153002,
12/31/1990,1748.529053,123.395,112.263,11.132,773.075012,,,46.73,,,,,84.119003,,,,1027.31897,162.703995,302.648987,-139.945007,0.0,558.505981,,,,,,558.505981,721.209976,,793.822021,793.822021,,,,31.889999,,,,,,280.313981,,,280.313981,1106.026001,278.959991,,,,,31.917,,,,31.917,310.876991,1416.902992,0.0,112.531998,,,-37.421001,,223.219005,298.330002,33.296001,331.626003,1748.528995,
03/31/1991,1660.041016,99.275997,87.684998,11.591,714.41803,,,64.585999,,,,,87.352997,,,,965.632996,153.401993,288.890991,-135.488998,0.0,541.005981,,,,,,541.005981,694.407974,,683.065979,683.065979,,,,66.862,,,,,,241.88501,,,241.88501,991.812988,289.345001,,,,,35.223999,,,,35.223999,324.569,1316.381989,0.0,156.822998,,,-38.816002,,193.821999,311.828995,31.83,343.658995,1660.040983,
06/30/1991,1648.936035,105.214001,90.541,14.673,723.513,,,69.471001,,,,,68.669998,,,,966.867981,149.145004,288.61499,-139.470001,0.0,532.922974,,,,,,532.922974,682.067978,,730.122986,730.122986,,,,70.553001,,,,,,220.613014,,,220.613014,1021.289001,271.440002,,,,,36.618999,,,,36.618999,308.059002,1329.348003,0.0,157.326004,,,-42.799,,176.696995,291.223999,28.364,319.587999,1648.936003,
09/30/1991,1615.57605,96.079997,86.977997,9.102,655.809021,,,72.935997,,,,,77.259003,,,,902.083984,151.304993,300.411987,-149.106995,0.0,562.187012,,,,,,562.187012,713.492004,,625.064026,625.064026,,,,28.093,,,,,,251.927996,,,251.927996,905.085022,322.468994,,,,,40.187,,,,40.187,362.655994,1267.741016,0.0,157.968002,,,-43.778999,,205.540993,319.729996,28.105,347.834995,1615.576012,
12/31/1991,1885.894043,157.420998,113.710999,43.709999,797.343994,,,48.402,,,,,107.612999,,,,1110.780029,158.839005,314.092987,-155.253998,0.0,616.275024,,,,,,616.275024,775.114029,,828.969971,828.969971,,,,63.756001,,,,,,304.319072,,,304.319072,1197.045044,245.188995,,,,,40.286999,,,,40.286999,285.475994,1482.521038,0.0,168.658997,,,-43.681999,,241.241005,366.218003,37.154999,403.373002,1885.89404,
03/31/1992,1807.963989,85.331001,76.456001,8.875,783.367981,,,68.25,,,,,91.528,,,,1028.477051,153.626007,310.040985,-156.414993,0.0,625.861023,,,,,,625.861023,779.48703,,719.232971,719.232971,,,,78.732002,,,,,,286.015984,,,286.015984,1083.980957,317.346008,,,,,42.573002,,,,42.573002,359.91901,1443.899967,0.0,169.042007,,,-50.036999,,208.436993,327.442001,36.622002,364.064003,1807.96397,
