Date,Current Shares Outstanding,Equity Float,Source: Bloomberg
03/31/2005,15.3713,,
06/30/2005,15.3713,,
09/30/2005,15.3713,,
12/31/2005,15.3713,15.3713,
03/31/2006,15.3713,15.3713,
06/30/2006,15.3713,15.3713,
09/30/2006,15.3713,15.3713,
12/31/2006,15.3713,15.3713,
03/31/2007,15.0093,15.0093,
06/30/2007,15.0093,15.0093,
09/30/2007,14.4216,14.4216,
12/31/2007,14.4216,14.4216,
03/31/2008,14.4216,14.4216,
06/30/2008,14.4216,14.4216,
09/30/2008,14.4216,14.4216,
12/31/2008,14.4216,14.4216,
03/31/2009,14.4216,14.4216,
06/30/2009,14.4216,14.4216,
09/30/2009,14.4216,14.4216,
12/31/2009,13.6284,13.6284,
03/31/2010,13.6284,13.6284,
06/30/2010,13.6284,13.6284,
09/30/2010,13.6284,13.6284,
12/31/2010,44.235199,44.2352,
03/31/2011,44.235199,44.2352,
06/30/2011,44.235199,44.2352,
09/30/2011,44.235199,44.2352,
12/31/2011,44.235199,44.2352,
03/31/2012,44.235199,44.2352,
06/30/2012,44.235199,44.2352,
09/30/2012,44.235199,44.2352,
12/31/2012,44.235199,44.2352,
03/31/2013,44.235199,44.2352,
06/30/2013,44.235233,44.23523,
09/30/2013,44.235233,44.23523,
12/31/2013,44.235233,44.23523,
03/31/2014,44.235233,44.23523,
06/30/2014,44.235233,44.23523,
09/30/2014,44.235233,44.23523,
12/31/2014,44.235233,44.23523,
03/31/2015,44.235233,44.23523,
06/30/2015,44.235233,44.23523,
09/30/2015,44.235233,44.23523,
12/31/2015,44.235233,44.23523,
03/31/2016,44.235233,44.23523,
06/30/2016,44.235233,44.23523,
09/30/2016,44.235233,44.23523,
12/31/2016,44.235233,44.23523,
03/31/2017,44.235233,44.23523,
06/30/2017,44.235234,44.235233,
09/30/2017,44.235234,44.235233,
12/31/2017,44.235234,44.235233,
03/31/2018,44.235234,44.235233,
06/30/2018,44.235234,44.235233,
09/30/2018,44.235234,44.235233,
12/31/2018,44.235234,44.235233,
03/31/2019,44.235234,44.235233,
06/30/2019,44.235234,44.235233,
09/30/2019,44.235234,44.235233,
12/31/2019,44.235234,44.235233,
03/31/2020,44.235234,44.235233,
06/30/2020,44.235234,44.235233,
