Date,Price/T12M FFO per Share,Price/T12M Sales per Share,Price/T12M EBITDA per Share,P/Sales,P/Book,Price/Cash Flow per Share,Average,High,Low,Price/Free Cash Flow per Share,Source: Bloomberg
12/31/1994,,,,,,7.204159,,,,,
03/31/1995,,,,,,7.835677,,,,,
06/30/1995,,,,,,8.671826,,,,,
09/30/1995,,,,,,11.319885,,,,,
12/31/1995,,,,,,7.815366,,,,,
03/31/1996,,,,,,9.288842,,,,,
06/30/1996,,,,,,8.050388,,,,,
09/30/1996,,,,,,6.583902,,,,,
12/31/1996,,,,,,9.462249,,,,,
03/31/1997,,,,,,9.510204,,,,,
06/30/1997,,,,,,9.65556,,,,,
09/30/1997,,,,,,10.13581,,,,,
12/31/1997,,,,,,10.811333,,,,,
03/31/1998,,,,,,9.845911,,,,,
06/30/1998,,,,,,8.877449,,,,,
09/30/1998,,,,,,9.883525,,,,,
12/31/1998,,,,,,8.734156,,,,,
03/31/1999,,,,,,7.29475,,,,,
06/30/1999,,,,,,7.378359,,,,,
09/30/1999,,,,,,6.274816,,,,,
12/31/1999,,,,,,4.43061,,,,,
03/31/2000,,,,,,4.326075,,,,,
06/30/2000,,,,,,5.071543,81.681829,81.681829,81.681829,81.681829,
09/30/2000,,,,,,5.933166,89.412266,95.099305,23.99693,23.99693,
12/31/2000,,,,,,5.587999,23.060736,24.6729,12.757051,12.757051,
03/31/2001,,,,,,7.10296,14.896604,16.446783,12.609854,14.706497,
06/30/2001,,,,,,8.720476,16.381226,40.000412,15.130723,40.000412,
09/30/2001,,,,,,8.755427,41.568776,44.042559,39.17514,,
12/31/2001,,,,,,8.443675,,,,,
03/31/2002,,,,,,9.985383,,,,,
06/30/2002,,,,,,10.131767,,,,,
09/30/2002,,,,,,9.617522,,,,,
12/31/2002,,,,,,9.462231,,,,,
03/31/2003,,,,,,9.335336,,,,,
06/30/2003,,,,,,10.807729,,,,,
09/30/2003,,,,,,11.533158,,,,,
12/31/2003,,,,,,12.343779,,,,,
03/31/2004,,,,,,14.061773,,,,,
06/30/2004,,,,,,11.58908,,,,,
09/30/2004,,,,,,11.845689,,,,,
12/31/2004,,,,,,13.65739,,,,,
03/31/2005,,,,,,10.83826,,,,,
06/30/2005,,,,,,13.43796,,,,,
09/30/2005,,,,,,8.620242,,,,,
12/31/2005,,,,,,7.667476,,,,,
03/31/2006,,,,,,7.7471,,,,,
06/30/2006,,,,,,7.163927,,,,,
09/30/2006,,,,,,10.875366,,,,,
12/31/2006,,,,,,,,,,,
12/31/2007,,,,,,12.996171,,,,,
03/31/2008,,,,,,12.96973,,,,,
06/30/2008,,,,,,11.479701,,,,,
09/30/2008,,,,,,13.355562,,,,,
12/31/2008,,,,,,10.905773,,,,,
03/31/2009,,,,,,7.918359,,,,,
06/30/2009,,,,,,9.60796,,,,,
09/30/2009,,,,,,12.440494,,,,,
12/31/2009,,,,,,13.24009,,,,,
03/31/2010,,,,,,14.024161,,,,,
06/30/2010,,,,,,13.105506,,,,,
09/30/2010,,,,,,15.444882,,,,,
12/31/2010,,,,,,16.563468,,,,,
03/31/2011,,,,,,18.333795,,,,,
06/30/2011,,,,,,18.826608,,,,,
09/30/2011,,,,,,15.584552,,,,,
12/31/2011,,,,,,16.184156,,,,,
03/31/2012,,,,,,15.67298,,,,,
06/30/2012,,,,,,16.143663,,,,,
09/30/2012,,,,,,16.196323,,,,,
12/31/2012,,,,,,16.886266,,,,,
03/31/2013,,,,,,19.258336,,,,,
06/30/2013,,,,,,19.40101,,,,,
09/30/2013,,,,,,19.049974,,,,,
12/31/2013,,,,,,15.086732,,,,,
03/31/2014,,,,,,16.215198,,,,,
06/30/2014,,,,,,15.455238,,,,,
09/30/2014,,,,,,15.138453,,,,,
12/31/2014,,,,,,20.285305,,,,,
03/31/2015,,,,,,22.047473,,,,,
06/30/2015,,,,,,18.785039,,,,,
09/30/2015,,,,,,17.599601,,,,,
12/31/2015,,,,,,17.186404,,,,,
03/31/2016,,,,,,15.908718,,,,,
06/30/2016,,,,,,16.672659,,,,,
09/30/2016,,,,,,16.37583,,,,,
12/31/2016,,,,,,14.551933,,,,,
03/31/2017,,,,,,15.426167,,,,,
06/30/2017,,,,,,16.596155,,,,,
09/30/2017,,,,,,16.7736,,,,,
12/31/2017,,,,,,16.307258,154.455951,154.455951,154.455951,154.455951,
03/31/2018,,,,,,14.175888,136.832504,155.35212,126.020749,,
06/30/2018,,,,,,16.272451,,,,,
09/30/2018,,,,,,16.123617,,,,,
12/31/2018,,,,,,16.364925,,,,,
03/31/2019,,,,,,18.801455,,,,,
06/30/2019,,,,,,19.763888,,,,,
09/30/2019,,,,,,22.642532,,,,,
12/31/2019,,,,,,21.402241,,,,,
03/31/2020,,,,,,11.600407,,,,,
06/30/2020,,,,,,14.205552,,,,,
09/19/2020,15.2567569629566,4.64470194443896,11.4664892149435,4.64470194443896,1.46787873909229,15.4957186522717,,,,,
09/30/2020,,5.02161244139902,,5.02161244139902,,,,,,,
12/31/2020,,4.93948163239288,,4.93948163239288,1.4957604663487,,,,,,
