Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
07/03/2004,541.0,43,377,50.0,,,50.0,71.0,,,71.0,,-150.0,-209.0,21.0,,,-230.0,,,0.0,0.0,0.0,,,,,59.0,235.0,0.0,407.0,-2.0,0.0,-2.0,-170.0,,626.0,,,
10/02/2004,313.0,57,184,17.0,,,17.0,55.0,,,55.0,,-126.0,-126.0,16.0,,,-142.0,,,0.0,0.0,0.0,,,,,0.0,1273.0,0.0,784.0,1618.0,1618.0,0.0,-1129.0,,1460.0,,,
12/31/2004,336.0,5,179,152.0,,,152.0,0.0,,,0.0,,-149.0,-149.0,1.0,,,-150.0,,,0.0,0.0,0.0,,,,,0.0,1506.0,0.0,-2.0,0.0,0.0,0.0,1508.0,,1693.0,,,
04/01/2005,125.0,85,184,27.0,,,27.0,-171.0,-22.0,-2.0,-147.0,,-191.0,-114.0,4.0,,,-118.0,,,,,,,,,,-77.0,2.0,,,10.0,10.0,,-8.0,,-64.0,,,
07/01/2005,301.0,122,178,11.0,,,11.0,-10.0,-6.0,71.0,-75.0,,-377.0,-108.0,4.0,,,-112.0,,,0.0,0.0,0.0,,,,,-269.0,20.0,0.0,0.0,28.0,28.0,0.0,-8.0,,-56.0,,,
09/30/2005,387.0,164,166,-8.0,,,-8.0,65.0,-30.0,32.0,63.0,,-405.0,-111.0,3.0,,,-114.0,,,0.0,0.0,0.0,,,,,-294.0,55.0,0.0,0.0,56.0,56.0,0.0,-1.0,,37.0,,,
12/31/2005,459.0,192,163,-34.0,,14.0,-48.0,138.0,-25.0,-9.0,172.0,,-430.0,-121.0,26.0,,,-147.0,,,0.0,0.0,0.0,,,,,-309.0,-116.0,0.0,0.0,-91.0,12.0,-103.0,-25.0,,-87.0,21.0,67.0,
03/31/2006,290.0,212,160,43.0,,,43.0,-125.0,-31.0,-45.0,-49.0,,-210.0,-144.0,1.0,,,-145.0,,,,,,,,,,-66.0,-65.0,,,-64.0,36.0,-100.0,-1.0,,15.0,,,
06/30/2006,426.0,260,158,42.0,,-14.0,56.0,-34.0,-70.0,6.0,30.0,,-226.0,-226.0,1.0,,,-227.0,,,-217.0,463.0,-680.0,,,,,217.0,-68.0,0.0,-2.0,-71.0,29.0,-100.0,5.0,,132.0,,,
09/29/2006,358.0,257,158,-51.0,,-8.0,-43.0,-6.0,-104.0,-54.0,152.0,,-121.0,-191.0,1.0,,,-192.0,,,-60.0,768.0,-828.0,,,,,130.0,-290.0,0.0,-370.0,82.0,82.0,0.0,-2.0,,-53.0,,,
12/31/2006,227.0,-2723,311,2552.0,,-83.0,2635.0,87.0,88.0,108.0,-109.0,,-15742.0,-135.0,14.0,,,-149.0,,,1773.0,1773.0,0.0,,,,,-17380.0,6202.0,0.0,-902.0,38.0,38.0,0.0,7066.0,,-9313.0,,,
03/30/2007,41.0,-539,526,,,,,,,,,,-26.0,-92.0,0.0,,,-92.0,,,0.0,0.0,0.0,,,,,66.0,-11.0,0.0,-10.0,0.0,0.0,0.0,-1.0,,4.0,,,
06/29/2007,-11.0,-288,531,0.0,,0.0,0.0,,0.0,0.0,0.0,,110.0,-72.0,0.0,,,-72.0,,,-31.0,0.0,-31.0,,,,,213.0,-10.0,0.0,-10.0,0.0,0.0,0.0,0.0,,118.0,,,
09/28/2007,336.0,-261,544,0.0,,0.0,0.0,,0.0,0.0,0.0,,-330.0,-40.0,33.0,,,-73.0,,,31.0,31.0,,,,,,-321.0,-4.0,0.0,-11.0,0.0,0.0,0.0,7.0,,-27.0,,,
12/31/2007,60.0,-519,549,-253.0,,-929.0,676.0,136.0,76.0,390.0,-330.0,,-120.0,-104.0,,,,-104.0,,,0.0,0.0,,,,,,-16.0,-6.0,0.0,-14.0,0.0,0.0,0.0,8.0,,-66.0,,1.0,
06/27/2008,70.0,-184,450,,,,,,,,,,113.0,66.0,140.0,,,-74.0,,,0.0,0.0,0.0,,,,,47.0,-66.0,0.0,-65.0,0.0,0.0,0.0,-1.0,,117.0,,,
09/26/2008,165.0,-3497,670,,,,,,,,,,49.0,-52.0,1.0,,,-53.0,,,0.0,0.0,0.0,,,,,101.0,-14.0,0.0,-12.0,0.0,0.0,0.0,-2.0,,200.0,,,
12/31/2008,-299.0,-3987,289,6616.0,,-573.0,7189.0,-148.0,193.0,-83.0,-258.0,,45.0,-21.0,6.0,,,-27.0,,,0.0,0.0,0.0,,,,,66.0,452.0,0.0,454.0,0.0,0.0,0.0,-2.0,,198.0,11.0,,
04/03/2009,-80.0,1756,315,-2188.0,16.0,4.0,-2208.0,37.0,43.0,40.0,-46.0,0.0,-16.0,-27.0,1.0,1.0,0.0,-28.0,-15.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,142.0,0.0,-36.0,0.0,0.0,0.0,178.0,-7.0,39.0,,90.0,
07/03/2009,-68.0,-484,339,62.0,24.0,32.0,6.0,12.0,52.0,72.0,-112.0,0.0,919.0,-16.0,5.0,5.0,0.0,-21.0,-13.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.0,-38.0,0.0,-38.0,0.0,0.0,0.0,0.0,13.0,826.0,,241.0,
10/02/2009,77.0,-410,275,179.0,-9.0,-4.0,192.0,36.0,-28.0,-3.0,67.0,0.0,-478.0,-24.0,8.0,8.0,0.0,-32.0,-18.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-454.0,-36.0,0.0,-36.0,0.0,0.0,0.0,0.0,6.0,-431.0,,-331.0,
12/31/2009,147.0,-114,290,89.0,7.0,-332.0,414.0,-118.0,-30.0,17.0,-105.0,0.0,-51.0,-55.0,2.0,2.0,0.0,-57.0,-39.0,-18.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,-4.0,-59.0,0.0,-66.0,0.0,0.0,0.0,7.0,-8.0,29.0,,,
04/02/2010,26.0,-256,262,75.0,6.0,0.0,69.0,-55.0,-52.0,-6.0,3.0,0.0,-48.0,-50.0,11.0,11.0,0.0,-61.0,-42.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-135.0,0.0,-837.0,0.0,0.0,0.0,702.0,-15.0,-172.0,,62.0,
07/02/2010,120.0,-538,255,403.0,,,403.0,,,,,,-74.0,,,,,,,,,,,,,,,,-20.0,,,,,,-20.0,,-127.0,,,
09/30/2010,182.0,-156,266,21.0,8.0,-10.0,23.0,52.0,-4.0,-65.0,121.0,0.0,-131.0,-132.0,1.0,1.0,0.0,-133.0,-103.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-70.0,0.0,-809.0,0.0,0.0,0.0,-11.0,27.0,8.0,,,
12/31/2010,66.0,-103,253,-25.0,7.0,-36.0,4.0,-60.0,-1.0,-35.0,-24.0,0.0,-67.0,-67.0,9.0,9.0,0.0,-76.0,-57.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,-26.0,0.0,0.0,0.0,-2129.0,-3.0,-29.0,,,
