Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,591.200012,,-467.100006,,124.100006,,-39.900002,,,,,84.199997,-3.7,,5.1,,0.0,-1.4,80.499997,-18.299999,62.200001,0.0,,,62.199998,0.0,62.200001,0.0,,62.200001,62.200001,,110.800003,0.56,0.56,,110.800003,0.56,0.56,0.56,
06/30/1990,587.400024,,-469.0,,118.400024,,-40.5,,,,,77.900002,-4.9,,5.4,,0.0,-0.5,73.000001,-7.3,65.699997,0.0,,,65.700001,0.0,65.699997,0.0,,65.699997,65.699997,,111.0,0.59,0.59,,111.0,0.59,0.59,0.59,
09/29/1990,604.5,,-494.100006,,110.399994,,-41.700001,,,,,68.699997,-5.9,,6.4,,0.0,-0.5,62.799997,-6.3,56.5,0.0,,,56.499997,0.0,56.5,0.0,,56.5,56.5,,111.0,0.51,0.51,,111.0,0.51,0.51,0.51,
12/31/1990,618.05603,,-517.018005,,101.038025,,-43.713001,,,,,57.325001,-4.87,,8.897,,0.0,-4.027,52.455001,-4.382,48.073002,0.0,,,48.073001,0.0,48.073002,0.0,,48.073002,48.073002,,109.572998,0.44,0.44,0.44,109.572998,0.44,0.44,0.44,
03/30/1991,606.900024,,-511.600006,,95.300018,,-43.5,,,,,51.799999,-1.0,,3.3,,0.0,-2.3,50.799999,-8.7,42.099998,0.0,,,42.099999,0.0,42.099998,0.0,,42.099998,42.099998,,110.199997,0.38,0.38,,110.199997,0.38,0.38,0.38,
06/29/1991,618.299988,,-515.200012,,103.099976,,-47.900002,,,,,55.200001,-6.3,,8.1,,0.0,-1.8,48.9,-8.3,40.599998,0.0,,,40.6,0.0,40.599998,0.0,,40.599998,40.599998,,110.599998,0.37,0.37,,110.599998,0.37,0.37,0.37,
09/28/1991,641.5,,-549.599976,,91.900024,,-44.299999,,,,,47.599998,-9.1,,9.3,,0.0,-0.2,38.499998,-6.5,32.0,0.0,,,31.999998,0.0,32.0,0.0,,32.0,32.0,,110.800003,0.29,0.29,,110.800003,0.29,0.29,0.29,
12/28/1991,640.468994,,-553.315979,,87.153015,,-41.895,,,,,45.257999,-16.688999,,17.608999,,0.0,-0.92,28.569,-4.851,23.718,0.0,,,23.718,0.0,23.718,0.0,,23.718,23.718,,109.783996,0.215,0.215,0.215,109.783996,0.215,0.215,0.215,
03/28/1992,658.0,,-556.900024,,101.099976,,-47.099998,,,,,54.0,-12.1,,11.5,,0.0,0.6,41.9,-7.1,34.799999,0.0,,,34.8,0.0,34.799999,0.0,,34.799999,34.799999,,111.199997,0.315,0.315,,111.199997,0.315,0.315,0.315,
06/27/1992,684.400024,,-568.400024,,116.0,,-48.400002,,,,,67.599998,-10.1,,10.8,,0.0,-0.7,57.499998,-9.8,47.700001,0.0,,,47.699998,0.0,47.700001,0.0,,47.700001,47.700001,,111.199997,0.425,0.425,,111.199997,0.425,0.425,0.425,
