Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,33.755001,-21.247,12.508001,-7.614,4.894,-2.312,0,0.26,2.842,-1.279,1.563,0.0,0,1.563,0.0,,1.563,,1.563,0.000988,0.000988,0.000988,1485.803272,0.000988,0.000988,0.000988,1485.803272,
06/30/1990,37.352001,-22.374001,14.978001,-8.872,6.106,-2.691,0,0.313,3.728,-1.673,2.054993,0.0,0,2.055,0.0,,2.055,,2.055,0.001481,0.001481,0.001383,1504.109259,0.001481,0.001481,0.001383,1504.109259,
09/30/1990,42.678001,-24.737,17.941002,-10.092,7.849,-2.93,0,0.329,5.248,-2.363,2.885,0.0,0,2.885,0.0,,2.885,,2.885,0.002963,0.002963,0.002889,1004.805004,0.002963,0.002963,0.002889,1004.805004,
12/31/1990,40.638,-22.097,18.541,-10.724,7.817,-2.602,0,0.531,5.746,-2.457,3.289,0.0,0,3.289,0.0,,3.289,,3.289,0.002963,0.002963,0.003259,1014.282054,0.002963,0.002963,0.003259,1014.282054,
03/31/1991,43.703999,-25.073999,18.629999,-10.516,8.114,-2.392,0,0.222,5.944,-2.568,3.376,0.0,0,3.376,0.0,,3.376,,3.376,0.002963,0.002963,0.003259,1033.721981,0.002963,0.002963,0.003259,1033.721981,
06/30/1991,57.534,-33.763,23.771,-14.121,9.65,-2.966,0,0.271,6.955,-2.99,3.965,0.0,0,3.965,0.0,,3.965,,3.965,0.005556,0.005556,0.005556,715.33802,0.005556,0.005556,0.005556,715.33802,
09/30/1991,80.060997,-48.630001,31.430996,-19.148001,12.283,-3.928,0,0.436,8.791,-3.769,5.022,0.0,0,5.022,0.0,,5.022,,5.022,0.006667,0.006667,0.006333,797.795975,0.006667,0.006667,0.006333,797.795975,
12/31/1991,177.436005,,,-151.572006,25.864,,0,,25.864,-14.19,11.674,0.0,0,11.674,0.0,,11.674,,11.674,0.006667,0.006667,0.006667,1750.950027,0.006667,0.006667,0.006667,1750.950027,
03/31/1992,183.748001,-105.251999,78.496002,-51.540001,26.955999,-6.828,0,0.191,20.318999,-8.033,12.286,0.0,0,12.286,0.0,,12.286,,12.285999,0.006667,0.006667,0.007,1757.952026,0.006667,0.006667,0.007,1757.952026,
06/30/1992,197.815002,-112.311996,85.503006,-56.91,28.593,-6.313,0,0.718,22.998,-9.204,13.794,0.0,0,13.794,-0.487,,13.307,,13.307,0.007778,0.007778,0.007444,1791.35994,0.007778,0.007778,0.007444,1791.35994,
09/30/1992,205.779999,-116.820999,88.959,-58.671001,30.288,-5.382,0,0.162,25.068,-10.141,14.927,0.0,0,14.927,-0.813,,14.114,,14.114,0.032222,0.032222,0.032222,439.866005,0.032222,0.032222,0.032222,439.866005,
12/31/1992,213.410004,-109.517998,103.892006,-71.522003,32.369999,-5.255,0,-87.315002,-60.200003,19.009001,-41.191002,-5.8,0,-46.991001,-0.812,,-47.803001,,-42.003002,-0.094444,-0.094444,-0.107778,444.546009,-0.094444,-0.094444,-0.107778,444.546009,
03/31/1993,219.011002,-143.889008,75.121994,-41.141998,33.98,-5.353,0,0.021,28.647999,-11.459,17.188999,0.0,0,17.188999,-0.813,,16.375999,,16.376,0.053333,0.053333,0.053333,309.078003,0.053333,0.053333,0.053333,309.078003,
06/30/1993,251.514008,-163.356003,88.158005,-46.903999,41.254002,-6.124,0,0.409,35.539002,-14.216,21.323,0.0,0,21.323,-0.813,,20.51,,20.510002,0.065,0.065,0.065,318.047997,0.065,0.065,0.065,318.047997,
09/30/1993,281.787994,-178.257996,103.529999,-50.744999,52.785,-6.861,0,2.280945,48.204945,-19.764,28.441,0.0,0,28.441,-1.887,,26.554,,26.553945,0.083333,0.083333,0.083333,318.383995,0.083333,0.083333,0.083333,318.383995,
12/31/1993,721.94397,-497.895996,224.047974,-107.314003,116.734001,-17.219,0,-1.987,97.528001,-40.16,57.368,-7.949,0,49.418999,-8.17,,41.248999,,49.198001,0.13,0.13,0.108333,379.794,0.13,0.13,0.108333,379.794,
03/31/1994,523.89502,-357.139008,166.756012,-90.443001,76.313004,-9.619,0,2.368,69.062003,-28.971001,40.091,0.0,0,40.091,-6.938,,33.152999,,33.153002,0.066667,0.066667,0.066667,491.103012,0.066667,0.066667,0.066667,491.103012,
06/30/1994,555.317993,-398.394989,156.923004,-100.175003,56.748001,-11.901,0,0.84,45.687001,-25.875,19.812,0.0,0,19.812,-6.952,,12.86,,12.860001,0.026667,0.026667,0.026667,491.273987,0.026667,0.026667,0.026667,491.273987,
09/30/1994,568.557983,-408.158997,160.398987,-135.337006,25.062,-12.778,0,-74.777,-62.493,-49.263,-111.755997,0.0,0,-111.755997,-6.938,,-118.693997,,-118.694001,-0.25,-0.25,-0.25,474.845993,-0.25,-0.25,-0.25,474.845993,
12/31/1994,572.994019,-447.768005,125.226014,-106.404999,18.820999,-13.005,0,-106.412109,-100.59611,30.292999,-70.305,0.0,0,-70.305,-6.938,,-77.243,,-77.241111,-0.163333,-0.163333,-0.163333,477.390015,-0.163333,-0.163333,-0.163333,477.390015,
03/31/1995,865.034973,-554.249023,310.78595,-160.248001,150.537994,-62.307999,0,0.234,88.463996,-34.500999,53.963001,0.0,0,53.963001,-6.939,,47.024001,,47.023996,0.093333,0.093333,0.093333,500.318985,0.093333,0.093333,0.093333,500.318985,
06/30/1995,894.718994,-569.643005,325.075989,-162.320999,162.755005,-64.557999,0,3.139,101.336006,-39.521,61.814999,0.0,0,61.814999,-6.936,,54.878999,,54.879006,0.11,0.11,0.11,506.433014,0.11,0.11,0.11,506.433014,
09/30/1995,938.883972,-591.677002,347.20697,-169.908005,177.298996,-62.556,0,3.752,118.494996,-46.424,72.070999,0.0,0,72.070999,-18.811001,,53.259998,,53.259996,0.12,0.1,0.1,585.042023,0.12,0.1,0.1,585.042023,
12/31/1995,997.70697,-627.737,369.96997,-185.417999,184.552002,-59.793999,0,4.676,129.434003,-51.012001,78.421997,0.0,0,78.421997,-0.505,,77.916997,,77.917002,0.133333,0.133333,0.133333,588.779985,0.133333,0.133333,0.133333,588.779985,
03/31/1996,1026.186035,-641.900024,384.286011,-189.223007,195.063004,-57.026001,0,2.125977,140.162979,-54.662998,85.5,0.0,0,85.5,-0.505,,84.995,,84.994981,0.143333,0.143333,0.143333,592.556992,0.143333,0.143331,0.143333,592.556992,
06/30/1996,1061.400024,-648.653992,412.746033,-195.108994,217.636993,-55.862999,0,-399.983002,-238.209007,-5.459,-243.667999,-24.434,0,-268.10199,-0.355,,-268.45699,402.0,157.976993,-0.413333,-0.413333,-0.456667,586.740005,-0.413333,-0.413333,-0.456667,586.740005,
09/30/1996,1131.519043,-691.109985,440.409058,-208.348007,232.061005,-55.014,0,1.725,178.772005,-69.721001,109.051003,0.0,0,109.051003,0.0,,109.051003,,109.051004,0.18,0.18,0.18,604.321518,0.18,0.18,0.18,604.321518,
12/31/1996,1266.025024,-778.739014,487.28601,-235.992996,251.292999,-53.897999,0,-2337.537109,-2140.142109,0.315,-2139.826904,0.0,0,-2139.826904,0.0,,-2139.826904,,-2139.827109,-3.48,-3.48,-3.48,614.929505,-3.48,-3.48,-3.48,614.929505,
