Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EPS Surprise %,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Net Income Surprise %,Source: Bloomberg
08/27/1999,,,9.658,,9.658,9.658,,,,,,,,,
11/26/1999,,,12.862,,12.862,12.862,,,,,,,,,
02/25/2000,,,19.156,,10.953,10.953,,,,,,,,,
06/02/2000,,,17.205999,,12.437,12.437,,,,,,,,,
09/01/2000,,,25.177999,,17.275,17.275,,,,,,,,,
12/01/2000,,,27.493,,20.259001,20.259001,,,,,,,,,
03/02/2001,,,9.263,,-1.936,-1.936,,,,,,,,,
06/01/2001,,,-89.194,,-392.074005,-392.074005,,,,,,,,,
08/31/2001,,,-38.723,,-32.431,-32.431,,,,,,,,,
11/30/2001,,,-36.562,,-25.208,-25.208,,,,,,,,,
03/01/2002,,,-13.996,,2.948,2.948,,,,,,,,,
05/31/2002,,,-17.827999,,-27.477,-27.477,,,,,,,,,
08/30/2002,,,-36.397999,,-258.744995,-258.744995,,,,,,,,,
11/29/2002,,,7.498,,3.52,3.52,,,,,,,,,
02/28/2003,,,-25.256001,,-172.336,-172.336,,,,,,,,,
05/31/2003,,,-8.858,,-15.021,-15.021,,,,,,,,,
08/31/2003,,,-12.307,,-21.746,-21.746,,,,,,,,,
11/30/2003,,,5.488,,-4.118,-4.118,,,,,,,,,
02/27/2004,,,0.614,,-9.322,-9.322,,,,,,,,,
05/31/2004,,,15.937,,13.337,13.337,,,,,,,,,
08/31/2004,,,21.933001,,19.594,19.594,,,,,,,,,
11/26/2004,,,27.218,,24.691,24.691,,,,,,,,,
02/25/2005,,,10.559,,4.373,4.373,,-12.5,,,,,,,
06/03/2005,,,19.216,,17.729,17.729,,15.625,,,,,,,
09/02/2005,,17.967,21.051001,0.844896311293033,18.177,18.177,,18.4971098265896,,,,,,17.1648077030111,
12/02/2005,,22.4,24.417999,-0.899108693084177,260.889,260.889,,0.0,,,,,,9.00892410714285,
03/03/2006,,16.58,19.774,3.38102534902469,29.939,29.939,,-48.0874316939891,,,,,,19.264173703257,
05/31/2006,,21.9,30.618999,0.389715890838725,27.165,27.165,,27.7533039647577,,,,,,39.8127808219178,
08/31/2006,,19.486,21.517,-4.13299255478819,16.503,16.503,,14.1304347826087,,,,,,10.4228676998871,
12/01/2006,,16.536,13.009,0.0866113390953349,12.771,12.771,,-21.0526315789474,,,,,,-21.329221093372,
03/02/2007,,11.789,12.609,1.57409981517542,11.757,11.757,,0.854700854700844,,,,,,6.95563661039953,
05/31/2007,,14.433,18.862,-1.24011438893715,15.352,15.352,,26.7605633802817,,,,,,30.6866209381279,
08/31/2007,,8.5,9.725,0.266537798777097,-0.841,-0.841,,13.9240506329114,,,,,,14.4117647058823,
11/30/2007,,-9.92,6.407,0.361103982777177,-9.628,-9.628,,,,,,,,,
02/28/2008,,-17.84,-14.604,-1.42831049651527,-57.021,-57.021,,-2.56410256410257,,,,,,18.1390134529148,
05/31/2008,,-21.212,-23.948,-1.84670281413331,-43.445,-43.445,,-20.2185792349727,,,,,,-12.8983594191967,
08/31/2008,,-21.387,-12.764,11.6764063926941,-41.878,-33.45725,,37.8238341968912,,,,,,40.3188853041567,
11/30/2008,,-40.987,-80.224998,-13.0491226318775,-508.594,-493.93715,,-91.6010498687664,,,,,,-95.7327884451167,
02/27/2009,,-56.43,-94.728996,3.5821248142645,-98.027,-105.12565,,-66.3442940038685,,,,,,-67.8699202551834,
05/31/2009,,-90.157,-53.425999,8.70404384591293,-104.974,-86.5049,,38.366718027735,,,,,,40.7411526559224,
08/28/2009,,-32.145,-13.6,30.4097254414163,-164.467,-140.00815,,56.5217391304348,,,,,,57.6917094415928,
11/27/2009,,-50.785,-59.583,13.1297995879378,-85.373,-121.32645,,-11.4457831325301,,,,,,-17.3240129959634,
02/28/2010,,-74.718,-102.830002,15.8418116503933,-22.047,-89.08215,,-45.5847255369928,,,,,,-37.624136085013,
05/31/2010,,-120.455,,,,,,,,,,,,,
08/31/2010,,-89.573,,,,,,,,,,,,,
