Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
02/28/1990,1473.949951,49.525002,49.525002,0.0,285.404999,,,668.827026,,,,,0.0,,,1003.757019,0.0,0.0,0.0,418.308014,,51.884998,,,,,,,51.884998,470.193012,,196.339996,196.339996,,,,415.931,,,,,62.656982,,,,62.656982,674.927979,519.991028,,,,46.347,,,,,46.347,566.338028,1241.266006,0.0,130.951996,,,0.0,,70.638,201.589996,31.094,232.683996,1473.950003,
05/31/1990,1498.285034,47.855999,47.855999,0.0,288.776001,,,695.419006,,,,,0.0,,,1032.051025,0.0,0.0,0.0,404.704987,,61.528999,,,,,,,61.528999,466.233986,,204.145996,204.145996,,,,433.074005,,,,,61.110992,,,,61.110992,698.330994,506.966003,,,,45.245998,,,,,45.245998,552.212002,1250.542995,0.0,131.141998,,,0.0,,84.712997,215.854996,31.886999,247.741995,1498.28499,
08/31/1990,1567.680054,17.141001,17.141001,0.0,289.309998,,,796.596985,,,,,0.0,,,1103.047974,0.0,0.0,0.0,393.574005,,71.057999,,,,,,,71.057999,464.632004,,183.889008,183.889008,,,,503.063995,,,,,64.669983,,,,64.669983,751.622986,499.376007,,,,49.305,,,,,49.305,548.681007,1300.303993,0.0,131.212006,,,0.0,,98.152,229.364006,38.012001,267.376007,1567.68,
11/30/1990,1544.130005,27.517,27.517,0.0,316.888,,,746.148987,,,,,0.0,,,1090.553955,0.0,0.0,0.0,380.071991,,73.503998,,,,,,,73.503998,453.575989,,198.356003,198.356003,,,,451.613007,,,,,70.098983,,,,70.098983,720.067993,487.221008,,,,56.525002,,,,,56.525002,543.74601,1263.814003,0.0,131.212006,,,0.0,,103.139,234.351006,45.965,280.316006,1544.130009,
02/28/1991,1439.026978,13.632,13.632,0.0,279.003998,,,700.112976,,,,,0.0,,,992.749023,0.0,0.0,0.0,370.109009,,76.168999,,,,,,,76.168999,446.278008,,155.391006,155.391006,,,,422.433014,,,,,32.923965,,,,32.923965,610.747986,483.041992,,,,60.912998,,,,,60.912998,543.95499,1154.702976,0.0,132.270996,,,0.0,,101.984001,234.254997,50.069,284.323997,1439.026974,
05/31/1991,1406.784058,13.503,13.503,0.0,290.920013,,,673.583008,,,,,0.0,,,978.005981,0.0,0.0,0.0,354.473999,,74.304001,,,,,,,74.304001,428.778,,151.940994,151.940994,,,,395.964996,,,,,42.500015,,,,42.500015,590.406006,473.01001,,,,57.851002,,,,,57.851002,530.861012,1121.267017,0.0,142.526993,,,0.0,,92.984001,235.510994,50.006001,285.516994,1406.784012,
08/31/1991,1438.85498,32.868,32.868,0.0,294.894012,,,697.257019,,,,,0.0,,,1025.019043,0.0,0.0,0.0,337.777008,,76.058998,,,,,,,76.058998,413.836006,,166.320007,166.320007,,,,390.973999,,,,,67.047974,,,,67.047974,624.34198,460.766998,,,,56.865002,,,,,56.865002,517.632,1141.97398,0.0,142.701996,,,0.0,,97.650002,240.351997,56.528999,296.880997,1438.854977,
11/30/1991,1373.022949,50.868,50.868,0.0,274.328003,,,654.341003,,,,,0.0,,,979.536987,0.0,0.0,0.0,324.708008,,68.778,,,,,,,68.778,393.486008,,166.998001,166.998001,,,,314.579987,,,,,73.052993,,,,73.052993,554.630981,450.691986,,,,57.087002,,,,,57.087002,507.778988,1062.409969,0.0,143.621002,,,0.0,,114.485001,258.106003,52.507,310.613003,1373.022972,
02/29/1992,1366.741943,30.917999,30.917999,0.0,263.13501,,,692.653015,,,,,0.0,,,986.705994,0.0,0.0,0.0,306.71701,,73.319,,,,,,,73.319,380.036011,,163.720001,163.720001,,,,329.083008,,,,,58.639008,,,,58.639008,551.442017,439.651001,,,,60.029999,,,,,60.029999,499.681,1051.123016,0.0,146.315002,,,0.0,,114.582001,260.897003,54.722,315.619003,1366.74202,
05/31/1992,1427.271973,35.241001,35.241001,0.0,312.927002,,,710.630981,,,,,0.0,,,1058.79895,0.0,0.0,0.0,283.221008,,85.251999,,,,,,,85.251999,368.473007,,170.429001,170.429001,,,,387.925995,,,,,46.580002,,,,46.580002,604.934998,419.796997,,,,61.506001,,,,,61.506001,481.302998,1086.237995,0.0,182.065002,,,0.0,,118.655998,300.721001,40.313,341.034,1427.271996,
08/31/1992,1464.803955,44.305,44.305,0.0,302.15799,,,781.221985,,,,,0.0,,,1127.685059,0.0,0.0,0.0,264.562988,,72.556,,,,,,,72.556,337.118988,,190.889008,190.889008,,,,406.184998,,,,,58.082001,,,,58.082001,655.156006,408.17099,,,,67.748001,,,,,67.748001,475.918991,1131.074997,0.0,182.854996,,,0.0,,133.237,316.091995,17.636999,333.728994,1464.803991,
11/30/1992,1431.76001,65.940002,65.940002,0.0,330.457001,,,725.013977,,,,,0.0,,,1121.411011,0.0,0.0,0.0,239.979996,,70.369003,,,,,,,70.369003,310.348999,,173.537003,173.537003,,,,401.846985,,,,,66.410995,,,,66.410995,641.794983,384.970001,,,,68.931999,,,,,68.931999,453.902,1095.696983,0.0,185.147003,,,0.0,,133.285995,318.432998,17.629999,336.062997,1431.75998,
02/28/1993,1380.609009,39.707001,39.707001,0.0,245.889008,,,797.927979,,,,,0.0,,,1083.524048,0.0,0.0,0.0,223.972,,73.112999,,,,,,,73.112999,297.084999,,141.794006,141.794006,,,,403.153992,,,,,61.195984,,,,61.195984,606.143982,372.721008,,,,64.948997,,,,,64.948997,437.670006,1043.813988,0.0,185.423004,,,0.0,,132.522995,317.945999,18.849001,336.795,1380.608988,
05/31/1993,1501.430054,113.487,113.487,0.0,288.369995,,,822.353027,,,,,0.0,,,1224.209961,0.0,0.0,0.0,205.136002,,72.084,,,,,,,72.084,277.220001,,177.992004,177.992004,,,,382.631989,,,,,54.857025,,,,54.857025,615.481018,357.309998,,,,66.402,,,,,66.402,423.711998,1039.193016,1.3,293.588989,,,0.0,,142.572998,437.461987,24.775,462.236987,1501.430003,
