Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,9292.418945,118.588997,118.588997,0.0,545.286011,,,208.832001,,,,,0.0,,,872.70697,209.065994,,,7974.070801,236.574997,,,,,,236.574997,8419.711792,,376.588013,376.588013,,,,,,,1938.168091,,,1938.168091,2314.756104,1107.32605,,,,,985.187988,,,985.187988,2092.514038,4407.270142,0.0,164.253006,,,-42.292999,,4678.700226,4800.660233,84.488998,4885.149231,9292.419373,
06/30/1990,10107.671875,240.360992,240.360992,0.0,551.937988,,,192.737,,,,,0.0,,,985.036011,208.462997,,,8676.796875,237.376007,,,,,,237.376007,9122.63588,,376.799988,376.799988,,,,,,,1860.698059,,,1860.698059,2237.498047,1115.715942,,,,,1255.875,,,1255.875,2371.590942,4609.088989,0.0,164.253006,,,-42.292999,,5288.010773,5409.970779,88.612,5498.582779,10107.671768,
09/30/1990,9265.579102,178.578995,178.578995,0.0,509.550995,,,207.264999,,,,,0.0,,,895.39502,211.438004,,,7949.414062,209.332001,,,,,,209.332001,8370.184067,,417.675995,417.675995,,,,,,,1851.861115,,,1851.861115,2269.537109,1213.891968,,,,,886.888977,,,886.888977,2100.780945,4370.318054,0.0,164.253006,,,-42.292999,,4684.480011,4806.440018,88.820999,4895.261017,9265.579071,
12/31/1990,10670.422852,247.024002,247.024002,0.0,705.648987,,,203.794998,,,,,0.0,,,1156.468018,209.869995,,,8747.057617,557.026978,,,,,,557.026978,9513.95459,,475.872986,475.872986,,,,,,,2512.450989,,,2512.450989,2988.323975,1239.358032,,,,,1062.110962,,,1062.110962,2301.468994,5289.792969,0.0,164.253006,,,-42.292999,,5165.494171,5287.454178,93.176003,5380.63018,10670.423149,
03/31/1991,11585.183594,551.023987,551.023987,0.0,668.507019,,,210.048996,,,,,0.0,,,1429.579956,208.016998,,,9392.875977,554.710999,,,,,,554.710999,10155.603973,,453.15799,453.15799,,,,,,,2666.047089,,,2666.047089,3119.205078,1187.755005,,,,,1294.483032,,,1294.483032,2482.238037,5601.443115,0.0,164.253006,,,-42.292999,,5764.445831,5886.405838,97.334999,5983.740837,11585.183952,
06/30/1991,11939.706055,855.262024,855.262024,0.0,597.911011,,,209.574005,,,,,0.0,,,1662.746948,204.714005,,,9515.111328,557.133972,,,,,,557.133972,10276.959305,,503.766998,503.766998,,,,,,,2736.223969,,,2736.223969,3239.990967,1208.899048,,,,,1318.154053,,,1318.154053,2527.053101,5767.044067,0.0,164.253006,,,-42.292999,,5948.230988,6070.190994,102.471001,6172.661995,11939.706062,
09/30/1991,12771.007812,556.117004,556.117004,0.0,613.742981,,,265.093994,,,,,0.0,,,1434.953979,219.516998,,,10514.31543,602.221985,,,,,,602.221985,11336.054413,,461.182007,461.182007,,,,,,,2782.690063,,,2782.690063,3243.87207,1236.43396,,,,,1553.902954,,,1553.902954,2790.336914,6034.208984,0.0,164.253006,,,-42.292999,,6506.318878,6628.278885,108.519997,6736.798882,12771.007866,
12/31/1991,14461.902344,762.0,762.0,0.0,904.471008,,,256.472992,,,,,0.0,,,1922.94397,222.139008,,,11520.477539,796.341003,,,,,,796.341003,12538.95755,,492.177002,492.177002,,,,,,,3306.981934,,,3306.981934,3799.158936,1255.067993,,,,,1910.574951,,,1910.574951,3165.642944,6964.80188,0.0,164.253006,,,-42.292999,,7257.958038,7379.918045,117.181999,7497.100044,14461.901924,
03/31/1992,14902.925781,612.023987,612.023987,0.0,866.945007,,,262.302002,,,,,0.0,,,1741.270996,217.238007,,,12137.975586,806.440979,,,,,,806.440979,13161.654572,,577.445984,577.445984,,,,,,,3476.700012,,,3476.700012,4054.145996,1118.313965,,,,,2010.69104,,,2010.69104,3129.005005,7183.151001,0.0,164.253006,,,-42.292999,,7482.998077,7604.958084,114.817001,7719.775085,14902.926086,
06/30/1992,15649.301758,542.710022,542.710022,0.0,811.671997,,,262.842987,,,,,0.0,,,1617.224976,215.436005,,,13030.314453,786.327026,,,,,,786.327026,14032.077484,,673.833008,673.833008,,,,,,,3446.792969,,,3446.792969,4120.625977,1289.08606,,,,,2112.231934,,,2112.231934,3401.317993,7521.94397,0.0,164.253006,,,-42.292999,,7888.879913,8010.83992,116.517998,8127.357918,15649.301888,
