Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,7.587,38.362999,42.136002,-112.049004,-23.962999,,,-23.962999,,
06/30/1990,,9.194,37.785999,40.084999,-57.811001,29.254,,,,,
09/30/1990,,-84.656998,35.311001,92.277,4.357,47.287998,,,,,
12/31/1990,,-212.5,2.089,156.695997,82.650002,28.934999,,,28.934999,,
03/31/1991,,27.903999,28.694,-11.406,-16.694,28.497999,,,,,
06/30/1991,,-13.772,26.478001,9.544,5.756,28.006001,,,,,
09/30/1991,,41.208,24.813,-11.066,-9.457,45.498001,,,,,
12/31/1991,,-33.799999,29.044001,66.673998,-18.112,43.806,,,43.806,,
03/31/1992,,4.5,27.830999,43.866001,-63.874001,12.323,,,,,
06/30/1992,,4.157,27.474001,32.438,-40.516998,23.552,,,,,
09/30/1992,,17.818001,25.808001,56.224998,-18.459,81.391998,,,,,
12/31/1992,,-14.701001,27.829,-26.699999,-12.997,-26.569,,,-26.569,,
03/31/1993,,-32.450001,26.097,55.372002,-55.679001,-6.66,,,,,
06/30/1993,,2.353,27.354,0.297,5.389,35.393002,,,,,
09/30/1993,,5.895,27.114,23.774,-26.080999,30.702,,,,,
12/31/1993,,-22.296,-29.438,-22.161002,79.913002,6.018,,,6.018,,
03/31/1994,,-25.372,37.435001,21.153999,-48.999001,-15.782,,,,,
06/30/1994,,-45.626999,,,,25.884001,,,,,
09/30/1994,,8.295,,,,28.718,,,,,
12/31/1994,,-9.858001,41.859001,-30.012,23.202,25.191,,,25.191,,
03/31/1995,,4.5,17.296,5.559,-3.464,23.891001,,,,,
06/30/1995,,9.382,17.541,3.503,-2.596,27.83,,,,,
09/30/1995,,6.046,22.155001,27.978001,-3.879,52.299999,,,,,
12/31/1995,,56.724998,23.621,-20.239,-44.068001,16.039,,,,,
03/31/1996,,9.138,23.169001,6.66,-5.58,33.387001,,,,,
06/30/1996,,16.789,22.851,10.043,-22.716,26.966999,,,,,
09/30/1996,,25.315001,21.586,19.660999,-2.95,63.612,,,,,
