Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Adjustments,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
12/31/1995,,-448,0.0,0.0,4014,,,5448,73.678414,,,,,,,,,,,
03/31/1996,,-174,0.0,0.0,4046,,,3483,116.164226,,,,,,,,,,,
06/30/1996,24113.612068,-2151,0.0,0.0,4044,,26006.612068,6455,62.649109,0.155499,,,,,,24115.012962,26008.012962,10.212079,,
09/30/1996,29206.916267,-2241,0.0,0.0,3997,,30962.916267,6683,59.808469,0.12909,1.329679,81.696349,,,,29208.61306,30964.61306,12.158283,,
12/31/1996,29480.860519,-3177,0.0,0.0,3987,,30290.860519,7505,53.124584,0.131624,1.272886,9.232204,15.478212,21.304489,218.223722,29516.750565,30326.750565,11.880185,,
03/31/1997,33552.014923,-2013,0.0,0.0,3952,,35491.014923,7540,52.413793,0.111352,1.4564,10.102765,16.13228,14.45966,32.19184,67242.002563,69181.002563,13.883505,,
06/30/1997,46182.909542,-1467,0.0,0.0,3440,,48155.909542,7283,47.233283,0.071435,1.900016,12.576628,19.639441,28.715245,227.133983,46494.72588,48467.72588,18.785278,,
09/30/1997,52247.875671,-1350,0.0,0.0,4203,,55100.875671,7590,55.375494,0.076278,2.090322,13.422869,20.753625,26.767777,130.115132,52861.198013,55714.198013,21.454622,,
12/31/1997,51865.790886,-1225,0.0,0.0,3702,,54342.790886,8373,44.213544,0.068123,1.998117,12.2256,17.8818,45.95687,-147.060692,53586.140625,56063.140625,20.922415,,
03/31/1998,83884.337563,-969,0.0,0.0,3816,,86731.337563,8852,43.108902,0.043998,3.072093,18.740566,27.010694,44.75713,229.556266,85788.140625,88635.140625,33.053756,,
06/30/1998,109296.9814,-1099,0.0,0.0,4322,,112519.9814,9244,46.754652,0.038411,3.809846,21.831584,30.320663,41.480472,107.100555,123770.519844,126993.519844,42.820286,,
09/30/1998,104649.489227,-1154,0.0,0.0,4640,,108135.489227,12349,37.573893,0.042909,3.529341,19.980689,26.825971,66.013923,-1115.61471,92337.951691,95823.951691,35.7784,,
12/31/1998,145144.441394,-940,,,6167,,150371.441394,14604,42.228157,0.041012,4.840075,26.487835,35.010813,802.185479,-92.278019,148646.49375,153873.49375,56.948307,,
03/31/1999,288615.14082,-792,,,6901,,294724.14082,15952,43.261033,0.023415,8.902977,46.209492,61.222298,-3733.885042,-146.342626,296416.8,302525.8,55.142996,,
06/30/1999,205616.088934,-1495,,,6792,,210913.088934,19195,35.384215,0.032203,6.064729,32.141586,40.47459,-8615.030537,-119.397248,212677.64375,217974.64375,69.174798,,
09/30/1999,203872.158325,-1686,0.0,0.0,5867,,208053.158325,19803,29.626824,0.0282,6.641125,32.427238,41.997004,199.000496,-242.060378,197220.0,201401.0,66.205453,,
