Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Oth Claims & Losses (NL & L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Other Cost (NL & L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,2983.650879,1979.870972,,,,431.507988,572.271973,,,-2251.889893,2251.889893,,0.0,,,,,,292.346008,-42.858002,,249.488007,-7.777,,241.710999,0.0,,,241.711007,-18.063999,223.647003,0.0,,223.647003,223.647003,,895.391968,0.25,0.25,,895.391968,0.25,0.25,0.25,
06/30/1990,3091.199951,2043.970947,,,,384.031988,663.197021,,,-2316.214111,2316.214111,,0.0,,,,,,258.527008,-43.136002,,215.391006,-6.125,,209.266006,0.0,,,209.266006,-16.325001,192.940994,0.0,,192.940994,192.940994,,889.284027,0.216667,0.216667,,889.284027,0.216667,0.216667,0.216667,
09/30/1990,3285.538086,2068.243896,,,,540.755005,676.539001,,,-2344.332031,2344.332031,,0.0,,,,,,393.717987,-38.375999,,355.341988,-61.870998,,293.471008,0.0,,,293.470989,-22.237,271.234009,0.0,,271.234009,271.234009,,881.460022,0.3075,0.3075,,881.460022,0.3075,0.3075,0.3075,
12/31/1990,3276.535889,2284.613037,,,,309.645012,682.278015,,,-2555.196045,2555.196045,,0.0,,,,,,158.863007,-47.265999,,111.597008,16.731001,,128.328003,0.0,,,128.328009,-11.5,116.828003,0.0,,116.828003,116.828003,,842.231964,0.138333,0.138333,0.138333,842.231964,0.138333,0.138333,0.138333,
03/31/1991,3211.835938,2213.305908,,,,458.132999,540.396973,,,-2478.093994,2478.093994,,0.0,,,,,,205.302994,-42.73,,162.572994,-5.368,,157.205002,0.0,,,157.204994,-21.188999,136.016006,0.0,,136.016006,136.016006,,839.003998,0.1625,0.1625,,839.003998,0.1625,0.1625,0.1625,
06/30/1991,3450.478027,2236.12207,,,,551.911011,662.445007,,,-2522.322021,2522.322021,,0.0,,,,,,443.740997,-40.584999,,403.155998,-84.765999,,318.390015,0.0,,,318.389999,-27.712999,290.677002,0.0,,290.677002,290.677002,,837.096039,0.3475,0.3475,,837.096039,0.3475,0.3475,0.3475,
09/30/1991,3360.616943,2245.60498,,,,483.543999,631.468018,,,-2540.480957,2540.480957,,0.0,,,,,,326.842987,-40.333,,286.509987,-63.338001,,223.171997,0.0,,,223.171986,-17.808001,205.363998,0.0,,205.363998,205.363998,,817.812012,0.250833,0.250833,,817.812012,0.250833,0.250833,0.250833,
12/31/1991,3583.531006,2228.133057,,,,655.372986,700.025024,,,-2648.404053,2648.404053,,0.0,,,,,,405.019012,-39.910999,,365.108013,-63.986,,301.122009,0.0,,,301.122013,-42.643002,258.479004,0.0,,258.479004,258.479004,,808.824,0.336667,0.336667,0.336667,808.824,0.336667,0.336667,0.336667,
03/31/1992,3396.626953,2211.635986,,,,543.390999,641.599976,,,-2542.143066,2542.143066,,0.0,,,,,,305.06601,-39.629002,,265.437008,-35.855,,229.582001,-144.710995,,,374.293003,-19.493,354.799988,0.0,,354.799988,354.799988,,803.11203,0.441667,0.261667,,803.11203,0.441667,0.261667,0.261667,
06/30/1992,3442.35791,2143.553955,,,,550.181015,748.622986,,,-2456.86792,2456.86792,,0.0,,,,,,398.503998,-36.014,,362.489998,-70.772003,,291.717987,0.0,,,291.717995,-25.539,266.178986,0.0,,266.178986,266.178986,,786.276036,0.338333,0.338333,0.338333,786.276036,0.338333,0.338333,0.338333,
