Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
10/31/1988,2709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,,,243.0,243.0,,1887.375977,0.12875,0.12875,0.12875,1887.375977,0.12875,0.12875,0.12875,
01/31/1989,2657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,,,193.0,193.0,,1860.23999,0.10375,0.10375,0.10375,1860.23999,0.10375,0.10375,0.10375,
04/30/1989,2864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,,,203.0,203.0,,1888.368042,0.1075,0.1075,0.1075,1888.368042,0.1075,0.1075,0.1075,
07/31/1989,3001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,,,187.0,187.0,,1893.671997,0.09875,0.09875,0.09875,1893.671997,0.09875,0.09875,0.09875,
10/31/1989,3377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0,,,246.0,246.0,,1892.303955,0.13,0.13,0.13,1892.303955,0.13,0.13,0.13,
01/31/1990,3103.0,,,-1627.0,,,1476.0,,-1202.0,,,,274.0,-27.0,,42.0,,,-15.0,247.0,-74.0,173.0,0.0,,,173.0,0.0,173.0,0.0,,173.0,173.0,,1912.0,0.09,0.09,0.09,1912.0,0.09,0.09,0.09,
04/30/1990,3308.0,,,-1738.0,,,1570.0,,-1276.0,,,,294.0,-28.0,,41.0,,,-13.0,266.0,-80.0,186.0,0.0,,,186.0,0.0,186.0,0.0,,186.0,186.0,,1928.0,0.0975,0.0975,0.0975,1928.0,0.0975,0.0975,0.0975,
07/31/1990,3242.0,,,-1708.0,,,1534.0,,-1258.0,,,,276.0,-22.0,,43.0,,,-21.0,254.0,-76.0,178.0,0.0,,,178.0,0.0,178.0,0.0,,178.0,178.0,,1936.0,0.09125,0.09125,0.09125,1936.0,0.09125,0.09125,0.09125,
10/31/1990,3580.0,,,-1920.0,,,1660.0,,-1342.0,,,,318.0,-29.0,,46.0,,,-17.0,289.0,-87.0,202.0,0.0,,,202.0,0.0,202.0,0.0,,202.0,202.0,,1952.0,0.10375,0.10375,0.10375,1952.0,0.10375,0.10375,0.10375,
01/31/1991,3408.0,,,-1821.0,,,1587.0,,-1282.0,,,,305.0,1.0,,41.0,,,-42.0,306.0,-101.0,205.0,0.0,,,205.0,0.0,205.0,0.0,,205.0,205.0,,1976.0,0.10375,0.10375,0.10375,1976.0,0.10375,0.10375,0.10375,
05/01/1991,3730.0,,,-1998.0,,,1732.0,,-1365.0,,,,367.0,-19.0,,32.0,,,-13.0,348.0,-115.0,233.0,0.0,,,233.0,0.0,233.0,0.0,,233.0,233.0,,2000.0,0.11625,0.11625,0.11625,2000.0,0.11625,0.11625,0.11625,
07/31/1991,3524.0,,,-1911.0,,,1613.0,,-1310.0,,,,303.0,-17.0,,29.0,,,-12.0,286.0,-94.0,192.0,0.0,,,192.0,0.0,192.0,0.0,,192.0,192.0,,2016.0,0.095,0.095,0.095,2016.0,0.095,0.095,0.095,
10/31/1991,3832.0,,,-2128.0,,,1704.0,,-1469.0,,,,235.0,-48.0,,28.0,,,20.0,187.0,-62.0,125.0,0.0,,,125.0,0.0,125.0,0.0,,125.0,125.0,,2012.23596,0.0625,0.0625,0.0625,2012.23596,0.0625,0.0625,0.0625,
01/31/1992,3863.0,,,-2056.0,,,1807.0,,-1338.0,,,,469.0,-18.0,,28.0,,,-10.0,451.0,-149.0,302.0,332.0,,,-30.0,0.0,-30.0,0.0,,-30.0,-30.0,,2024.0,-0.015,0.14875,0.14875,2024.0,-0.015,0.14875,0.14875,
04/30/1992,4183.0,,,-2242.0,,,1941.0,,-1460.0,,,,481.0,7.0,,22.0,,,-29.0,488.0,-165.0,323.0,0.0,,,323.0,0.0,323.0,0.0,,323.0,323.0,,2032.0,0.15875,0.15875,0.15875,2032.0,0.15875,0.15875,0.15875,
07/31/1992,4040.0,,,-2306.0,,,1734.0,,-1435.0,,,,299.0,-18.0,,23.0,,,-5.0,281.0,-93.0,188.0,0.0,,,188.0,0.0,188.0,0.0,,188.0,188.0,,2016.0,0.09375,0.09375,0.09375,2016.0,0.09375,0.09375,0.09375,
10/31/1992,4324.0,,,-2554.0,,,1770.0,,-1615.0,,,,155.0,-50.0,,23.0,,,27.0,105.0,-37.0,68.0,0.0,,,68.0,0.0,68.0,0.0,,68.0,68.0,,2010.128048,0.035,0.035,0.035,2010.128048,0.035,0.035,0.035,
01/31/1993,4573.0,,,-2664.0,,,1909.0,,-1488.0,,,,421.0,-20.0,,32.0,,0.0,-12.0,401.0,-140.0,261.0,0.0,,,261.0,0.0,261.0,0.0,,261.0,261.0,,2016.0,0.12875,0.12875,0.12875,2016.0,0.12875,0.12875,0.12875,
04/30/1993,5096.0,,,-2997.0,,,2099.0,,-1545.0,,,,554.0,-20.0,,28.0,,0.0,-8.0,534.0,-187.0,347.0,0.0,,,347.0,0.0,347.0,0.0,,347.0,347.0,,2024.0,0.1725,0.1725,0.1725,2024.0,0.1725,0.1725,0.1725,
07/31/1993,4961.0,,,-2968.0,,,1993.0,,-1566.0,,,,427.0,-30.0,,31.0,,0.0,-1.0,397.0,-126.0,271.0,0.0,,,271.0,0.0,271.0,0.0,,271.0,271.0,,2032.0,0.1325,0.1325,0.1325,2032.0,0.1325,0.1325,0.1325,
10/31/1993,5687.0,,,-3494.0,,,2193.0,,-1716.0,,,,477.0,-26.0,,30.0,,0.0,-4.0,451.0,-153.0,298.0,0.0,,,298.0,0.0,298.0,0.0,,298.0,298.0,,2032.0,0.1475,0.1475,0.1475,2032.0,0.1475,0.1475,0.1475,
01/31/1994,5682.0,,,-3470.0,,,2212.0,,-1614.0,,,,598.0,-31.0,,34.0,,0.0,-3.0,567.0,-199.0,368.0,0.0,,,368.0,0.0,368.0,0.0,,368.0,368.0,,2072.0,0.1775,0.1775,0.1775,2072.0,0.1775,0.1775,0.1775,
04/30/1994,6254.0,,,-3890.0,,,2364.0,,-1726.0,,,,638.0,-29.0,,35.0,,0.0,-6.0,609.0,-201.0,408.0,0.0,,,408.0,0.0,408.0,0.0,,408.0,408.0,,2088.0,0.195,0.195,0.195,2088.0,0.195,0.195,0.195,
07/31/1994,6053.0,,,-3774.0,,,2279.0,,-1736.0,,,,543.0,-17.0,,41.0,,0.0,-24.0,526.0,-179.0,347.0,0.0,,,347.0,0.0,347.0,0.0,,347.0,347.0,,2088.0,0.16625,0.16625,0.16625,2088.0,0.16625,0.16625,0.16625,
10/31/1994,7002.0,,,-4356.0,,,2646.0,,-1876.0,,,,770.0,-49.0,,45.0,,0.0,4.0,721.0,-245.0,476.0,0.0,,,476.0,0.0,476.0,0.0,,476.0,476.0,,2080.0,0.22875,0.22875,0.22875,2080.0,0.22875,0.22875,0.22875,
01/31/1995,7304.0,,,-4547.0,,,2757.0,,-1825.0,,,,932.0,-13.0,,46.0,,0.0,-33.0,919.0,-317.0,602.0,0.0,,,602.0,0.0,602.0,0.0,,602.0,602.0,,2096.0,0.2875,0.2875,0.2875,2096.0,0.2875,0.2875,0.2875,
