Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1990,139.003998,168.751999,168.751999,,4.587448,2.163885,0.609332,0.48,0.48,,0.48,0.48,0.48,0.19,0.128704,,23.87314,12.85204,,
06/30/1990,139.117996,168.901993,168.901993,,4.715196,2.25513,0.648749,0.515,0.515,,0.515,0.515,0.515,0.21,0.360984,,22.609655,13.180495,,
09/30/1990,139.164001,168.828003,168.828003,,4.779272,2.263256,0.699161,0.55,0.55,,0.55,0.55,0.55,0.21,0.029971,,22.214043,13.510118,,
12/31/1990,168.552002,153.858796,153.858796,,5.435451,2.609165,0.675197,0.55,0.55,0.55,0.55,0.55,0.55,0.21,0.935774,,28.134326,14.066448,,
03/31/1991,169.531998,170.658005,170.658005,,4.723025,2.367947,0.626938,0.495,0.495,,0.495,0.495,0.495,0.23,0.129217,,22.61946,14.329177,,
06/30/1991,169.820007,171.442001,171.442001,,4.631321,2.444739,0.736296,0.56,0.56,,0.56,0.56,0.56,0.23,2.715157,,21.093233,14.681238,,
09/30/1991,170.063995,171.740005,171.740005,,4.57116,2.476703,0.685408,0.52,0.52,,0.52,0.52,0.52,0.23,-2.53252,,24.867269,14.996937,,
12/31/1991,170.645996,170.355194,170.355194,,4.421397,2.476273,-0.411012,-0.235,-0.235,-0.235,-0.235,-0.235,-0.235,0.23,-1.583398,,20.097676,14.558877,,
03/31/1992,170.992004,172.738007,172.738007,,4.168897,2.543974,0.842947,0.61,0.61,,0.61,0.61,0.61,0.25,1.626625,,18.033299,14.944499,,
06/30/1992,170.492004,172.304001,172.304001,,4.026592,2.571026,0.868088,0.63,0.63,,0.63,0.63,0.63,0.25,1.198835,,18.587012,15.410224,,
