Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
11/30/1989,371.007996,-267.041992,103.966003,-80.264,23.702,-3.962,0.0,1.014,20.754,-7.264,13.49,0.0,0.0,13.49,0.0,13.49,13.49,,0.24,0.24,55.783001,0.24,0.24,0.24,55.783001,
02/28/1990,375.873993,-272.778015,103.095978,-88.981003,14.115,-5.768,0.0,1.865,10.212,-3.574,6.638,0.0,0.0,6.638,0.0,6.638,6.638,,0.12,0.12,55.792,0.12,0.12,0.12,55.792,
05/31/1990,426.640015,-308.536011,118.104004,-95.338997,22.764999,-5.634,0.0,1.129,18.26,-4.668,13.592,0.0,0.0,13.592,0.0,13.592,13.591999,,0.24,0.24,55.803001,0.24,0.24,0.24,55.803001,
08/31/1990,427.731995,-299.584015,128.14798,-103.795998,24.351999,-6.522,0.0,1.895,19.724999,-6.24,13.485,0.0,0.0,13.485,0.0,13.485,13.485,,0.25,0.25,55.811501,0.25,0.25,0.25,55.811501,
11/30/1990,421.304993,-303.505005,117.799988,-95.633003,22.167,-6.968,0.0,1.854,17.053,-5.969,11.084,0.0,0.0,11.084,0.0,11.084,11.084,,0.2,0.2,55.816002,0.2,0.2,0.2,55.816002,
02/28/1991,397.729004,-292.976013,104.752991,-88.392998,16.360001,-7.736,0.0,2.368,10.992001,-3.847,7.145,0.0,0.0,7.145,0.0,7.145,7.145001,,0.13,0.13,55.835999,0.13,0.13,0.13,55.835999,
05/31/1991,438.92099,-322.899994,116.020996,-92.905998,23.115,-8.067,0.0,2.312,17.359999,-6.076,11.284,0.0,0.0,11.284,0.0,11.284,11.283999,,0.2,0.2,55.842999,0.2,0.2,0.2,55.842999,
08/31/1991,427.92099,-313.345001,114.575989,-95.047997,19.528,-6.238,0.0,2.515,15.805,-3.665,12.14,0.0,0.0,12.14,0.0,12.14,12.14,,0.22,0.22,55.845001,0.22,0.22,0.22,55.845001,
11/30/1991,416.695007,-301.79599,114.899017,-91.916,22.983,-5.671,0.0,2.5,19.812,-6.736,13.076,0.0,0.0,13.076,0.0,13.076,13.076,,0.23,0.23,55.847,0.23,0.23,0.23,55.847,
02/29/1992,413.350006,-300.17099,113.179016,-93.070999,20.108,-5.72,0.0,2.595,16.983,-5.774,11.209,0.0,0.0,11.209,0.0,11.209,11.209,,0.2,0.2,55.879002,0.2,0.2,0.2,55.879002,
05/31/1992,474.966003,-343.085999,131.880005,-100.079002,31.801001,-6.021,0.0,2.623,28.403001,-8.354,20.049,0.0,0.0,20.049,0.0,20.049,20.049001,,0.36,0.36,56.012001,0.36,0.36,0.36,56.012001,
08/31/1992,478.351013,-341.988007,136.363007,-104.403999,31.959,-4.715,0.0,2.05,29.293999,-9.373,19.921,0.0,0.0,19.921,0.0,19.921,19.920999,,0.36,0.36,56.145,0.36,0.36,0.36,56.145,
11/30/1992,462.328003,-328.860992,133.46701,-102.818001,30.649,-4.971,0.0,2.926,28.604,-9.497,19.107,0.0,0.0,19.107,0.0,19.107,19.107,,0.33,0.33,58.286999,0.33,0.33,0.33,58.286999,
02/28/1993,441.54599,-316.513,125.03299,-98.731003,26.302,-5.3,0.0,2.805,23.807,-7.487,16.32,0.0,0.0,16.32,0.0,16.32,16.32,,0.28,0.28,58.478001,0.28,0.28,0.28,58.478001,
05/31/1993,519.726013,-365.492004,154.234009,-107.675003,46.558998,-4.502,0.0,2.219,44.275998,-14.384,29.892,0.0,0.0,29.892,0.0,29.892,29.891999,,0.51,0.51,58.688,0.51,0.51,0.51,58.688,
08/31/1993,520.862976,-367.088013,153.774963,-111.236,42.539001,-4.63,0.0,2.98,40.889001,-12.657,28.232,0.0,0.0,28.232,0.0,28.232,28.232002,,0.48,0.48,58.798,0.48,0.48,0.48,58.798,
11/30/1993,499.264008,-354.164001,145.100006,-108.066002,37.034,-4.535,0.0,2.92,35.419001,-11.334,24.084999,2.583,0.0,26.667999,0.0,26.667999,24.085001,,0.41,0.45,59.262001,0.41,0.41,0.45,59.262001,
