Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2005,555.007,,-129.484,,,425.523,0.0,-329.144,258.724,192.613,,,70.42,96.379,23.188,,,-19.712,0.0,,-3.476,119.567,-45.484,74.083,0.0,,,74.083,-0.651,73.432,0.0,0.0,73.432,73.432,,167.77,0.44,0.44,0.44,170.2745,0.44,0.44,0.44,
09/30/2005,584.653,,-124.02,,,460.633,,-311.994,,,,,,148.639,1.921,-17.968,0.31,-18.278,,,16.047,150.56,-69.026,81.534,,,,81.534,0.501,82.035,,,82.035,82.035,45.45,168.2045,0.48,0.48,0.76,176.6755,0.46,0.46,0.7,
12/31/2005,494.748993,,-110.241997,,,384.506996,,-298.89801,,,,,,85.709,-19.122999,,,,0.0,,19.122999,66.586,-42.082001,25.233999,0.0,,,24.504,0.73,25.233999,0.0,0.0,25.233999,25.233999,,169.873001,0.14,0.14,0.42,181.815994,0.14,0.14,0.4,
03/31/2006,493.898,,-119.314,,,374.584,,-348.342,,,,,,26.242,5.36,-1.703,,-1.703,,,-3.657,31.602,-9.658,21.944,,,,21.944,1.391,23.335,,,23.335,23.335,33.682,172.8885,0.14,0.14,0.32,182.584,0.12,0.12,0.3,
06/30/2006,598.458,,-128.449,,,470.009,,-333.754,,,,,,136.255,17.025,-6.559,,-6.559,,,-10.466,153.28,-56.158,97.122,,,,97.122,-1.64,95.482,,,95.482,95.482,14.8427,173.007,0.56,0.56,0.64,179.545,0.54,0.54,0.62,
09/30/2006,613.942,,-133.094,,,480.848,,-344.556,,,,,,136.292,-39.234,-4.84,4.857,-9.697,,,44.074,97.058,-37.707,59.351,,,,59.351,-0.374,58.977,,,58.977,58.977,45.83,165.1795,0.36,0.36,0.64,170.5685,0.34,0.34,0.6086,
12/31/2006,531.288,,-121.781,,,409.507,,-309.967,250.496,171.417,,,59.471,99.54,3.418,-1.697,10.036,-11.733,,,-1.721,102.958,-35.928,67.03,,,,67.03,0.11,67.14,0.0,,67.14,67.14,,165.147,0.4,0.4,0.5,171.793,0.4,0.4,0.5,
03/31/2007,550.511,,-121.298,,,429.213,,-361.879,,,,,,67.334,-9.402,,,,,,9.402,57.932,-23.612,34.32,,,,34.32,0.456,34.776,,,34.776,34.776,12.546,153.914,0.22,0.22,0.3,161.8745,0.22,0.22,0.3,
06/30/2007,689.923,,-143.646,,,546.277,,-392.652,,,,,,153.625,6.586,-0.65,9.902,-10.552,,,-5.936,160.211,-64.076,96.135,,,,96.135,0.001,96.136,,,96.136,96.136,-0.355,151.5175,0.64,0.64,0.64,160.098,0.6,0.6,0.6,
09/30/2007,759.596,,-151.053,,,608.543,,-428.771,,,,,,179.772,-14.946,1.052,13.94,-12.888,,,13.894,164.826,-65.542,99.284,,,,99.284,0.311,99.595,,,99.595,99.595,11.163,146.0855,0.68,0.68,0.76,156.378,0.64,0.64,0.72,
12/31/2007,665.302,,-146.404,,,518.898,,-390.56,,,,,,128.338,-14.323,9.169,17.878,-8.709,,,5.154,114.015,-49.884,64.131,,,,64.131,1.226,65.357,,,65.357,65.357,10.741,141.9115,0.46,0.46,0.52,150.265,0.44,0.44,0.5,
03/31/2008,687.817,,-152.26,,,535.557,0.0,-445.559,355.562,287.995,,,89.997,89.998,-11.258,7.585,15.7,-8.115,,,3.673,78.74,-28.972,49.768,0.0,,,49.768,1.538,51.306,0.0,0.0,51.306,51.306,0.0,142.5585,0.36,0.36,0.36,147.0155,0.34,0.34,0.34,
06/30/2008,795.048,,-170.027,,,625.021,0.0,-454.48,364.276,300.361,,,90.204,170.541,-9.367,4.269,13.342,-9.073,,,5.098,161.174,-65.944,95.23,0.0,,,95.23,0.859,96.089,0.0,0.0,96.089,96.089,11.229,142.993,0.68,0.68,0.76,146.9995,0.66,0.66,0.74,
09/30/2008,833.337,,-177.735,,,655.602,0.0,-456.016,367.994,299.919,,,88.022,199.586,-35.876,12.633,20.061,-7.428,,,23.243,163.71,-69.223,94.487,0.0,,,94.487,0.337,94.824,0.0,0.0,94.824,94.824,9.132,143.337,0.66,0.66,0.72,145.862,0.66,0.66,0.72,
12/31/2008,620.811,,-138.687,,,482.124,0.0,-375.202,286.226,217.062,,,88.976,106.922,-3025.25,17.086,22.881,-5.795,,,3008.164,-2918.328,158.173,-2760.155,0.0,,,-2760.155,0.173,-2759.982,0.0,0.0,-2759.982,-2759.982,,143.4365,-19.24,-19.24,-19.24,143.4365,-19.24,-19.24,-19.24,
03/31/2009,635.712,635.712,-143.513,143.513,,492.199,0.0,-399.252,303.793,235.884,67.909,77.672,17.787,92.947,-25.921,18.974,21.645,-2.671,,,6.947,67.026,-27.272,39.754,0.0,0.0,0.0,39.754,-0.37,39.384,0.0,0.0,39.384,45.0507,5.6667,143.672,0.28,0.28,0.313566,143.9375,0.28,0.28,0.313566,
06/30/2009,769.768,769.768,-148.762,148.762,,621.006,0.0,-506.364,338.872,271.492,67.38,77.881,89.611,114.642,-38.461,19.388,20.805,-1.417,,,19.073,76.181,-34.338,41.843,0.0,0.0,0.0,41.843,-0.941,40.902,0.0,0.0,40.902,93.10285,52.20085,144.09,0.28,0.28,0.646144,145.4445,0.28,0.28,0.638906,
09/30/2009,852.428,852.428,-169.436,169.436,,682.992,0.0,-460.018,358.012,284.847,73.165,78.637,23.369,222.974,-24.776,20.027,21.18,-1.153,,,4.749,198.198,-80.385,117.813,0.0,0.0,0.0,117.813,-0.799,117.014,0.0,0.0,117.014,125.97165,8.95765,144.213,0.82,0.82,0.873512,146.864,0.8,0.8,0.860992,
12/31/2009,697.518,697.518,-145.54,145.54,,551.978,0.0,-411.127,316.869,234.839,82.03,85.518,8.74,140.851,-24.233,19.638,20.603,-0.965,,,4.595,116.618,-12.405,104.213,0.0,0.0,0.0,104.213,-1.987,102.226,0.0,0.0,102.226,101.6124,-0.6136,144.443,0.7,0.7,0.703478,148.026,0.7,0.7,0.695854,
