Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch of Interbank Asset,Net Ch of Interbank Liab,Net Ch in Operating Loans,Change of Accrued Interest Receivable,Change of Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
02/28/2007,509.64801,233.632004,257.186005,,-1.359,,,,-1.359,20.188999,,,,,,,,,,845.913025,-27.997,0.0,-27.997,-1.967,2.307,,,,-4.274,,,,875.877014,,,,,,,,1.1e-05,273.105957,0.0,-3543.737061,,,,,0.0,0.0,0.0,4316.854004,-500.010986,,1628.666992,-52.158001,280.083008,
05/31/2007,-7.767,209.242,266.176,,-339.84,,,,-339.84,36.646,,,,,,,,,,-423.341,-30.918,0.0,-30.918,-10.431,2.142,,,,-12.573,,,,-376.992,,,,,,,,-5.0,5821.026,-500.0,358.39,,,,,0.0,0.0,0.0,5462.58,500.056,,5389.918,243.629,256.741,
08/31/2007,838.84,202.24,278.07,,162.838,,,,162.838,195.692,,,,,,,,,,-121.67,-28.354,0.0,-28.354,-7.731,1.854,,,,-9.585,,,,-85.585,,,,,,,,0.0,-9.351,-350.0,218.821,,,,,0.0,0.0,0.0,-164.63,286.458,,707.819,-5.781,306.816,
11/30/2007,697.304,-56.484,405.864,,502.644,,,,502.644,-154.72,,,,,,,,,,-1896.047,-30.996,0.0,-30.996,-122.39,4.253,,,,-126.643,,,,-1742.661,,,,,,,,0.0,1385.077,-29.146,-39.256,,,,,-1.419,0.0,-1.419,1730.536,-275.638,,186.334,345.563,389.726,
02/29/2008,821.637,81.214,385.058,,315.21,,,,315.21,40.155,,,,,,,,,,-576.004,-20.359,0.0,-20.359,5.143,23.105,,,,-17.962,,,,-560.788,,,,,,,,0.0,-198.553,-29.217,-366.65,,,,,-0.993,0.0,-0.993,221.807,-23.5,,47.08,-1.902,389.201,
05/31/2008,744.629,234.148,267.976,,185.188,,,,185.188,57.317,,,,,,,,,,200.591,-25.075,0.0,-25.075,3.196,5.601,,,,-2.405,,,,152.941,,,,,,,,69.529,-830.63,-29.254,-636.304,,,,,-1.993,0.0,-1.993,-161.987,-1.092,,114.59,130.922,329.769,
08/31/2008,1306.834,180.053,421.536,,-100.297,,,,-100.297,805.542,,,,,,,,,,-1893.889,-32.98,0.0,-32.98,-5.742,6.02,,,,-11.762,,,,-1695.087,,,,,,,,-160.08,2121.009,-29.288,-35.367,,,,,-2.762,0.0,-2.762,2188.426,0.0,,1533.954,104.042,279.289,
11/30/2008,1631.059,432.335,-843.172,1615.625,156.517,,-262.354,92.558,326.313,269.754,,,,,,,,,,-3861.66,-15.118,0.0,-15.118,-84.718,2.474,,,,-87.192,,,,-3761.626,,,,,,,,-0.198,1919.025,-29.197,381.401,,,,,-1.09,0.0,-1.09,1567.911,0.0,,-311.576,437.701,307.295,
02/28/2009,528.379,120.394,59.623,937.813,-231.968,0.805,-196.763,-0.591,-35.419,-357.483,,,,,,,,-357.483,0.0,-3319.818,-16.987,1.139,-18.126,-72.991,0.906,0.0,0.0,0.906,-73.897,0.0,0.0,-73.897,-3229.84,-3229.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.504,-29.263,1572.544,1875.0,0.0,0.0,-302.456,-6.161,0.0,-6.161,-192.616,0.0,0.0,-1446.935,-0.208,327.345,
05/31/2009,1385.199,225.8,-15.818,643.861,3.086,1.012,-46.166,16.205,32.035,528.27,,,,,,,,528.27,,-556.699,-11.432,0.374,-11.806,-200.856,79.069,,,,-279.925,,,,82.946,82.946,,,0.0,0.0,0.0,0.0,-427.357,142.117,-20.404,-1880.263,-1875.0,0.0,0.0,-5.263,1224.122,1224.558,-0.436,818.662,0.0,,970.617,299.085,316.322,
08/31/2009,682.571,577.454,18.622,380.999,125.823,7.422,118.469,0.769,-0.837,-420.327,,,,,,,,-420.327,,-342.868,-11.987,,,3.266,129.601,,,,-126.335,,,,-259.212,-259.212,,,0.0,0.0,0.0,0.0,-74.935,793.714,-25.07,-131.579,-500.0,0.0,400.0,-31.579,530.089,533.84,-3.751,420.274,0.0,,1133.417,232.949,285.875,
11/30/2009,1001.743,352.537,141.065,399.732,-32.396,,62.465,27.866,-122.727,140.805,,,,,,,,140.805,0.0,-1941.395,-12.138,0.0,-12.138,-1333.368,1141.424,,,,-2474.792,,,,-454.87,-454.87,0.0,0.0,0.0,0.0,0.0,0.0,-141.019,3132.129,-26.297,633.281,0.0,0.0,698.194,-64.913,-1.055,0.0,-1.055,2526.2,0.0,0.0,2192.477,382.162,336.885,
02/28/2010,1135.102,-103.538,42.426,1387.206,-131.837,-0.18,-100.918,11.293,-42.032,-59.155,,,,,0.0,,,-59.155,0.0,-1114.515,-7.826,0.0,-7.826,687.239,1247.647,0.0,0.0,1247.647,-560.408,0.0,0.0,-560.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1793.928,-312.985,-801.291,-2464.913,0.0,0.0,750.0,-3214.913,-5.383,0.0,-5.383,2958.602,0.0,0.0,-292.398,14.141,369.924,
