Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/27/1999,176.505005,,-98.323997,,78.181007,,-62.314999,,,,,,,15.866,-0.063,,,,0.0,0.063,15.803,-6.145,9.658,0.0,,,9.658,0.0,9.658,0.0,,9.658,9.658,,53.2,0.2,0.2,0.2,53.2,0.2,0.2,0.2,
11/26/1999,258.554993,,-148.018005,,110.536987,,-89.657997,,,,,,,20.879,0.277,,,,0.0,-0.277,21.156,-8.294,12.862,0.0,,,12.862,0.0,12.862,0.0,,12.862,12.862,,53.2,0.2,0.2,0.2,53.2,0.2,0.2,0.2,
02/25/2000,272.291992,,-153.479004,,118.812988,,-91.242996,,,,,,,27.57,-7.785,,,,0.0,7.785,19.785,-8.832,10.953,0.0,,,10.953,0.0,10.953,0.0,,10.953,10.953,,53.2,0.2,0.2,0.3,53.2,0.2,0.2,0.3,
06/02/2000,350.244995,,-213.261993,,136.983002,,-124.058998,,,,,,,12.924,8.145,,,,0.0,-8.145,21.069,-8.632,12.437,0.0,,,12.437,0.0,12.437,0.0,0.0,12.437,12.437,,56.295599,0.2,0.2,0.3,56.340198,0.2,0.2,0.3,
09/01/2000,400.976013,,-247.513,,153.463013,,-132.046997,,,,,,,21.416,10.576,,,,0.0,-10.576,31.992001,-14.717,17.275,0.0,,,17.275001,0.0,17.275,0.0,0.0,17.275,17.275,,56.514899,0.3,0.3,0.4,56.809497,0.3,0.3,0.4,
12/01/2000,522.192017,,-332.625,,189.567017,,-163.992996,,,,,,,25.573999,11.942,,,,0.0,-11.942,37.516,-17.257,20.259001,0.0,,,20.259,0.0,20.259001,0.0,0.0,20.259001,20.259001,,56.594598,0.4,0.4,0.5,57.159399,0.4,0.4,0.5,
03/02/2001,470.848999,,-317.665985,,153.183014,,-157.225006,,,,,,,-4.042,2.992,,,,0.0,-2.992,-1.05,-0.886,-1.936,0.0,,,-1.936,0.0,-1.936,0.0,0.0,-1.936,-1.936,,56.646301,0.0,0.0,0.2,56.646301,0.0,0.0,0.2,
06/01/2001,165.294998,,-434.368011,,-269.073013,,-165.858994,,,,,,,-434.932007,-157.716995,,,,0.0,157.716995,-592.649002,200.574997,-392.074005,0.0,,,-392.074005,0.0,-392.074005,0.0,0.0,-392.074005,-392.074005,,56.697101,-6.9,-6.9,-1.6,56.697101,-6.9,-6.9,-1.6,
08/31/2001,214.317001,,-141.059998,,73.257003,,-121.806,,,,,,,-48.549,0.857,,,,0.0,-0.857,-47.692,15.261,-32.431,0.0,,,-32.431,0.0,-32.431,0.0,0.0,-32.431,-32.431,,56.721503,-0.6,-0.6,-0.7,56.721503,-0.6,-0.6,-0.7,
11/30/2001,290.579987,,-187.268005,,103.311981,,-116.620003,,,,,,,-13.308,-23.763,,,,0.0,23.763,-37.071,11.863,-25.208,0.0,,,-25.208,0.0,-25.208,0.0,0.0,-25.208,-25.208,,56.845898,-0.45,-0.45,-0.6,56.845898,-0.45,-0.45,-0.6,
03/01/2002,292.651001,,-178.856003,,113.794998,,-108.514999,,,,,,,5.28,-0.945,,,,0.0,0.945,4.335,-1.387,2.948,0.0,,,2.948,0.0,2.948,0.0,0.0,2.948,2.948,,57.676898,0.05,0.05,-0.25,57.738202,0.05,0.05,-0.25,
05/31/2002,233.283,,-151.583,,81.7,0.0,-85.871,67.758,53.822,,,,18.113,-4.171,-23.306,1.575,,,,21.731,-27.477,,-27.477,,,,,,-27.477,,0.0,-27.477,-27.477,,2.8937,-9.5,-9.5,-9.5,2.8937,-9.5,-9.5,-9.5,
08/30/2002,172.268005,,-118.103996,,54.164009,,-89.877998,,,,,,,-35.714001,-2.905,,,,0.0,2.905,-38.619001,-220.126007,-258.744995,0.0,,,-258.745008,0.0,-258.744995,0.0,0.0,-258.744995,-258.744995,,57.935797,-4.47,-4.47,-0.64,57.935797,-4.47,-4.47,-0.64,
11/29/2002,257.902008,,-187.632004,,70.270004,,-66.945999,,,,,,,3.324,6.798,,,,0.0,-6.798,10.122,-0.601,9.521,6.001,,,3.52,0.0,3.52,0.0,0.0,3.52,3.52,,58.091999,0.06,0.165,0.13,58.172001,0.06,0.165,0.13,
02/28/2003,197.864,,-150.725,,47.139,,-68.408,,,,,,,-21.269,-143.066,,,,,143.066,-164.335,-1.413,-165.748,6.588,,,-172.336,,-172.336,,,-172.336,-172.336,91.3198,58.164,-2.965,-2.85,-1.3,58.164,-2.965,-2.85,-1.3,
05/31/2003,225.757996,,-151.979996,,73.778,,-85.463997,,,,,,,-11.686,-1.747,,,,0.0,1.747,-13.433,-1.588,-15.021,0.0,,,-15.021,0.0,-15.021,0.0,0.0,-15.021,-15.021,,58.360001,-0.255,-0.255,-0.15,58.360001,-0.255,-0.255,-0.15,
08/31/2003,168.608002,,-121.223999,,47.384003,,-60.221001,,,,,,,-12.837,-2.827,,,,0.0,2.827,-15.664,-1.198,-16.862,4.884,,,-21.746,0.0,-21.746,0.0,0.0,-21.746,-21.746,,58.698002,-0.37,-0.37,-0.29,58.698002,-0.37,-0.37,-0.29,
11/30/2003,271.214996,,-197.738998,,73.475998,,-68.012001,,,,,,,5.464,-1.248,,,,0.0,1.248,4.216,-1.584,2.632,6.75,,,-4.118,0.0,-4.118,0.0,0.0,-4.118,-4.118,,73.391998,-0.055,0.035,0.075,77.486,-0.055,0.035,0.071,
