Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,830.336975,45.216,14.618,30.598,121.847,,,,36.820999,,,,,42.362999,,,,,246.246994,348.936005,610.801025,-261.86499,52.966999,,,182.186996,,,,,,182.186996,584.09,,30.899,30.899,,,,1.41,,,,,,115.698004,,,115.698004,148.007004,9.996,,,,,39.416,,,,39.416,49.412001,197.419004,0.0,84.822998,,,0,,548.094971,632.917969,0.0,632.917969,830.336973,
06/30/1990,841.742004,47.576002,9.732,37.844002,124.865997,,,,44.341,,,,,39.938999,,,,,256.721985,353.812988,619.775024,-265.962006,52.780998,,,178.425995,,,,,,178.425995,585.019981,,32.393002,32.393002,,,,1.431,,,,,,114.978,,,114.978,148.802002,9.677,,,,,38.721001,,,,38.721001,48.398001,197.200003,0.0,84.681,,,0,,559.861023,644.542023,0.0,644.542023,841.742025,
09/30/1990,890.245972,85.331001,19.695999,65.635002,133.945007,,,,55.370998,,,,,44.833,,,,,319.480011,354.984985,629.905029,-274.920013,41.634998,,,174.145996,,,,,,174.145996,570.76598,,41.727001,41.727001,,,,1.327,,,,,,143.238998,,,143.238998,186.292999,9.395,,,,,38.023998,,,,38.023998,47.418999,233.711998,0.0,84.415001,,,0,,572.119019,656.534019,0.0,656.534019,890.246017,
12/31/1990,923.901978,114.482002,4.458,110.024002,125.138,,,,55.874001,,,,,48.833,,,,,344.326996,356.091003,639.955994,-283.86499,41.639,,,181.845001,,,,,,181.845001,579.575004,,38.530998,38.530998,,,,1.331,,,,,,159.440004,,,159.440004,199.302002,11.911,,,,,36.896999,,,,36.896999,48.807999,248.110001,0.0,84.074997,,,0,,591.71698,675.791977,0.0,675.791977,923.901978,
03/31/1991,1012.205994,218.852997,140.537994,78.315002,120.316002,,,,47.648998,,,,,47.744999,,,,,434.562988,356.968994,648.567017,-291.597992,43.362999,,,177.311005,,,,,,177.311005,577.642998,,33.898998,33.898998,,,,1.324,,,,,,137.659006,,,137.659006,172.882004,111.792999,,,,,36.103001,,,,36.103001,147.896,320.778004,0.0,84.053001,,,0,,607.375,691.428001,0.0,691.428001,1012.206005,
06/30/1991,1026.535034,249.314999,220.237,29.077999,118.198997,,,,51.208,,,,,49.745998,,,,,468.467987,363.800995,661.044983,-297.243988,20.931999,,,173.334,,,,,,173.334,558.066994,,33.547001,33.547001,,,,1.62,,,,,,136.935004,,,136.935004,172.102005,111.800003,,,,,35.353001,,,,35.353001,147.153004,319.255009,0.0,84.0,,,0,,623.280029,707.280029,0.0,707.280029,1026.535038,
09/30/1991,1061.266968,271.367996,196.345993,75.022003,120.153,,,,59.48,,,,,53.311001,,,,,504.312012,366.45401,672.078979,-305.625,20.965,,,169.535995,,,,,,169.535995,556.955006,,36.980999,36.980999,,,,1.542,,,,,,152.921001,,,152.921001,191.444,111.210999,,,,,34.341,,,,34.341,145.551998,336.995998,0.0,83.989998,,,0,,640.281006,724.271004,0.0,724.271004,1061.267002,
12/31/1991,1099.05896,317.299003,224.397003,92.902,111.698997,,,,52.195999,,,,,57.758999,,,,,538.953003,373.20401,687.439026,-314.234985,20.705,,,166.197006,,,,,,166.197006,560.106016,,36.919998,36.919998,,,,1.643,,,,,,169.485998,,,169.485998,208.048996,110.574997,,,,,32.459,,,,32.459,143.033997,351.082993,0.0,83.938004,,,0,,664.038025,747.976029,0.0,747.976029,1099.059022,
03/31/1992,1103.001953,315.338993,273.222992,42.116001,127.280998,,,,43.734001,,,,,53.282001,,,,,539.635986,375.337006,697.526001,-322.188995,21.531,,,166.498001,,,,,,166.498001,563.366007,,28.024,28.024,,,,1.614,,,,,,163.018998,,,163.018998,192.656998,110.869003,,,,,31.572001,,,,31.572001,142.441004,335.098001,0.0,83.893997,,,0,,684.01001,767.904007,0.0,767.904007,1103.002008,
06/30/1992,1111.737061,335.953011,281.678009,54.275002,121.973,,,,46.182999,,,,,50.679001,,,,,554.788025,371.950012,702.338989,-330.389008,18.732,,,166.266998,,,,,,166.266998,556.949011,,29.124001,29.124001,,,,1.388,,,,,,153.333001,,,153.333001,183.845001,110.746002,,,,,30.728001,,,,30.728001,141.474003,325.319004,0.0,83.861,,,0,,702.557007,786.418007,0.0,786.418007,1111.737011,
