Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/30/1990,214.130997,1.707,1.707,0.0,33.416,,,,,,,,5.081,,,,,,,40.203999,168.309998,188.552994,-20.243,0.0,5.617,,,,5.617,173.926998,,12.865,12.865,,,,3.208,,,,,16.207999,,,,16.207999,32.280998,154.725006,,,,4.749,,,,,4.749,159.474006,191.755004,0.0,14.412,,,0.0,,7.964,22.376,0.0,22.376,214.131004,
03/31/1991,216.009003,1.762,1.762,0.0,35.175999,,,,,,,,6.083,,,,,,,43.021,167.453995,190.367004,-22.913,0.0,5.534,,,,5.534,172.987995,,13.48,13.48,,,,3.206,,,,,17.065,,,,17.065,33.750999,107.956001,,,,5.049,,,,,5.049,113.005001,146.756001,0.0,57.237999,,,0.0,,12.015,69.252999,0.0,69.252999,216.009,
06/30/1991,210.039001,2.872,2.872,0.0,30.228001,,,,,,,,5.237,,,,,,,38.337002,166.255005,191.856995,-25.601999,0.0,5.447,,,,5.447,171.702005,,12.834,12.834,,,,2.312,,,,,15.233999,,,,15.233999,30.379999,101.580002,,,,5.049,,,,,5.049,106.629002,137.009001,0.0,57.244999,,,0.0,,15.785,73.029999,0.0,73.029999,210.039,
09/30/1991,229.322006,0.156,0.156,0.0,33.055,,,4.557,,,,,3.531,,,,,,,41.299,181.863007,209.968002,-28.105,0.0,6.16,,,,6.16,188.023007,,11.481,11.481,,,,5.985,,,,,15.207,,,,15.207,32.673,112.442001,,,,8.347,,,,,8.347,120.789001,153.462001,0.0,57.244999,,,0.0,,18.615,75.859999,0.0,75.859999,229.322,
12/31/1991,234.209,4.176,4.176,0.0,32.356998,,,,,,,,6.638,,,,,,,43.171001,186.343002,217.475006,-31.132,0.0,4.695,,,,4.695,191.038002,,11.956,11.956,,,,2.427,,,,,20.116,,,,20.116,34.499001,73.817001,,,,8.58,,,,,8.58,82.397001,116.896002,0.0,93.975998,,,0.0,,23.337,117.312998,0.0,117.312998,234.209,
03/31/1992,236.852997,4.524,4.524,0.0,34.838001,,,,,,,,6.867,,,,,,,46.229,185.951996,219.960999,-34.008999,0.0,4.672,,,,4.672,190.623996,,11.708,11.708,,,,2.411,,,,,18.014999,,,,18.014999,32.133999,71.349998,,,,9.115,,,,,9.115,80.464998,112.598997,0.0,93.975998,,,0.0,,30.278,124.253998,0.0,124.253998,236.852995,
06/30/1992,241.408005,18.978001,18.978001,0.0,29.577999,,,,,,,,7.153,,,,,,,55.709,181.352005,218.203003,-36.851002,0.0,4.347,,,,4.347,185.699005,,11.212,11.212,,,,2.425,,,,,19.288999,,,,19.288999,32.925999,68.830002,,,,8.937,,,,,8.937,77.767002,110.693001,0.0,94.033997,,,0.0,,36.681,130.714996,0.0,130.714996,241.407997,
09/30/1992,242.792999,25.249001,25.249001,0.0,24.466999,,,5.104,,,,,3.034,,,,,,,57.854,180.386002,220.289001,-39.903,0.0,4.553,,,,4.553,184.939002,,12.526,12.526,,,,5.954,,,,,16.784,,,,16.784,35.264,63.134998,,,,9.056,,,,,9.056,72.190998,107.454998,0.0,94.044998,,,0.0,,41.292999,135.337997,0.0,135.337997,242.792995,
12/31/1992,245.774994,29.837,29.837,0.0,25.242001,,,,,,,,7.483,,,,,,,62.562,178.632996,221.677002,-43.043999,0.0,4.58,,,,4.58,183.212996,,10.193,10.193,,,,4.119,,,,,17.852002,,,,17.852002,32.164001,62.254002,,,,10.86,,,,,10.86,73.114001,105.278003,0.0,94.123001,,,0.0,,46.374001,140.497002,0.0,140.497002,245.775004,
03/31/1993,278.93399,59.646999,59.646999,0.0,29.475,,,,,,,,8.034,,,,,,,97.155998,177.231995,223.031998,-45.799999,0.0,4.546,,,,4.546,181.777995,,11.708,11.708,,,,4.234,,,,,15.355,,,,15.355,31.297001,61.362,,,,11.694,,,,,11.694,73.056,104.353001,0.0,118.834999,,,0.0,,55.745998,174.580997,0.0,174.580997,278.933998,
