Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2009,571.948,383.73,383.73,0.0,30.437,30.437,0,0,0,0,0,0,18.896,5.804,0.0,1.583,11.509,433.063,96.165,299.83,-203.665,0,42.72,,,0.0,,3.09,39.63,138.885,,42.958,2.861,0.0,0.0,40.097,0.0,0,,,,,315.777,0.0,0.0,315.57,358.735,0.0,0.0,,,,25.079,0.0,1.444,,,20.576,3.059,25.079,383.814,0.0,2.592,0.0,2.592,,166.769,18.773,188.134,0.0,188.134,571.948,
03/31/2010,632.527,439.497,439.497,0.0,37.252,37.252,0,0,0,0,0,0,18.759,7.245,,0.295,11.219,495.508,94.905,302.953,-208.048,0,42.114,,,,,2.885,39.229,137.019,,49.715,,17.066,,32.649,0.0,0,,,,,348.581,,,315.756,398.296,0.0,0.0,,,,23.407,,1.465,,,18.551,3.391,23.407,421.703,0.0,22.166,19.574,2.592,0.0,189.445,-0.787,210.824,0.0,210.824,632.527,
06/30/2010,523.666,324.066,324.066,0.0,33.901,33.901,0,0,0,0,0,0,20.515,7.214,,5.238,8.063,378.482,91.56,303.961,-212.401,0,53.624,,,,,14.538,39.086,145.184,,46.318,,,,46.318,0.0,0,,,,,31.598,,,8.168,77.916,0.0,0.0,,,,21.405,,1.487,,,16.126,3.792,21.405,99.321,0.0,324.205,1.02,323.185,0.0,100.918,-0.778,424.345,0.0,424.345,523.666,
09/30/2010,530.624,322.936,322.936,0.0,36.577,36.577,0,0,0,0,0,0,27.592,5.27,,14.548,7.774,387.105,90.864,307.446,-216.582,0,52.655,,,,,14.371,38.284,143.519,,35.103,,,,35.103,0.0,0,,,,,19.624,,,7.836,54.727,0.0,0.0,,,,26.755,,1.509,,,17.582,7.664,26.755,81.482,,338.969,1.02,337.949,0.0,110.94,-0.767,449.142,,449.142,530.624,
12/31/2010,254.112,53.789,53.789,0.0,37.746,37.746,0,0,0,0,0,0,18.399,4.51,0.0,5.537,8.352,109.934,86.998,308.271,-221.273,0,57.18,0.0,0.0,0.0,,12.615,44.565,144.178,,40.084,5.0,0.0,0.0,35.084,0.0,0,0.0,0.0,,,8.732,0.0,0.0,8.452,48.816,0.0,0.0,0.0,0.0,,29.422,0.0,1.782,,,20.482,7.158,29.422,78.238,0.0,43.759,0.901,42.858,0.0,133.087,-0.972,175.874,0.0,175.874,254.112,
03/31/2011,320.82,115.689,115.689,0.0,47.015,47.015,0,0,0,0,0,0,16.311,7.061,,,9.25,179.015,86.29,312.326,-226.036,0,55.515,,,,,12.156,43.359,141.805,,47.761,1.306,15.44,,31.015,0.0,0,,,,,37.775,,,9.178,85.536,0.0,0.0,,,,32.32,,1.807,,,22.856,7.657,32.32,117.856,0.0,47.172,0.901,46.271,0.0,156.73,-0.938,202.964,0.0,202.964,320.82,
06/30/2011,319.422,106.545,106.545,0.0,45.801,45.801,0,0,0,0,0,0,25.204,7.959,,9.436,7.809,177.55,86.403,316.284,-229.881,0,55.469,,,,,12.156,43.313,141.872,,32.615,2.074,,,30.541,0.0,0,,,,,28.306,,,7.817,60.921,0.0,0.0,,,,31.207,,1.832,,,21.682,7.693,31.207,92.128,0.0,50.391,0.906,49.485,-3.075,180.903,-0.925,227.294,0.0,227.294,319.422,
09/30/2011,344.643,147.22,147.22,0.0,46.013,46.013,0,0,0,0,0,0,14.086,6.031,,0.362,7.693,207.319,82.5,316.795,-234.295,0,54.824,,,,,11.965,42.859,137.324,,46.344,1.228,3.545,,41.571,0.0,0,,,,,18.802,,,7.566,65.146,0.0,0.0,,,,33.796,,1.856,,,19.581,12.359,33.796,98.942,0.0,53.367,0.906,52.461,-17.962,211.21,-0.914,245.701,0.0,245.701,344.643,
12/31/2011,327.868,134.936,134.936,0.0,37.578,37.578,0,0,0,0,0,0,17.168,4.152,0.0,6.756,6.26,189.682,81.712,320.0,-238.288,0,56.474,0.0,0.0,0.0,,14.305,42.169,138.186,,46.071,1.877,0.0,0.0,44.194,0.0,0,0.0,0.0,,,6.216,0.0,0.0,5.865,52.287,0.0,0.0,0.0,0.0,,39.311,0.0,1.781,,,21.439,16.091,39.311,91.598,0.0,56.377,0.908,55.469,-51.329,232.121,-0.899,236.27,0.0,236.27,327.868,
03/31/2012,353.441,148.629,148.629,0.0,48.438,48.438,0,0,0,0,0,0,17.807,6.844,,0.361,10.602,214.874,81.541,323.619,-242.078,0,57.026,,,,,14.222,42.804,138.567,,52.15,2.615,16.845,,32.69,0.0,0,,,,,30.489,,,10.084,82.639,0.0,0.0,,,,39.6,,1.839,,,20.306,17.455,39.6,122.239,0.0,59.316,0.908,58.408,-81.971,254.793,-0.936,231.202,0.0,231.202,353.441,
