Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Available for Sales/FVTOCI,Real Estate Investments,Other Investments,Net Receivables,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,388.890015,59.921001,,,0.0,,34.372002,0.0,0.0,0.0,21.530001,,36.917,,,,0.0,236.150011,,0.0,0.274,,,,,,,306.825989,,,,,,,,,101.958996,409.058985,0.0,28.615999,,,-121.463997,,72.078999,-20.768999,0.6,-20.168999,388.889986,
06/30/1998,479.438995,132.910004,,,0.0,,33.894001,0.0,0.0,0.0,20.606001,,36.348,,,,0.0,255.68099,,0.0,0.568,,,,,,,332.906006,,,,,,,,,101.67,435.144006,0.0,75.181999,,,0.0,,-31.247,43.934999,0.36,44.294999,479.439005,
09/30/1998,537.15802,168.035004,,,0.0,,34.483002,0.0,0.0,0.0,20.924999,,35.778999,,,,0.0,277.936016,,0.0,0.249,,,,,,,355.209991,,,,,,,,,116.431999,471.890991,0.0,75.457001,,,-0.008,,-10.658,64.791,0.476,65.267,537.157991,
12/31/1998,580.02002,185.580994,,,0.0,,34.634998,0.0,0.0,0.0,21.549999,,35.106998,,,,0.0,303.14703,,0.0,0.239,,,,,,,371.548004,,,,,,,,,118.855995,490.642999,0.0,75.278999,,,-0.023,,13.45,88.705999,0.671,89.376999,580.019999,
03/31/1999,611.195007,179.311005,,,0.0,,33.286999,0.0,0.0,0.0,21.184999,,34.640999,34.543999,,,,342.771006,,0.0,7.785,,,,,,,383.626007,,,,,,,,,111.868996,503.280003,0.0,75.265999,,,-4.6,38.002998,-1.388999,107.279999,0.635,107.914999,611.195001,
06/30/1999,633.888977,156.257004,,,0.0,,32.134998,0.0,0.0,0.0,31.649,,45.883999,33.980999,,,,367.963976,,0.0,5.599,,,,,,,395.197998,,,,,,,,,108.889343,509.686341,0.0,75.328003,,,-14.876,64.913002,-1.490001,123.875004,0.326,124.201004,633.887345,
09/30/1999,639.846985,146.975006,,,0.0,,31.981001,0.0,0.0,0.0,31.41,,33.502998,33.418999,,,,395.97798,,0.0,6.258,,,,,,,402.095001,,,,,,,,,120.964001,529.317002,0.0,75.390999,,,-56.393002,92.514,-1.434998,110.077,0.453,110.53,639.847001,
12/31/1999,673.192993,171.490005,,,0.0,,41.213001,0.0,0.0,0.0,31.305,,42.547001,32.855999,,,,386.637985,,0.0,23.370001,,,,,,,394.187012,,,,,,,,,136.227562,553.784575,0.0,75.276001,,,-79.975998,124.653,-1.141003,118.812,0.596,119.408,673.192575,
03/31/2000,712.312988,187.059998,,,0.0,,40.974998,0.0,0.0,0.0,31.718,,42.723999,34.138,,,,409.835993,,0.0,26.966999,,,,,,,409.880005,,,,,,,,,149.101002,585.948006,0.0,75.304001,,,-106.889,158.880005,-1.358006,125.937,0.428,126.365,712.313006,
06/30/2000,676.39801,122.002998,,,0.0,,38.889,0.0,0.0,0.0,32.257809,,40.984001,33.504002,,,,442.264202,,0.0,21.66,,,,,,,406.829987,,,,,,,,,136.734005,565.223991,0.0,75.363998,,,-152.033997,191.102997,-3.657001,110.775997,0.397,111.172997,676.396989,
