Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1994,445.899994,,-394.5,,51.399994,,-28.5,,,,,22.9,-12.8,,13.8,,0.0,-1.0,10.099999,0.2,,,10.3,0.0,,,10.299999,0.0,10.3,0.0,,10.3,10.3,,51.754002,0.195,0.195,,51.754002,0.195,0.195,0.195,
06/30/1994,514.799988,,-439.600006,,75.199982,,-28.200001,,,,,47.0,-12.4,,14.3,,0.0,-1.9,34.6,-0.1,,,34.5,14.9,,,19.6,0.0,19.6,0.0,,19.6,19.6,,52.132,0.375,0.66,,52.132,0.375,0.66,0.66,
09/30/1994,501.5,,-423.5,,78.0,,-28.4,,,,,49.599998,-8.3,,10.6,,0.0,-2.3,41.299998,0.0,,,41.299999,0.0,,,41.299998,0.0,41.299999,0.0,,41.299999,41.299999,,52.799999,0.78,0.78,,52.799999,0.78,0.78,0.78,
12/31/1994,554.400024,,-468.299988,,86.100036,,-28.6,,,,,57.5,8.5,,9.5,,0.0,-18.0,66.0,120.400002,,,186.399994,0.0,,,186.400002,0.0,186.399994,0.0,,186.399994,186.399994,,52.974,3.46,3.46,3.46,52.974,3.46,3.46,3.46,
03/31/1995,610.400024,,-504.700012,,105.700012,,-27.799999,,,,,77.900002,-6.2,,9.1,,0.0,-2.9,71.700001,-3.4,,,68.300003,0.0,,,68.300001,0.0,68.300003,-4.0,,64.300003,64.300003,,52.759998,1.22,1.22,,52.759998,1.22,1.22,1.22,
06/30/1995,595.900024,,-479.399994,,116.500031,,-30.1,,,,,86.400002,-4.1,,9.2,,0.0,-5.1,82.300002,-3.9,,,78.400002,0.0,,,78.400002,0.0,78.400002,-4.1,,74.300002,74.300002,,52.832001,1.405,1.405,,52.832001,1.405,1.405,1.405,
09/30/1995,524.299988,,-423.200012,,101.099976,,-28.299999,,,,,72.800003,-2.3,,8.3,,0.0,-6.0,70.500003,-3.3,,,67.199997,0.0,,,67.200003,0.0,67.199997,-4.0,,63.199997,63.199997,,53.355999,1.185,1.185,,53.355999,1.185,1.185,1.185,
12/31/1995,526.700012,,-435.399994,,91.300018,,-30.299999,,,,,61.0,-4.0,,9.0,,0.0,-5.0,57.0,-2.3,,,54.700001,0.0,,,54.7,0.0,54.700001,-3.2,,51.500001,51.500001,,53.29,0.97,0.97,0.97,53.29,0.97,0.97,0.97,
03/31/1996,558.900024,,-464.5,,94.400024,,-27.200001,,,,,67.199997,-6.6,,9.4,,0.0,-2.8,60.599997,-23.6,,,37.0,0.0,,,36.999997,0.0,37.0,-3.1,,33.9,33.9,,51.700001,0.67,0.67,0.67,51.700001,0.6,0.6,0.6,
06/30/1996,575.400024,,-476.5,,98.900024,,-29.0,,,,,69.900002,-6.7,,9.5,,0.0,-2.8,63.200001,-24.700001,,,38.5,0.0,,,38.500001,0.0,38.5,-2.8,,35.7,35.7,,52.866001,0.69,0.69,0.69,52.866001,0.62,0.62,0.62,
09/30/1996,559.299988,,-459.0,,100.299988,,-28.5,,,,,71.800003,-6.7,,9.5,,0.0,-2.8,65.100003,-25.4,,,39.700001,0.0,,,39.700003,0.0,39.700001,-2.6,,37.100001,37.100001,,53.172001,0.71,0.71,0.71,53.172001,0.64,0.64,0.64,
12/31/1996,608.200012,,-522.599976,,85.600037,,-30.0,,,,,55.599998,-7.5,,11.4,,0.0,-3.9,48.099999,-17.4,,,30.700001,0.0,,,30.699999,0.0,30.700001,-2.6,,28.100001,28.100001,,53.403999,0.53,0.53,0.53,53.403999,0.5,0.5,0.5,
03/31/1997,598.799988,,-500.899994,,97.899994,,-28.4,,,,,69.5,-13.400001,,21.700001,,0.0,-8.3,56.099999,-21.6,,,34.5,0.0,,,34.499999,0.0,34.5,-2.6,,31.9,31.9,,53.5,0.6,0.6,0.6,62.200001,0.56,0.56,0.56,
06/30/1997,622.599976,,-520.599976,,102.0,,-28.299999,,,,,73.699997,-10.4,,19.4,,0.0,-9.0,63.299997,-24.299999,,,39.0,0.0,,,38.999998,0.0,39.0,-2.6,,36.4,36.4,,53.400002,0.68,0.68,0.68,62.0,0.63,0.63,0.63,
09/30/1997,598.599976,,-502.100006,,96.499969,,-28.1,,,,,68.400002,-8.800001,,18.700001,,0.0,-9.9,59.6,-22.6,,,37.0,0.0,,,37.0,0.0,37.0,-2.5,,34.5,34.5,,53.5,0.64,0.64,0.64,62.299999,0.59,0.59,0.59,
12/31/1997,620.5,,-520.700012,,99.799988,,-30.0,,,,,69.800003,-7.3,,16.5,,0.0,-9.2,62.500003,-22.1,,,40.400002,0.0,,,40.400002,0.0,40.400002,0.0,,40.400002,40.400002,,60.405998,0.67,0.67,0.67,61.717999,0.66,0.66,0.66,
03/31/1998,588.200012,,-504.799988,,83.400024,,-29.200001,,,,,54.200001,-8.8,,15.7,,0.0,-6.9,45.400001,-17.0,,,28.4,0.0,,,28.400001,0.0,28.4,0.0,,28.4,28.4,,59.900002,0.47,0.47,0.47,60.200001,0.47,0.47,0.47,
06/30/1998,612.0,,-524.200012,,87.799988,,-29.5,,,,,58.299999,-5.6,,11.6,,0.0,-6.0,52.699999,-19.299999,,,33.400002,0.0,,,33.4,0.0,33.400002,0.0,,33.400002,33.400002,,59.200001,0.56,0.56,0.56,59.599998,0.56,0.56,0.56,
09/30/1998,959.700012,,-823.0,,136.700012,,-72.400002,,,,,64.300003,-15.500001,,20.200001,,0.0,-4.7,48.800002,-16.700001,,,32.099998,0.0,,,32.100001,-2.0,30.1,0.0,,30.1,30.1,,100.400002,0.28,0.28,0.28,107.599998,0.28,0.28,0.28,
12/31/1998,1017.3,,-828.2,,189.1,,-71.9,,,,,117.2,-17.6,22.7,22.7,,0.0,-5.1,99.6,-33.9,,,65.7,0.0,,,65.7,-2.1,63.6,-2.5,,61.1,61.1,,100.3,0.61,0.61,0.61,107.6,0.59,0.59,0.59,
03/31/1999,1024.300049,,-872.099976,,152.200073,,-73.599998,,,,,78.599998,-25.8,30.5,30.5,,0.0,-4.7,52.799998,-9.5,,,43.299999,1.7,,,41.599998,-2.0,39.599998,-2.5,,37.099998,37.099998,,100.699997,0.37,0.39,0.39,108.199997,0.36,0.38,0.38,
06/30/1999,1113.5,,-946.299988,,167.200012,,-77.900002,,,,,89.300003,-24.6,29.5,29.5,,0.0,-4.9,64.700003,-28.799999,,,35.900002,4.2,,,31.700004,-2.0,29.700001,-2.4,,27.300001,27.300001,,101.099998,0.27,0.31,0.31,101.800003,0.27,0.31,0.31,
09/30/1999,1055.5,,-895.900024,,159.599976,,-77.199997,,,,,82.400002,-62.299999,,29.200001,,0.0,33.099998,20.100002,-15.0,,,5.1,0.0,,,5.100002,-2.7,2.4,-2.4,,0.0,0.0,,101.199997,0.0,0.0,0.37,101.800003,0.0,0.0,0.37,
12/31/1999,1091.5,,-914.6,,176.9,,-81.1,,,,,95.8,-91.5,34.5,34.5,,0.0,57.0,4.3,-10.6,,,-6.3,0.0,,,-6.3,0.0,-6.3,-0.3,,-6.6,-6.6,,106.5,-0.06,-0.06,0.38,106.9,-0.06,-0.06,0.38,
