Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
10/31/1993,4.053,,-2.72,,,1.333,,-0.771,,,,,0.562,-0.412,,0.434,,0.0,-0.022,0.15,-0.06,,0.09,0.0,,,0.09,0.0,0.09,0.0,,0.09,0.09,,162.720005,0.000417,0.000417,,162.720005,0.000417,0.000417,0.000417,
01/31/1994,4.563,,-3.131,,,1.432,,-0.806,,,,,0.626,-0.073,,0.147,,0.0,-0.074,0.553,-0.221,,0.332,1.633,,,-1.301,0.0,-1.301,0.0,,-1.301,-1.301,,162.720005,-0.007917,0.002125,,162.720005,-0.007917,0.002125,0.002125,
04/30/1994,6.609,,-4.423,,,2.186,,-1.061,,,,,1.125,-0.076,,0.249,,0.0,-0.173,1.049,-0.42,,0.629,0.0,,,0.629,0.0,0.629,0.0,,0.629,0.629,,193.967995,0.003333,0.003333,,193.967995,0.003333,0.003333,0.003333,
07/31/1994,7.569,,-4.474,,,3.095,,-1.296,,,,,1.799,0.159,,0.09,,0.0,-0.249,1.958,-0.787,,1.171,-0.001,,,1.172,0.0,1.172,0.0,,1.172,1.172,,234.408005,0.005,0.005,,234.408005,0.005,0.005,0.005,
10/31/1994,9.687,,-6.17,,,3.517,,-1.505,,,,,2.012,0.092,,,,0.0,-0.092,2.104,-0.842,,1.262,0.0,,,1.262,0.0,1.262,0.0,,1.262,1.262,,237.120003,0.005417,0.005417,,237.120003,0.005417,0.005417,0.005417,
01/31/1995,10.98,,-6.807,,,4.172999,,-1.641,,,,,2.532,0.044,,,,0.0,-0.044,2.576,-0.99,,1.586,0.0,,,1.586,0.0,1.586,0.0,,1.586,1.586,,242.736008,0.006667,0.006667,,242.736008,0.006667,0.006667,0.006667,
04/30/1995,16.004,,-10.687,,,5.316999,,-2.204,,,,,3.113,0.055,,,,0.0,-0.055,3.168,-1.267,,1.901,0.0,,,1.901,0.0,1.901,0.0,,1.901,1.901,,243.072006,0.007917,0.007917,,243.072006,0.007917,0.007917,0.007917,
07/31/1995,21.445999,,-14.089,,,7.356999,,-3.751,,,,,3.606,-0.015,,,,0.0,0.015,3.591,-1.446,,2.145,0.0,,,2.145,0.0,2.145,0.0,,2.145,2.145,,306.744003,0.007083,0.007083,,306.744003,0.007083,0.007083,0.007083,
10/31/1995,26.416,,-18.316999,,,8.099001,,-3.815,,,,,4.284,0.08,,,,0.0,-0.08,4.364,-1.746,,2.618,0.0,,,2.618,0.0,2.618,0.0,,2.618,2.618,,320.064011,0.008333,0.008333,0.008333,320.064011,0.008333,0.008333,0.008333,
01/31/1996,26.070999,,-17.125,,,8.945999,,-4.064,,,,,4.882,0.153,,,,0.0,-0.153,5.035,-2.013,,3.022,0.0,,,3.022,0.0,3.022,0.0,,3.022,3.022,,318.984009,0.009583,0.009583,0.009583,318.984009,0.009583,0.009583,0.009583,
