Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1991,35.396999,12.169,12.169,0.0,8.184,,,0.0,,,,,1.839,,,,,22.191999,6.937,10.76,-3.823,0.0,,,6.268,,,,,6.268,13.205,,1.887,1.887,,,,1.831,,,,,,8.677001,,,8.677001,12.395,2.139,,,,,0.0,,,,,,0.0,2.139,14.534,0.067,15.002,,,0.0,,5.794,20.863,0.0,20.863,35.397,
12/31/1991,37.794998,16.891001,16.891001,0.0,5.816,,,0.0,,,,,2.033,,,,,24.74,6.88,11.755,-4.875,0.0,,,6.175,,,,,6.175,13.055,,1.454,1.454,,,,1.984,,,,,,9.768,,,9.768,13.206,2.473,,,,,0.0,,,,,,0.0,2.473,15.679,0.067,15.002,,,0.0,,7.047,22.116,0.0,22.116,37.795,
04/04/1992,68.658997,48.483999,38.966,9.518,8.106,,,0.0,,,,,2.046,,,,,58.636002,7.371,,,0.0,,,2.652,,,,,2.652,10.023,,1.646,1.646,,,,2.149,,,,,,11.766,,,11.766,15.561,2.012,,,,,0.0,,,,,,0.0,2.012,17.573,0.0,42.283001,,,0.0,,8.803,51.086001,0.0,51.086001,68.659001,
07/04/1992,72.563004,50.361,29.190001,21.171,9.833,,,0.0,,,,,1.991,,,,,62.185001,7.873,,,0.0,,,2.505,,,,,2.505,10.378,,1.789,1.789,,,,2.065,,,,,,14.117001,,,14.117001,17.971001,1.578,,,,,0.0,,,,,,0.0,1.578,19.549001,0.0,42.293999,,,0.0,,10.72,53.013999,0.0,53.013999,72.563,
09/30/1992,81.648003,42.674,21.431,21.243,16.705,,,0.0,,,,,4.074,,,,,63.452999,8.818,16.407,-7.589,0.0,,,9.377,,,,,9.377,18.195,,1.995,1.995,,,,0.799,,,,,,20.114001,,,20.114001,22.908001,0.598,,,,,0.0,,,,,,0.0,0.598,23.506001,0.0,45.523998,,,0.0,,12.618,58.141998,0.0,58.141998,81.647999,
12/31/1992,86.204002,52.139999,30.382999,21.757,13.032,,,0.0,,,,,2.5,,,,,67.671997,9.335,,,0.0,,,9.197,,,,,9.197,18.532,,1.667,1.667,,,,0.767,,,,,,20.34,,,20.34,22.774,0.435,,,,,0.0,,,,,,0.0,0.435,23.209,0.0,48.115002,,,0.0,,14.88,62.995002,0.0,62.995002,86.204002,
03/31/1993,99.388,63.452002,39.192001,24.26,11.888,,,0.0,,,,,3.433,,,,,78.773003,10.845,,,0.0,,,9.77,,,,,9.77,20.615001,,2.239,2.239,,,,0.497,,,,,,29.111999,,,29.111999,31.848,0.266,,,,,0.0,,,,,,0.0,0.266,32.114,0.0,49.595001,,,0.0,,17.679001,67.274002,0.0,67.274002,99.388002,
06/30/1993,108.156998,73.013998,43.648998,29.365,13.321,,,0.0,,,,,1.924,,,,,88.259003,11.449,,,0.0,,,8.449,,,,,8.449,19.898001,,2.542,2.542,,,,0.0,,,,,,32.366001,,,32.366001,34.908001,0.0,,,,,0.0,,,,,,0.0,0.0,34.908001,0.0,52.091999,,,0.0,,21.157,73.248999,0.0,73.248999,108.157,
09/30/1993,144.389008,95.013,49.083,45.93,21.070999,,,0.0,,,,,3.039,,,,,119.123001,15.631,32.68,-17.049,0.0,,,9.635,,,,,9.635,25.266,,5.931,5.931,,,,0.0,,,,,,49.094001,,,49.094001,55.025002,0.0,,,,,0.0,,,,,,0.0,0.0,55.025002,0.0,77.337997,,,0.0,,12.026,89.363997,0.0,89.363997,144.388999,
12/31/1993,132.016006,90.663998,36.530998,54.132999,16.544001,,,0.0,,,,,3.509,,,,,110.717003,13.632,,,0.0,,,7.667,,,,,7.667,21.299,,2.887,2.887,,,,0.0,,,,,,37.832002,,,37.832002,40.719002,0.0,,,,,0.0,,,,,,0.0,0.0,40.719002,0.0,61.617001,,,0.0,,29.68,91.297001,0.0,91.297001,132.016003,
