Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1992,482.494995,82.310997,82.310997,0.0,71.678001,,,81.002998,,,,,9.089,,,,,,244.080994,204.395996,350.450012,-146.054001,0.0,34.018002,,,,,34.018002,238.413998,,116.579002,116.579002,,,,12.688,,,,,31.555004,,,,31.555004,160.822006,108.204002,,,,30.115,,,,,30.115,138.319002,299.141008,68.247002,88.990997,,,0.0,,26.115999,183.353998,0.0,183.353998,482.495007,
06/30/1992,490.216003,91.321999,91.321999,0.0,81.055,,,80.306999,,,,,9.697,,,,,,262.381012,201.695007,342.200989,-140.505997,0.0,26.139999,,,,,26.139999,227.835007,,134.529999,134.529999,,,,12.694,,,,,34.251999,,,,34.251999,181.475998,107.209,,,,23.381001,,,,,23.381001,130.59,312.065998,69.836998,88.982002,,,0.0,,19.330999,178.15,0.0,178.15,490.215998,
09/30/1992,472.369995,88.736002,64.760002,23.976,80.170998,,,75.348,,,,,7.342,,,,,,251.597,197.600006,344.149994,-146.550003,0.0,23.173,,,,,23.173,220.773006,,122.584,122.584,,,,12.651,,,,,30.522996,,,,30.522996,165.757996,107.052002,,,,30.069,,,,,30.069,137.121002,302.878998,71.426003,89.383003,,,0.0,,8.682,169.491006,0.0,169.491006,472.370004,
12/31/1992,446.721985,66.889999,46.868999,20.021,77.172997,,,74.511002,3.636,,70.875,,9.803,,,,,,228.376999,198.481995,348.673004,-150.190994,0.0,19.863001,,,,,19.863001,218.344996,,49.119999,49.119999,,,,26.287001,,,,,30.386999,,,,30.386999,105.793999,175.460999,,,,43.106998,,,,,43.106998,218.567997,324.361996,73.014999,89.336998,,,0.0,,-39.992001,122.359996,0.0,122.359996,446.721992,
03/31/1993,427.717987,66.229,57.819,8.41,73.658997,,,61.137001,,,,,8.8,,,,,,209.824997,198.653,353.377014,-154.723999,0.0,19.24,,,,,19.24,217.893,,56.903999,56.903999,,,,15.99,,,,,27.204,,,,27.204,100.098,164.382004,,,,44.476002,,,,,44.476002,208.858006,308.956005,74.603996,89.332001,,,0.0,,-45.174,118.761997,0.0,118.761997,427.718002,
06/30/1993,427.332001,68.276999,53.439999,14.837,61.098999,,,66.831001,,,,,9.378,,,,,,205.585007,201.559006,360.942993,-159.384003,0.0,20.188,,,,,20.188,221.747005,,52.929001,52.929001,,,,15.948,,,,,59.175001,,,,59.175001,128.052002,164.164001,,,,36.778999,,,,,36.778999,200.943001,328.995003,54.966,89.332001,,,0.0,,-45.960999,98.337002,0.0,98.337002,427.332005,
09/30/1993,414.651001,58.311,56.834,1.477,66.385002,,,52.271999,,,,,8.589,,,,,,185.557007,209.272995,374.419006,-165.145996,0.0,19.820999,,,,,19.820999,229.093994,,42.945999,42.945999,,,,16.035,,,,,56.403004,,,,56.403004,115.384003,164.462997,,,,36.976002,,,,,36.976002,201.438999,316.823002,54.973,89.332001,,,0.0,,-46.477001,97.827999,0.0,97.827999,414.651001,
12/31/1993,434.522003,42.548001,36.596001,5.952,69.637001,,,74.185997,0.0,0.0,74.185997,0.0,10.136,,,,,,196.507004,213.151001,385.463013,-172.311996,0.0,24.864,,,,,24.864,238.015001,,43.192001,43.192001,,,,4.805,,,,,24.016999,,,,24.016999,72.014,180.667007,,,,45.271999,,,,,45.271999,225.939006,297.953006,79.371002,89.333,,,0.0,,-32.134998,136.569004,0.0,136.569004,434.52201,
03/31/1994,442.109009,49.411999,49.411999,0.0,59.487,,,75.403,,,,,9.87,,,,,,194.171997,222.417999,399.605988,-177.188004,0.0,25.518999,,,,,25.518999,247.936998,,45.160999,45.160999,,,,6.094,,,,,32.622999,,,,32.622999,83.877998,178.856003,,,,35.277,,,,,35.277,214.133003,298.011002,57.5,118.149002,,,0.0,,-31.551001,144.098001,0.0,144.098001,442.109003,
06/30/1994,463.299011,43.28,41.306,1.974,77.683998,,,61.702999,,,,,12.427,,,,,,195.093994,240.656998,425.152008,-184.494995,0.0,27.548,,,,,27.548,268.204998,,52.801998,52.801998,,,,10.005,,,,,37.246003,,,,37.246003,100.053001,178.664993,,,,36.145,,,,,36.145,214.809994,314.862995,0.0,179.524994,,,0.0,,-31.089001,148.435993,0.0,148.435993,463.298988,
