Date,Level 2 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,4.0,,,10.0,,,0.803213,,0.106016,,
06/30/2008,,,,1.0,,1.0,,,,,
09/30/2008,1.0,,,,,,0.389105,,0.028074,,
12/31/2008,,,,2.0,,,,,,,
03/31/2009,1.0,,,,,,-0.328947,,0.03647,,
06/30/2009,3.0,3.0,,,,,-1.140684,-1.140684,0.108421,0.108421,
09/30/2009,1.0,1.0,,,,,-0.469484,-0.469484,0.034025,0.034025,
12/31/2009,2.0,,,,,,11.111111,,0.070398,,
03/31/2010,2.0,2.0,1.0,,,1.0,-14.285714,-14.285714,0.06592,0.06592,
06/30/2010,,,,1.0,,1.0,,0.0,,0.0,
09/30/2010,,1.0,,,,1.0,,2.083333,,0.030581,
12/31/2010,2.0,2.0,,,,,4.255319,4.255319,0.063151,0.063151,
03/31/2011,1.0,1.0,0.0,,,0.0,0.75188,0.75188,0.028313,0.028313,
06/30/2011,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
09/30/2011,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,
12/31/2011,1.0,1.0,,,,,1.818182,1.818182,0.029967,0.029967,
03/31/2012,,,,,,,,0.0,,0.0,
06/30/2012,,,,,,,,0.0,,0.0,
09/30/2012,,,,,,,,0.0,,0.0,
12/31/2012,1.0,1.0,,,,,0.326797,0.326797,0.027716,0.027716,
03/31/2013,,,,,,,,0.0,,0.0,
06/30/2013,,,,,,,,0.0,,0.0,
09/30/2013,0.0,0.0,,,,,0.0,0.0,0.0,0.0,
12/31/2013,0.0,0.0,,,,,0.0,0.0,0.0,0.0,
12/31/2014,,,,,,,,0.0,,0.0,
12/31/2015,,,,,,,,0.0,,0.0,
12/31/2016,,,725.0,571.0,15.0,1311.0,,0.0,,0.0,
03/31/2017,,,721.0,682.0,15.0,1418.0,,,,,
06/30/2017,,,739.0,771.0,14.0,1524.0,,,,,
09/30/2017,,,749.0,855.0,14.0,1618.0,,,,,
12/31/2017,4.0,4.0,,0.0,,0.0,0.552486,0.552486,0.083403,0.083403,
03/31/2018,,,713.0,700.0,15.0,1428.0,,,,,
06/30/2018,,,662.0,660.0,15.0,1337.0,,,,,
09/30/2018,,,657.0,587.0,13.0,1257.0,,,,,
12/31/2018,4.0,4.0,,2.0,,2.0,0.194742,0.194742,0.03023,0.03023,
03/31/2019,3.0,3.0,,2.0,,2.0,0.151515,0.151515,0.022033,0.022033,
06/30/2019,3.0,3.0,,0.0,,0.0,0.15083,0.15083,0.022072,0.022072,
09/30/2019,,,,2.0,,2.0,,,,,
12/31/2019,,,,,,,,0.0,,0.0,
03/31/2020,,,,5.0,,5.0,0.0,0.0,0.0,0.0,
06/30/2020,,,,1.0,,,,0.0,,0.0,
