Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,12.635,16.606001,-1.94,20.912001,48.213001,,,,,,,,,,,,,,,,,,,
06/30/1990,,19.024,13.724,-2.456,-17.066999,13.225,,,,,,,,,,,,,,,,,,,
09/30/1990,,18.750999,12.259,-10.248,-1.603,19.159,,,,,,,,,,,,,,,,,,,
12/31/1990,,19.298,18.620001,-5.947,17.923,49.894001,,,,,,,,,,,,,,,,,49.894001,,
03/31/1991,,20.235001,14.186,4.248,1.942,40.611,,,,,,,,,,,,,,,,,,,
06/30/1991,,22.483999,14.713,-21.672001,-12.733,2.792,,,,,,,,,,,,,,,,,,,
09/30/1991,,23.591,14.991,-3.379,4.864,40.067001,,,,,,,,,,,,,,,,,,,
12/31/1991,,23.695999,17.101,24.316999,-10.318,54.796001,,,,,,,,,,,,,,,,,54.796001,,
03/31/1992,,25.775,16.462999,-10.741,-80.359001,-48.862,,,,,,,,,,,,,,,,,,,
06/30/1992,,27.472,17.646999,-4.304,67.269997,108.084999,,,,,,,,,,,,,,,,,,,
09/30/1992,,29.112,19.466,46.112,-33.429001,61.261002,,,,,,,,,,,,,,,,,,,
12/31/1992,,31.886999,19.264999,-48.507,46.518002,49.162998,,,,,,,,,,,,,,,,,49.162998,,
03/31/1993,,34.844002,20.120001,13.864,0.0,68.828003,,,,,,,,,,,,,,,,,,,
06/30/1993,,37.240002,20.426001,-28.795,0.0,28.871,,,,,,,,,,,,,,,,,,,
09/30/1993,,39.070999,21.243999,14.027,0.0,74.342003,,,,,,,,,,,,,,,,,,,
12/31/1993,,39.380001,21.091,6.261,-49.873001,16.858999,,,,,,,,,,,,,,,,,16.858999,,
03/31/1994,,40.737,20.257999,-25.354,68.400002,104.041,,,,,,,,,,,,,,,,,,,
06/30/1994,,42.391998,21.910999,-34.466999,15.882,45.717999,,,,,,,,,,,,,,,,,,,
09/30/1994,,44.506001,20.643,31.839001,5.152,102.139999,,,,,,,,,,,,,,,,,,,
12/31/1994,,45.367001,22.788,0.145,12.605,80.904999,,,,,,,,,,,,,,,,,80.904999,,
03/31/1995,,46.84,23.736,7.103,33.162998,110.842003,,,-24.664,,,,,,,,,,,,,,,,
06/30/1995,,48.028999,25.190001,7.993,-65.385002,15.827,,,-25.549999,,,,,,,,,,,,,,,,
09/30/1995,,50.547001,25.392,-42.588001,3.523,36.874001,,,-19.195999,,,,,,,,,,,,,,,,
12/31/1995,,53.589001,34.425999,153.886993,-37.598,204.304001,-19.552,,-19.552,,,,,,,,,,,,,,184.752001,,
03/31/1996,,57.441002,33.653999,-85.891998,30.534,35.737,,,-13.852,,,,,,,,,,,,,,,,
06/30/1996,,63.123001,34.713001,-48.111,-2.131,47.594002,,,-25.823999,,,,,,,,,,,,,,,,
09/30/1996,,65.721001,36.687,11.1,-31.382999,82.125,,,-20.014,,,,,,,,,,,,,,,,
12/31/1996,,68.417999,40.282001,-1.862,48.903,155.740997,-26.096001,,-26.096001,,,,,,,,,,,,,,129.644996,,
