Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,65,58,1,523,647,,,,,,,,,,,,,,,,,,,
06/30/1990,,142,89,-133,-201,-103,,,,,,,,,,,,,,,,,,,
09/30/1990,,66,77,-54,361,450,,,,,,,,,,,,,,,,,,,
12/31/1990,,-99,208,112,-100,121,,,,,,,,,,,,,,,,,121.0,,
03/31/1991,,68,77,-27,59,177,,,,,,,,,,,,,,,,,,,
06/30/1991,,70,83,-28,51,176,,,,,,,,,,,,,,,,,,,
09/30/1991,,70,114,83,-93,174,,,,,,,,,,,,,,,,,,,
12/31/1991,,72,110,-126,49,105,,,,,,,,,,,,,,,,,105.0,,
03/31/1992,,86,95,-26,58,213,,,,,,,,,,,,,,,,,,,
06/30/1992,,90,86,-114,-44,18,,,,,,,,,,,,,,,,,,,
09/30/1992,,156,83,-282,-113,-156,,,,,,,,,,,,,,,,,,,
12/31/1992,,105,76,210,-220,171,,,,,,,,,,,,,,,,,,,
03/31/1993,,34,78,264,104,480,,,,,,,,,,,,,,,,,,,
06/30/1993,,99,84,52,-101,134,,,,,,,,,,,,,,,,,,,
09/30/1993,,189,60,68,-35,282,,,,,,,,,,,,,,,,,,,
12/31/1993,,138,71,194,158,561,,,,,,,,,,,,,,,,,561.0,,
03/31/1994,,156,70,75,-186,115,,,,,,,,,,,,,,,,,,,
06/30/1994,,158,67,-128,167,264,,,,,,,,,,,,,,,,,,,
09/30/1994,,78,62,203,-40,303,,,,,,,,,,,,,,,,,,,
12/31/1994,,41,64,-158,320,267,,,,,,,,,,,,,,,,,267.0,,
03/31/1995,,170,70,-291,-185,-236,,,-18.0,,,,,,,,,,,,,,,,
06/30/1995,,172,71,-38,-401,-196,,,-21.0,,,,,,,,,,,,,,,,
09/30/1995,,175,80,473,-583,145,,,-21.0,,,,,,,,,,,,,,,,
12/31/1995,,174,87,-523,804,542,-41.0,,-41.0,,,,,,,,,,,,,,501.0,,
03/31/1996,,179,75,-169,-133,-48,,,-28.0,,,,,,,,,,,,,,,,
06/30/1996,,179,80,91,236,586,,,-32.0,,,,,,,,,,,,,,,,
09/30/1996,,181,71,208,-3,457,,,-30.0,,,,,,,,,,,,,,,,
12/31/1996,,194,134,-408,249,169,,,-35.0,,,,,,,,,,,,,,,,
03/31/1997,,191,78,-26,-120,123,,,-31.0,,,,,,,,,,,,,,,,
06/30/1997,,190,79,-47,-239,-17,,,-32.0,,,,,,,,,,,,,,,,
09/30/1997,,195,78,364,-233,404,,,-22.0,,,,,,,,,,,,,,,,
12/31/1997,,195,126,-152,-162,7,,,-26.0,,,,,,,,,,,,,,,,
03/31/1998,,215,71,-247,-51,-12,,,-35.0,,,,,,,,,,,,,,,,
