Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1992,33.207001,,-12.025,,,21.182001,,-16.243,,,,,,4.939,0.016,,,,0.0,-0.016,4.955,-1.883,3.072,0.0,,,3.072,0.0,3.072,0.0,,3.072,3.072,,127.007996,0.024167,0.024167,,127.007996,0.024167,0.024167,0.024167,
03/31/1993,31.152,,-9.924,,,21.228001,,-18.273001,,,,,,2.955,0.081,,,,0.0,-0.081,3.036,-1.154,1.882,0.0,,,1.882,0.0,1.882,0.0,,1.882,1.882,,131.556004,0.014167,0.014167,,131.556004,0.014167,0.014167,0.014167,
06/30/1993,21.757999,,-7.294,,,14.463999,,-13.762,,,,,,0.702,0.187,,,,0.0,-0.187,0.889,-0.34,0.549,0.0,,,0.549,0.0,0.549,0.0,,0.549,0.549,,143.124001,0.004167,0.004167,,143.124001,0.004167,0.004167,0.004167,
09/30/1993,35.255001,,-30.620001,,,4.635,,,,,,,,4.635,0.24,,,,0.0,-0.24,4.875,-1.967,2.908,0.0,,,2.908,0.0,2.908,0.0,,2.908,2.908,,143.111996,0.02,0.02,,143.111996,0.02,0.02,0.02,
10/31/1993,47.400002,,-13.261,,,34.139002,,-23.163,,,,,,10.976,0.231,,,,0.0,-0.231,11.207,-3.922,7.285,0.0,,,7.285,0.0,7.285,0.0,,7.285,7.285,,143.543999,0.050833,0.050833,,143.543999,0.050833,0.050833,0.050833,
01/31/1994,90.543999,,-33.021,,,57.522999,,-218.207993,,,,,,-160.684998,0.398,,,,0.0,-0.398,-160.286998,-3.623,-163.910004,0.0,,,-163.909997,0.0,-163.910004,0.0,,-163.910004,-163.910004,,184.680004,-0.8875,-0.8875,,184.680004,-0.8875,-0.8875,-0.8875,
04/30/1994,54.384998,,-19.208,,,35.176998,,-44.023998,,,,,,-8.847,1.286,,,,0.0,-1.286,-7.561,1.287,-6.274,0.0,,,-6.274,0.0,-6.274,0.0,,-6.274,-6.274,,226.704002,-0.0275,-0.0275,,226.704002,-0.0275,-0.0275,-0.0275,
07/31/1994,31.118999,,-11.938,,,19.181,,-32.695,,,,,,-13.514,3.17,,,,0.0,-3.17,-10.344,,-10.344,0.0,,,,0.0,-10.344,0.0,,-10.344,-10.344,,229.872002,-0.045,-0.045,,229.872002,-0.045,-0.045,-0.045,
10/31/1994,68.183998,,-21.989,,,46.194998,,-101.926003,,,,,,-55.730999,0.626,,,,0.0,-0.626,-55.104999,1.51,-53.595001,0.0,,,-53.594999,0.0,-53.595001,0.0,,-53.595001,-53.595001,,235.656006,-0.2275,-0.2275,,235.656006,-0.2275,-0.2275,-0.2275,
01/31/1995,162.772995,,-44.966999,,,117.805996,,-90.847,,,,,,26.959,0.548,,,,0.0,-0.548,27.507,-13.197,14.31,0.0,,,14.31,0.0,14.31,0.0,,14.31,14.31,,257.412003,0.055833,0.055833,,257.412003,0.055833,0.055833,0.055833,
04/30/1995,98.912003,,-27.223,,,71.689003,,-74.093002,,,,,,-2.404,0.743,,,,0.0,-0.743,-1.661,-2.091,-3.752,0.0,,,-3.752,0.0,-3.752,0.0,,-3.752,-3.752,,245.292,-0.015,-0.015,,245.292,-0.015,-0.015,-0.015,
07/31/1995,65.860001,,-22.792999,,,43.067002,,-78.119003,,,,,,-35.051998,43.188999,,,,0.0,-43.188999,8.137001,-10.463,-2.326,0.0,,,-2.325999,0.0,-2.326,0.0,,-2.326,-2.326,,253.416,-0.01,-0.01,-0.01,253.416,-0.01,-0.01,-0.01,
