Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
04/29/1989,-13.265,6.895,5.126,3.85,,,3.85,-29.136,,,,-29.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/29/1989,9.428,11.753,4.886,1.992,,,1.992,-9.203,,,,-9.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/1989,-3.613,7.105,6.531,1.177,,,1.177,-18.426001,,,,-18.426001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/03/1990,53.133999,10.657,5.868,1.033,,,1.033,35.576,,,,35.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/05/1990,5.315,6.976,5.402,1.766,,,1.766,-8.829,,,,-8.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/1990,21.441999,10.253,7.287,1.67,,,1.67,2.232,,,,2.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/1990,3.935,8.583,7.218,1.752,,,1.752,-13.618,,,,-13.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/02/1991,43.814999,14.534,7.154,6.336,,,6.336,15.791,,,,15.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.814999,,,
05/04/1991,12.978,10.335,7.913,2.003,,,2.003,-7.273,,,,-7.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/1991,42.459999,16.429001,8.226,1.966,,,1.966,15.839,,,,15.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/1991,-10.715,11.843,8.406,3.36,,,3.36,-34.324001,,,,-34.324001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/1992,46.106998,19.695,6.979,4.154,,,4.154,15.279,,,,15.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.106998,,,
05/02/1992,13.645,16.125,8.043,2.532,,,2.532,-13.055,,,,-13.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/1992,34.036999,21.726,8.678,2.255,,,2.255,1.378,,,,1.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1992,-6.726,17.385,8.641,2.527,,,2.527,-35.278999,,,,-35.278999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/30/1993,60.827,25.891001,9.703,3.739,,,3.739,21.493999,,,,21.493999,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.827,,,
05/01/1993,19.809,20.209999,9.226,-2.684,,,-2.684,-6.943,,,,-6.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1993,-11.334,20.601999,10.248,1.256,,,1.256,-43.439999,,,,-43.439999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/1993,24.495001,15.163,10.024,1.256,,,1.256,-1.948,,,,-1.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/29/1994,57.265999,23.781,12.989,5.801,,,5.801,14.695,,,,14.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.265999,,,
04/30/1994,-1.739,13.955,11.018,1.135,,,1.135,-27.847,,,,-27.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,33.166,18.063999,11.112,0.974,,,0.974,3.016,,,,3.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/1994,-3.769,7.507,12.46,1.124,,,1.124,-24.860001,,,,-24.860001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/1995,43.042,5.163,12.334,5.338,,,5.338,20.207001,,,,20.207001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/29/1995,-3.645,-4.37,12.062,0.46,,,0.46,-11.797,,,,-11.797,,,-10.488,,,,-10.488,,,,,,,,,,10.488,,,,,,,,,,,,,,
06/30/1995,-3.602,-3.133,12.331,0.501,,,0.501,-13.301,,,,-13.301,,,-6.352,,,,-6.352,,,,,,,,,,6.352,,,,,,,,,,,,,,
10/28/1995,-38.307999,-24.705999,12.627,0.426,,,0.426,-26.655001,,,,-26.655001,,,-8.086,,,,-8.086,,,,,,,,,,8.086,,,,,,,,,,,,,,
02/03/1996,-9.879,-107.031998,9.968,37.316002,,,37.316002,49.868999,,,,49.868999,,,-5.081,,,,-5.081,,,,,,,,,,5.081,,,,,,,,,,,,,,
05/04/1996,-0.648,-6.158,10.532,0.831,,,0.831,-5.853,,,,-5.853,,,-2.164,,,,-2.164,,,,,,,,,,2.164,,,,,,,,,,,,,,
