Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/29/1989,490.157013,49.320999,49.320999,0.0,6.491,,,176.776001,,,,,22.558001,,,,255.145996,213.167007,313.761993,-100.595001,0.0,21.844,,,,21.844,235.011007,,71.859001,71.859001,,,,25.281,,,,,,58.811003,,,58.811003,155.951004,20.0,,,,,35.810001,,,,,35.810001,55.810001,211.761005,0.0,69.822998,,,-68.249001,,276.821999,278.395996,0.0,278.395996,490.157001,
07/29/1989,486.321014,27.443001,27.443001,0.0,5.005,,,175.673996,,,,,29.243,,,,237.365005,223.75,330.287994,-106.538002,0.0,25.205999,,,,25.205999,248.955999,,72.789001,72.789001,,,,17.882999,,,,,,51.600002,,,51.600002,142.272003,17.5,,,,,38.709999,,,,,38.709999,56.209999,198.482002,0.0,69.861,,,-68.249001,,286.226997,287.838997,0.0,287.838997,486.320999,
10/28/1989,573.296021,33.633999,33.633999,0.0,6.257,,,250.955002,,,,,25.503,,,,316.348999,231.376999,344.444,-113.067001,0.0,25.57,,,,25.57,256.946999,,84.992996,84.992996,,,,38.535,,,,,,72.588001,,,72.588001,196.115997,17.5,,,,,41.210999,,,,,41.210999,58.710999,254.826996,0.0,72.850998,,,-68.249001,,313.866997,318.468994,0.0,318.468994,573.29599,
02/03/1990,579.482971,38.785,38.785,0.0,5.793,,,243.481995,,,,,28.455999,,,,316.515991,238.102997,351.955994,-113.852997,0.0,24.864,,,,24.864,262.966997,,94.223999,94.223999,,,,2.5,,,,,,90.653,,,90.653,187.376999,17.5,,,,,36.633999,,,,,36.633999,54.133999,241.510998,0.0,74.560997,,,-81.374001,,344.785011,337.972008,0.0,337.972008,579.483006,
05/05/1990,586.935974,44.890999,44.890999,0.0,6.371,,,224.246002,,,,,29.191,,,,304.699005,257.429993,380.394989,-122.964996,0.0,24.806999,,,,24.806999,282.236992,,85.321999,85.321999,,,,2.5,,,,,,93.698006,,,93.698006,181.520004,17.5,,,,,32.126999,,,,,32.126999,49.626999,231.147003,0.0,88.153,,,-81.374001,,349.009987,355.788986,0.0,355.788986,586.935989,
08/04/1990,631.375,47.154999,47.154999,0.0,7.507,,,225.459,,,,,32.348999,,,,312.470001,291.776001,424.299011,-132.522995,0.0,27.129,,,,27.129,318.905001,,91.746002,91.746002,,,,33.5,,,,,,82.5,,,82.5,207.746002,15.0,,,,,33.955002,,,,,33.955002,48.955002,256.701004,0.0,89.552002,,,-81.374001,,366.49601,374.674011,0.0,374.674011,631.375015,
11/03/1990,748.992981,55.16,55.16,0.0,8.466,,,285.319,,,,,32.952,,,,381.897003,339.578003,483.453003,-143.875,0.0,27.518,,,,27.518,367.096003,,102.135002,102.135002,,,,71.199997,,,,,,114.977989,,,114.977989,288.312988,5.0,,,,,36.208,,,,,36.208,41.208,329.520988,0.0,91.932999,,,-81.374001,,408.913002,419.472,0.0,419.472,748.992989,
02/02/1991,776.900024,66.716003,66.716003,0.0,9.609,,,247.462006,,,,,41.268002,,,,365.054993,383.548004,528.367004,-144.819,0.0,28.297001,,,,28.297001,411.845005,,115.281998,115.281998,,,,12.5,,,,,,135.75499,,,135.75499,263.536987,5.0,,,,,42.630001,,,,,42.630001,47.630001,311.166988,0.0,98.769997,,,-91.449997,,458.41301,465.733009,0.0,465.733009,776.899998,
05/04/1991,867.557983,80.917,80.917,0.0,9.522,,,268.563995,,,,,42.983002,,,,401.985992,434.559998,589.958984,-155.399002,0.0,31.011999,,,,31.011999,465.571997,,118.419998,118.419998,,,,12.5,,,,,,115.311996,,,115.311996,246.231995,80.0,,,,,46.013,,,,,46.013,126.013,372.244995,0.0,113.529999,,,-92.454002,,474.236992,495.312988,0.0,495.312988,867.557983,
08/04/1991,948.338989,65.515999,65.515999,0.0,9.885,,,307.48999,,,,,44.192001,,,,427.083008,485.768005,654.258972,-168.490997,0.0,35.487999,,,,35.487999,521.256004,,111.460999,111.460999,,,,80.800003,,,,,,103.835983,,,103.835983,296.096985,77.5,,,,,51.473,,,,,51.473,128.973,425.069984,0.0,114.981003,,,-92.454002,,500.741997,523.268997,0.0,523.268997,948.338982,
