Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Discontinued Operations,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2011,6813.9,510.8,510.8,0,597.9,597.9,0,677.3,173.4,61.5,442.4,0,301.1,0.0,,10.3,216.3,2087.1,463.0,1230.6,-767.6,0,4263.8,4222.8,1877.1,2345.7,0.6,30.1,4726.8,,1777.5,676.9,36.9,7.0,1056.7,47.3,0.0,,,,47.3,6.7,0.0,0.0,442.0,0.0,1831.5,2575.1,2575.1,,,,947.3,0.0,207.1,,298.2,3522.4,5353.9,0.0,1533.1,3.9,1529.2,-105.5,-65.9,0.2,1361.9,98.1,1460.0,6813.9,
03/31/2012,6735.2,520.4,520.4,0,685.1,685.1,0,612.6,166.9,28.8,416.9,0,286.6,,,,203.6,2104.7,452.7,,,0,4177.8,4051.3,1891.8,2159.5,,126.5,4630.5,,1896.1,572.4,176.2,,1147.5,175.8,0.0,,,,175.8,1.9,,,439.1,0.0,2073.8,2301.3,2301.3,,,,939.2,,200.4,,299.7,3240.5,5314.3,0.0,1519.2,4.0,1515.2,-105.5,-33.0,-67.7,1313.0,107.9,1420.9,6735.2,
06/30/2012,6183.4,609.4,609.4,0,580.5,580.5,0,648.3,194.2,44.3,409.8,0,300.3,0.0,,7.7,220.1,2138.5,465.8,1235.1,-769.3,0,3579.1,3524.4,1490.5,2033.9,0.0,47.0,4044.9,,1717.9,694.6,41.5,3.5,978.3,190.1,0.0,,,,190.1,5.0,0.0,0.0,287.7,0.0,1913.0,2270.2,2270.2,,,,862.7,0.0,245.9,,329.1,3132.9,5045.9,0.0,1672.6,176.4,1496.2,-105.5,-390.3,-147.2,1029.6,107.9,1137.5,6183.4,
09/30/2012,6489.6,568.4,568.4,0,836.4,836.4,0,744.0,181.6,31.6,530.8,0,293.3,,,4.8,212.2,2442.1,462.5,,,0,3585.0,3533.6,1508.0,2025.6,,46.6,4047.5,,1820.6,673.5,80.2,,1066.9,207.8,0.0,,,,207.8,5.0,,,288.9,0.0,2033.4,2297.6,2297.6,,,,850.1,,250.6,,310.6,3147.7,5181.1,0.0,1718.9,245.8,1473.1,-105.5,-303.6,-110.4,1199.4,109.1,1308.5,6489.6,
12/31/2012,6487.3,752.1,752.1,0,763.2,763.2,0,622.4,177.2,24.0,421.2,0,313.8,,,0.8,232.3,2451.5,474.2,,,0,3561.6,3516.9,1515.0,2001.9,,43.9,4035.8,,1759.8,601.9,117.6,,1040.3,247.0,0.0,,,,247.0,5.0,,,290.0,0.0,2011.8,2220.1,2220.1,,,,860.5,,255.0,,315.5,3080.6,5092.4,0.0,1659.2,150.2,1509.0,-106.9,-180.4,-94.2,1277.7,117.2,1394.9,6487.3,
03/31/2013,6328.0,782.9,782.9,0,620.5,620.5,0,610.5,162.2,23.4,424.9,0,278.2,,,15.6,197.0,2292.1,467.5,,,0,3568.4,3510.7,1536.9,1973.8,,42.1,4035.9,,1516.0,542.0,87.0,,887.0,42.2,0.0,,,,42.2,4.8,,,288.7,0.0,1563.0,2491.4,2491.4,,,,838.1,,253.5,,295.9,3329.5,4892.5,0.0,1699.3,224.0,1475.3,-106.9,-160.0,-129.4,1303.0,132.5,1435.5,6328.0,
06/30/2013,6470.0,920.4,920.4,0,622.7,622.7,0,608.2,184.4,35.6,388.2,0,265.6,,,9.2,190.6,2416.9,500.7,1354.8,-854.1,0,3552.4,3499.8,1543.2,1956.6,0.1,43.3,4053.1,,1416.8,711.7,34.8,3.6,666.7,40.1,40.1,,,,,6.3,0.0,0.0,320.0,0.0,1463.2,2590.1,2590.1,,,,801.2,0.0,241.3,0.0,239.9,3391.3,4854.5,0.0,1947.7,3.8,1943.9,-6.1,-329.0,-118.6,1494.0,121.5,1615.5,6470.0,
09/30/2013,6729.2,946.8,946.8,0,789.7,789.7,0,664.7,158.3,25.0,481.4,0,242.6,,,11.2,167.6,2643.8,513.2,,,0,3572.2,3516.6,1568.1,1948.5,,44.4,4085.4,,1551.1,753.0,18.5,,779.6,31.5,31.5,,,,,7.0,,,357.6,0.0,1589.6,2595.2,2595.2,,,,853.5,,247.1,,248.8,3448.7,5038.3,0.0,1884.6,3.8,1880.8,-6.3,-235.5,-75.1,1567.7,123.2,1690.9,6729.2,
12/31/2013,6869.0,1154.0,1154.0,0,779.0,779.0,0,559.9,160.9,14.1,384.9,0,256.8,,,10.6,181.4,2749.7,529.5,,,0,3589.8,3503.9,1573.2,1930.7,,75.3,4119.3,,1624.7,748.1,55.9,,820.7,29.0,29.0,,,,,8.2,,0.7,321.7,0.0,1661.9,2580.1,2580.1,,,,821.8,,251.4,,248.0,3401.9,5063.8,0.0,1902.2,3.8,1898.4,-6.4,-153.0,-60.2,1682.6,122.6,1805.2,6869.0,
03/31/2014,6508.0,1147.2,1147.2,0,664.8,664.8,0,588.9,151.3,6.8,430.8,0,296.1,,,10.4,218.0,2697.0,526.9,,,0,3284.1,3200.7,1343.3,1857.4,,73.0,3811.0,,1486.6,717.2,66.3,,703.1,10.0,10.0,,,,,9.8,,,311.2,0.0,1506.4,2735.1,2735.1,,,,763.2,,245.9,,206.1,3498.3,5004.7,0.0,1919.1,3.8,1915.3,-74.0,-406.3,-60.0,1378.8,124.5,1503.3,6508.0,
