Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1988,3722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,,144.0,144.0,,685.714485,0.21,0.21,0.21,685.714485,0.21,0.21,0.21,
12/31/1988,4872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,,,174.0,174.0,,686.844017,0.253333,0.253333,0.253333,686.844017,0.253333,0.253333,0.253333,
03/31/1989,4001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.0,,,459.0,459.0,,691.960487,0.663333,0.233333,0.233333,691.960487,0.663333,0.233333,0.233333,
06/30/1989,5072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,,,195.0,195.0,,688.236008,0.283333,0.283333,0.283333,688.236008,0.283333,0.283333,0.283333,
09/30/1989,6356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,,,242.0,242.0,,691.427994,0.35,0.35,0.35,691.427994,0.35,0.35,0.35,
12/31/1989,4847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,77.0,77.0,,679.412979,0.113333,0.113333,0.113333,679.412979,0.113333,0.113333,0.113333,
03/31/1990,6435.0,,,,,,,-6063.0,,,,,372.0,54.0,,1.0,,0.0,,-55.0,426.0,-124.0,302.0,0.0,,,302.0,0.0,302.0,0.0,,302.0,302.0,,691.970993,0.436667,0.436667,,691.970993,0.436667,0.436667,0.436667,
06/30/1990,6969.0,,,,,,,-6580.0,,,,,389.0,151.0,,1.0,,0.0,,-152.0,540.0,-153.0,387.0,0.0,,,387.0,0.0,387.0,0.0,,387.0,387.0,,692.572021,0.56,0.56,,692.572021,0.56,0.56,0.56,
09/30/1990,7176.0,,,,,,,-6787.0,,,,,389.0,154.0,,2.0,,0.0,,-156.0,543.0,-165.0,378.0,0.0,,,378.0,0.0,378.0,0.0,,378.0,378.0,,690.317993,0.55,0.55,,690.317993,0.55,0.55,0.55,
12/31/1990,7015.0,,,,,,,-6635.0,,,,,380.0,83.0,,2.0,,0.0,,-85.0,463.0,-145.0,318.0,0.0,,,318.0,0.0,318.0,0.0,,318.0,318.0,,687.169006,0.46,0.46,0.46,687.169006,0.46,0.46,0.46,
03/31/1991,6091.0,,,,,,,-5721.0,,,,,370.0,64.0,,3.0,,0.0,,-67.0,434.0,-125.0,309.0,0.0,,,309.0,0.0,309.0,0.0,,309.0,309.0,,687.359985,0.45,0.45,,687.359985,0.45,0.45,0.45,
06/30/1991,7813.0,,,,,,,-7237.0,,,,,576.0,56.0,,4.0,,0.0,,-60.0,632.0,-178.0,454.0,0.0,,,454.0,0.0,454.0,0.0,,454.0,454.0,,687.664001,0.66,0.66,,687.664001,0.66,0.66,0.66,
09/30/1991,7657.0,,,,,,,-7147.0,,,,,510.0,59.0,,3.0,,0.0,,-62.0,569.0,-168.0,401.0,0.0,,,401.0,0.0,401.0,0.0,,401.0,401.0,,686.783997,0.585,0.585,,686.783997,0.585,0.585,0.585,
12/31/1991,7753.0,,,,,,,-7255.0,,,,,498.0,71.0,,3.0,,0.0,,-74.0,569.0,-166.0,403.0,0.0,,,403.0,0.0,403.0,0.0,,403.0,403.0,,684.432984,0.585,0.585,0.585,684.432984,0.585,0.585,0.585,
03/31/1992,7967.0,,,,,,,-7416.0,,,,,551.0,56.0,,4.0,,0.0,,-60.0,607.0,-187.0,420.0,1002.0,,,-582.0,0.0,-582.0,0.0,,-582.0,-582.0,,682.909973,-0.855,0.61,,682.909973,-0.855,0.61,0.61,
06/30/1992,7823.0,,,,,,,-7250.0,,,,,573.0,58.0,,4.0,,0.0,,-62.0,631.0,-199.0,432.0,0.0,,,432.0,0.0,432.0,0.0,,432.0,432.0,,681.973999,0.635,0.635,,681.973999,0.635,0.635,0.635,
09/30/1992,6897.0,,,,,,,-6457.0,,,,,440.0,60.0,,2.0,,0.0,,-62.0,500.0,-155.0,345.0,0.0,,,345.0,0.0,345.0,0.0,,345.0,345.0,,678.495972,0.51,0.51,,678.495972,0.51,0.51,0.51,
12/31/1992,7497.0,,,,,,,-7021.0,,,,,476.0,42.0,,4.0,,0.0,,-46.0,518.0,-161.0,357.0,0.0,,,357.0,0.0,357.0,0.0,,357.0,357.0,,678.799988,0.525,0.525,0.525,678.799988,0.525,0.525,0.525,
03/31/1993,6644.0,,,,,,,-6214.0,,,,,430.0,46.0,,5.0,,0.0,,-51.0,476.0,-151.0,325.0,0.0,,,325.0,0.0,325.0,0.0,,325.0,325.0,,678.97998,0.48,0.48,,678.97998,0.48,0.48,0.48,
06/30/1993,7985.0,,,,,,,-7404.0,,,,,581.0,44.0,,3.0,,0.0,,-47.0,625.0,-199.0,426.0,0.0,,,426.0,0.0,426.0,0.0,,426.0,426.0,,679.200012,0.625,0.625,,679.200012,0.625,0.625,0.625,
09/30/1993,5153.0,,,,,,,-4907.0,,,,,246.0,27.0,,9.0,,0.0,,-36.0,273.0,-84.0,189.0,0.0,,,189.0,0.0,189.0,0.0,,189.0,189.0,,679.599976,0.28,0.28,,679.599976,0.28,0.28,0.28,
12/31/1993,5656.0,,,,,,,-5222.0,,,,,434.0,13.0,,22.0,,0.0,,-35.0,447.0,-143.0,304.0,0.0,,,304.0,0.0,304.0,0.0,,304.0,304.0,,680.0,0.445,0.445,0.445,680.0,0.445,0.445,0.445,
03/31/1994,6345.0,,,,,,,-5912.0,,,,,433.0,-3.0,,28.0,,0.0,,-25.0,430.0,-138.0,292.0,0.0,,,292.0,0.0,292.0,0.0,,292.0,292.0,,680.599976,0.43,0.43,,680.599976,0.43,0.43,0.43,
06/30/1994,5396.0,,,,,,,-5126.0,,,,,270.0,-5.0,,29.0,,0.0,,-24.0,265.0,-43.0,222.0,0.0,,,222.0,0.0,222.0,0.0,,222.0,222.0,,681.0,0.325,0.325,,681.0,0.325,0.325,0.325,
09/30/1994,5063.0,,,,,,,-4837.0,,,,,226.0,8.0,,33.0,,0.0,,-41.0,234.0,-49.0,185.0,0.0,,,185.0,0.0,185.0,0.0,,185.0,185.0,,681.400024,0.27,0.27,,681.400024,0.27,0.27,0.27,
